INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Index	class(基本类型)	Quality(品质)	Type(类别)	Index(物品号)	EquipPoint(装备点)	Visual	适应规则	套装编号	套装效果值	Name(名称)$1$	Lv(需求等级)	门派需求	Desc(说明)$1$	基本价格	出售价格	Max耐久	修理失败上限	镶嵌宝石上限	技能ID：装备点为武器时标识效果ID（From StandardImpact.txt）	脚本ID	图标	类型描述$1$	是否有资质	是否受品质影响	基础外攻攻击	基础内攻攻击	基础外攻防御	基础内攻防御	基础命中	基础闪避	增加HP的上限	百分比增加HP的上限	加快HP的回复速度	增加MP的上限	百分比增加MP的上限	加快MP的回复速度	冰攻击	冰抵抗	减少冰冻迟缓时间	火攻击	火抵抗	减少火烧持续时间	玄攻击	玄抵抗	减少玄击眩晕时间	毒攻击	毒抵抗	减少中毒时间	按百分比抵消所有属性攻击	外攻攻击	按百分比增加外攻攻击	对装备基础外攻攻击百分比加成	外攻防御	按百分比增加外攻防御	对装备基础外攻防御百分比加成	按百分比抵消外攻伤害	内攻攻击	按百分比增加内攻攻击	对装备基础内攻攻击百分比加成	内攻防御	按百分比增加内攻防御	对装备基础内攻防御百分比加成	按百分比抵消内攻伤害	攻击速度(两次攻击间隔时间)	内攻冷却速度	命中	闪避	会心	无视对方防御比率	移动速度百分比	伤害反射	伤害由内力抵消	力量	灵气	体力	定力	身法	会心防御	增加所有的人物一级属性	生命偷取	内力偷取	增加某个技能等级	增加所有技能等级	特殊技能发动概率	降低目标冰抵抗	降低目标火抵抗	降低目标玄抵抗	降低目标毒抵抗	品质规则	起始数值段	属性条数min	属性条数max	资质min	资质max	升级后变成资源id	行囊	格箱	是否广播	浮动空间	品阶
10100000	1	1	0	0	0	410	1	-1	-1	青铜刀	1	-1	新手武器，没有什么价值。#r#c00FF00（右键点击装备）	20	16	114	3	0	-1	-1	Broadsword1_1	刀斧类	0	0	75	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10100001	1	1	0	1	0	412	1	-1	-1	泼风刀	10	-1	青铜打造，刀体弯曲，沉重，力大如牛者使用。	180	144	125	3	0	-1	-1	Broadsword1_3	刀斧类	0	0	117	117	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10100002	1	1	0	2	0	416	1	-1	-1	折铁刀	20	-1	刀背宽大，刀刃厚而钝，可断铁，故此得名。	540	432	137	3	0	-1	-1	Broadsword1_5	刀斧类	0	0	202	202	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10100003	1	1	0	3	0	420	1	-1	-1	古月刀	30	-1	通体银色，刀身弯曲如象鼻，刀刃光滑锋利，刀背可勾住敌人，威力一般。	1150	920	150	3	0	-1	-1	Broadsword1_9	刀斧类	0	0	287	287	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10100004	1	1	0	4	0	419	1	-1	-1	开山钺	40	-1	其刃背形如弯月，曲而不直，可竖劈可横砍。	1780	1424	162	3	0	-1	-1	Broadsword1_14	刀斧类	0	0	373	373	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10100005	1	1	0	5	0	421	1	-1	-1	金背刀	50	-1	刀身近柄持处小，刀刃弯曲向前至顶端，继续弯向刀背，厚而有力，刀身饰有金色花纹。	2700	2160	175	3	0	-1	-1	Broadsword2_2	刀斧类	0	0	458	458	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10100006	1	1	0	6	0	431	1	-1	-1	月牙铲	60	-1	前端是一个弯月形的铲，内凹，月牙朝外，尾部是一个斧状的铲柄，末端开刃，前后都可攻击敌人，让人防不胜防。	3850	3080	187	3	0	-1	-1	Broadsword2_6	刀斧类	0	0	543	543	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10100007	1	1	0	7	0	437	1	-1	-1	烈焰刀	70	-1	通体金红，犹如烈焰，气势逼人，攻城掠地。	5570	4456	200	3	0	-1	-1	Broadsword2_10	刀斧类	0	0	628	628	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10100008	1	1	0	8	0	443	1	-1	-1	乌龙铲	80	-1	传为古代名将所用，乌金打造，上刻游龙飞天，杀气环绕。	7450	5960	212	3	0	-1	-1	Broadsword2_15	刀斧类	0	0	713	713	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
