INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10210014	1	2	10	14	1	226	22	-1	-1	七星冠	62	-1	紫气缠绕，给穿戴者带来神秘的力量。	1255	1004	190	3	3	-1	-1	Hat2_13	帽子	1	1	-1	-1	202	202	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	61	2	61	61	61	61	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	1062	4	7	1	250	10210016	0	0	0	1	-1
10210016	1	2	10	16	1	227	22	-1	-1	引凤帽	72	-1	带有沉香的味道，据说可引来凤凰，仿若仙界之物。	1640	1312	202	3	3	-1	-1	Hat3_8	帽子	1	1	-1	-1	234	234	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	61	2	61	61	61	61	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	1072	4	7	1	250	10210018	0	0	0	1	-1
10210018	1	2	10	18	1	228	22	-1	-1	沐水天冠	82	-1	传说可映出沐羽神鸟的神奇帽子，世之罕见。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。	2240	1792	215	3	3	-1	-1	Hat4_2	帽子	1	1	-1	-1	266	266	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	61	2	61	61	61	61	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	1082	4	7	1	250	10210020	0	0	0	1	-1
10210020	1	2	10	20	1	229	22	-1	-1	幻世圣巾	92	-1	由传说中可穿越三界的奇幻材料制成，非凡间之物，罕得之。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。	3160	2528	227	3	3	-1	-1	Hat4_7	帽子	1	1	-1	-1	298	298	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	61	2	61	61	61	61	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	1092	4	7	1	250	-1	0	0	0	1	-1
10210034	1	2	10	34	1	236	22	-1	-1	赤瑶帽	62	-1	传说中九天玄女穿戴之物，据说乃瑶池仙女以手工缝制而成。	1255	1004	190	3	3	-1	-1	Hat2_13	帽子	1	1	-1	-1	202	202	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	47	-1	-1	-1	-1	-1	-1	47	-1	-1	-1	-1	-1	-1	47	-1	-1	-1	-1	-1	47	47	2	47	47	47	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	1062	4	7	1	250	10210036	0	0	0	1	-1
10210036	1	2	10	36	1	237	22	-1	-1	九霄帽	72	-1	由灵霄宝殿中的金色云朵制成，防御力奇高，据说乃天神的战备品。	1640	1312	202	3	3	-1	-1	Hat3_8	帽子	1	1	-1	-1	234	234	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	47	-1	-1	-1	-1	-1	-1	47	-1	-1	-1	-1	-1	-1	47	-1	-1	-1	-1	-1	47	47	2	47	47	47	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	1072	4	7	1	250	10210038	0	0	0	1	-1
10210038	1	2	10	38	1	238	22	-1	-1	玄魄羽帽	82	-1	传说是用冥界鬼域魂魄制成，并由大师加持了大悲咒，穿戴者无论所处险境再困难，皆有可能反败为胜。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。	2240	1792	215	3	3	-1	-1	Hat4_2	帽子	1	1	-1	-1	266	266	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	47	-1	-1	-1	-1	-1	-1	47	-1	-1	-1	-1	-1	-1	47	-1	-1	-1	-1	-1	47	47	2	47	47	47	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	1082	4	7	1	250	10210040	0	0	0	1	-1
10210040	1	2	10	40	1	239	22	-1	-1	噬麟圣冠	92	-1	据说是由一种吞噬麒麟而生的神兽皮打造而成的，上有麒麟魂魄的魔力，坚固无比的神奇装备，能够御敌于无形。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。	3160	2528	227	3	3	-1	-1	Hat4_7	帽子	1	1	-1	-1	298	298	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	47	-1	-1	-1	-1	-1	-1	47	-1	-1	-1	-1	-1	-1	47	-1	-1	-1	-1	-1	47	47	2	47	47	47	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	1092	4	7	1	250	-1	0	0	0	1	-1
10210054	1	2	10	54	1	246	22	-1	-1	隐狼盔	62	-1	具有灵性的罕有之物，据传是圣兽隐狼被降伏后幻变而成，蕴涵了无穷的能量。 	1255	1004	190	3	3	-1	-1	Hat2_13	帽子	1	1	-1	-1	202	202	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	61	-1	2	61	61	61	61	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	1062	4	7	1	250	10210056	0	0	0	1	-1
