INT	INT	INT	INT	INT	INT	INT	INT	
INT	INT	INT	INT	INT	INT	INT	INT	
1	-1	250	-1	-1	-1	1	1	
2	-1	251	-1	-1	-1	1	2	
3	-1	252	-1	-1	-1	1	3	
4	-1	253	-1	-1	-1	1	4	
5	-1	254	-1	-1	-1	1	5	
6	-1	255	-1	-1	-1	1	6	
7	-1	256	-1	-1	-1	1	7	
8	-1	257	-1	-1	-1	1	8	
9	-1	258	-1	-1	-1	1	9	
10	-1	259	-1	-1	-1	1	10	
11	-1	260	-1	-1	-1	1	11	
12	-1	261	-1	-1	-1	1	12	
13	-1	262	-1	-1	-1	1	13	
14	-1	263	-1	-1	-1	1	14	
15	-1	264	-1	-1	-1	1	15	
16	-1	265	-1	-1	-1	1	16	
17	-1	266	-1	-1	-1	1	17	
18	-1	267	-1	-1	-1	1	18	
19	-1	268	-1	-1	-1	1	19	
20	-1	269	-1	-1	-1	1	20	
21	-1	270	-1	-1	-1	1	21	
22	-1	271	-1	-1	-1	1	22	
23	-1	272	-1	-1	-1	1	23	
24	-1	273	-1	-1	-1	1	24	
25	-1	274	-1	-1	-1	1	25	
26	-1	275	-1	-1	-1	1	26	
27	-1	276	-1	-1	-1	1	27	
28	-1	277	-1	-1	-1	1	28	
29	-1	278	-1	-1	-1	1	29	
30	-1	279	-1	-1	-1	1	30	
31	-1	280	-1	-1	-1	1	31	
32	-1	281	-1	-1	-1	1	32	
33	-1	284	-1	-1	-1	1	33	
34	-1	282	-1	-1	-1	1	34	
35	-1	283	-1	-1	-1	1	35	
36	-1	286	-1	-1	-1	1	36	
37	-1	337	-1	-1	-1	1	37	
38	-1	338	-1	-1	-1	1	38	
39	-1	339	-1	-1	-1	1	39	
40	-1	340	-1	-1	-1	1	40	
41	-1	341	-1	-1	-1	1	41	
42	-1	342	-1	-1	-1	1	42	
43	-1	343	-1	-1	-1	1	43	
44	-1	360	-1	-1	-1	1	44	
45	-1	361	-1	-1	-1	1	45	
46	-1	362	-1	-1	-1	1	46	
47	-1	363	-1	-1	-1	1	47	
48	-1	364	-1	-1	-1	1	48	
49	-1	365	-1	-1	-1	1	49	
50	-1	366	-1	-1	-1	1	50	
51	-1	367	-1	-1	-1	1	51	
52	-1	368	-1	-1	-1	1	52	
53	-1	369	-1	-1	-1	1	53	
54	-1	370	-1	-1	-1	1	54	
55	-1	371	-1	-1	-1	1	55	
56	-1	372	-1	-1	-1	1	56	
57	-1	373	-1	-1	-1	1	57	
58	-1	374	-1	-1	-1	1	58	
59	-1	375	-1	-1	-1	1	59	
60	-1	376	-1	-1	-1	1	60	
61	-1	377	-1	-1	-1	1	61	
62	-1	378	-1	-1	-1	1	62	
63	-1	284	-1	-1	-1	2	33	
64	-1	284	-1	-1	-1	3	33	
65	-1	284	-1	-1	-1	4	33	
66	-1	284	-1	-1	-1	5	33	
67	-1	284	-1	-1	-1	6	33	
68	-1	284	-1	-1	-1	7	33	
69	-1	284	-1	-1	-1	8	33	
70	-1	284	-1	-1	-1	9	33	
71	-1	340	-1	-1	-1	2	40	
72	-1	340	-1	-1	-1	3	40	
73	-1	340	-1	-1	-1	4	40	
74	-1	340	-1	-1	-1	5	40	
75	-1	340	-1	-1	-1	6	40	
76	-1	340	-1	-1	-1	7	40	
