INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Index	EquipId	Reserver	Reserver	SpecialAction1	SpecialAction2	SpecialAction3	SpecialAction4	SpecialAction5	SpecialAction6
1	10125382	444	0	24	25	-1	-1	-1	-1
2	10125383	444	0	24	25	-1	-1	-1	-1
3	10125384	444	0	24	25	-1	-1	-1	-1
4	10125385	444	0	24	25	-1	-1	-1	-1
5	10125386	444	0	24	25	-1	-1	-1	-1
6	10125387	444	0	24	25	-1	-1	-1	-1
7	10125388	444	0	24	25	-1	-1	-1	-1
8	10125389	444	0	24	25	-1	-1	-1	-1
9	10125390	444	0	24	25	-1	-1	-1	-1
10	10125391	444	0	24	25	-1	-1	-1	-1
11	10125392	444	0	24	25	-1	-1	-1	-1
12	10125393	444	0	24	25	-1	-1	-1	-1
13	10125394	444	0	24	25	-1	-1	-1	-1
14	10125395	444	0	24	25	-1	-1	-1	-1
15	10125396	444	0	24	25	-1	-1	-1	-1
16	10125397	444	0	24	25	-1	-1	-1	-1
17	10125398	444	0	24	25	-1	-1	-1	-1
18	10125399	444	0	24	25	-1	-1	-1	-1
19	10125400	444	0	24	25	-1	-1	-1	-1
20	10125401	444	0	24	25	-1	-1	-1	-1
21	10125402	444	0	24	25	-1	-1	-1	-1
22	10125403	444	0	24	25	-1	-1	-1	-1
23	10125404	444	0	24	25	-1	-1	-1	-1
24	10125405	444	0	24	25	-1	-1	-1	-1
25	10125406	444	0	24	25	-1	-1	-1	-1
26	10125407	444	0	24	25	-1	-1	-1	-1
27	10125408	444	0	24	25	-1	-1	-1	-1
28	10125409	444	0	24	25	-1	-1	-1	-1
29	10125410	444	0	24	25	-1	-1	-1	-1
30	10125411	444	0	24	25	-1	-1	-1	-1
31	10125412	444	0	24	25	-1	-1	-1	-1
32	10125413	444	0	24	25	-1	-1	-1	-1
33	10125414	444	0	24	25	-1	-1	-1	-1
34	10125415	444	0	24	25	-1	-1	-1	-1
35	10125416	444	0	24	25	-1	-1	-1	-1
36	10125417	444	0	24	25	-1	-1	-1	-1
37	10125418	444	0	24	25	-1	-1	-1	-1
38	10125419	444	0	24	25	-1	-1	-1	-1
39	10125420	444	0	24	25	-1	-1	-1	-1
40	10125421	444	0	24	25	-1	-1	-1	-1
41	10125422	444	0	24	25	-1	-1	-1	-1
42	10125423	444	0	24	25	-1	-1	-1	-1
43	10125424	444	0	24	25	-1	-1	-1	-1
44	10125425	444	0	24	25	-1	-1	-1	-1
45	10125426	444	0	24	25	-1	-1	-1	-1
46	10125427	444	0	24	25	-1	-1	-1	-1
47	10125428	444	0	24	25	-1	-1	-1	-1
48	10125429	444	0	24	25	-1	-1	-1	-1
49	10125430	444	0	24	25	-1	-1	-1	-1
