INT	STRING	FLOAT	FLOAT	FLOAT	FLOAT
INT	STRING	FLOAT	FLOAT	FLOAT	FLOAT
0	H±	1.2	14	1.2	14
1	Hoàng Phiêu Mã	1.2	12	1.2	12
2	Khôi Lang	1	13	1	13
3	Ğiêu	2.9	16	2.9	16
4	Lµc	1.2	12	1.2	12
5	HÕc	2.3	19	2.3	19
6	Thanh Phøng	2.8	20	2.8	20
7	LÕc Ğà	1.3	13	1.3	13
8	Mao Ngßu	1.2	12	1.2	12
9	BÕch H±	1.2	14	1.2	14
10	Thanh BÕch Thông Mã	1.2	12	1.2	12
11	BÕch Lang	1	13	1	13
12	BÕch Ğiêu	2.9	16	2.9	16
13	BÕch Lµc	1.2	12	1.2	12
14	Kim Dñc HÕc	2.3	19	2.3	19
15	H°ng BÕch Phøng	2.8	20	2.8	20
16	BÕch LÕc Ğà	1.4	13	1.4	13
17	BÕch Mao Ngßu	1.2	12	1.2	12
18	Sß TØ	1	13	1	13
19	BÕch Sß	1	13	1	13
21	Løc Hành Ğiêu	1.4	12	1.4	12
24	ĞÕi Tßşng	1.3	13	1.3	13
26	Løc Ngô	1	14	1	14
27	Xe g²	1.2	12	1.2	12
28	Ğà Ği¬u	1.4	12	1.4	12
29	Tê Ngßu	1.2	13	1.2	13
30	Hùng	1.2	12	1.2	12
31	Huy«n Quy	1.2	12	1.2	12
32	Kı hi®u kÜ sî	1.4	18	1.4	18
33	Hà mã	1.2	12	1.2	12
34	Xe ngña	1.2	18	1.2	18
35	Thiên Mã	1.3	13	1.3	13
36	Th¯ TØ	1.6	15	1.6	15
37	Vû Sß	1.1	11	1.1	11
38	Thu¥n Lµc	1.6	13	1.6	13
39	Sí Bàng: Tuyªt Vû	2.2	13	2.2	13
40	Cñ Nhân: Hoàng Cân Lñc Sî	2	18	2	18
41	Phi Long: ĞÕi Phong	4.3	35	4.3	35
42	Trßşt tuyªt	1.4	22	1.4	22
43	TØ Ği®n	2	17	2	17
44	Sí Bàng: Minh Vû	2.2	13	2.2	13
45	Nhß ı Hùng	1.2	12	1.2	12
46	Bích Thüy Kim Tình Thú	2	22	2	22
47	Xoay tròn ngña g²	2	17	2.2	24
48	Niên Thú	1.2	14	1.2	14
49	Xe hoa	1.7	15	1.7	18
50	Mây tr¡ng	1	15	1	15
51	Ğ¤t ğen	1	15	1	15
52	Cñ Viên	2	20	2	20
53	Vø Änh Ğiêu	3.3	19	3.3	19
54	Lßu Li Phøng	3.4	21	3.4	21
55	ThuÜ Liên HÕc	2.7	21	2.7	21
56	Nhß İ H±	1.2	16	1.2	16
57	Ngân Nguy®t Lang	1	15	1	15
58	Th¤t Thái Lµc	1.9	17	1.9	17
59	Long Huyªt Mã	2	17	2	17
60	Thanh Mao Ngßu	1.3	15	1.3	15
61	Li®t Di®m Sß	1.2	16	1.2	16
62	Sí Bàng: Hoan Vû	2.2	13	2.2	13
63	Thi¬m Ği®n Ğiêu	1.5	13	1.5	13
64	Ği®p Vû	2.2	13	2.2	13
65	Ba Thiên H±	1.3	15	1.3	15
66	Dß½ng Dß½ng	1.4	14	1.4	14
67	Tuyªt Dß½ng Dß½ng	1.4	14	1.4	14
68	U Quang Dß½ng	1.4	16	1.4	16
69	R°ng bay 	2	18	2	18
70	Ng÷n lØa Ğiêu	1.5	13	1.5	13
71	G¤u mèo	1.2	13	1.2	13
72	Lôi Nh§n Thú	1.2	12	1.2	12
73	Xích M¸ ¿ng	3.3	22	3.3	22
