INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	INT	INT
ExteriorId	Name	Icon	Desc	VisualId	ActionId	PosXMin	PosXMax	PosYMin	PosYMax	PosZMin	PosZMax	默认参数（女）	默认参数（女）	默认参数（女）	默认参数（男）	默认参数（男）	默认参数（男）	客户端用偏移	客户端用偏移	客户端用偏移	客户端用偏移	客户端用偏移	客户端用偏移	能否调节	索引ID
1	月光宝盒	BackDecorate1_1	爱你万年，万年不变。	1	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	-1
2	冰峰	BackDecorate1_2	琉璃注琼浆，一饮解百忧。	2	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	-1
3	美丽冻梨	BackDecorate1_3	美丽无罪，冻梨落泪。	3	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	-1
4	赤夜凰影	BackDecorate1_4	东风临夜落影红，凰舞九天羽追风。	5	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	-1
5	龙佑九州	BackDecorate1_5	四海升平，九州安宁。	8	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	-1
6	金羽剑匣	BackDecorate1_6	匣中藏剑气如虹，金羽生辉映碧空。	9	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	-1
7	银霜剑匣	BackDecorate1_7	寒月风华映凝霜，冷意缠剑入匣藏。	10	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	-1
8	夏日豹豹冰	BackDecorate1_8	豹豹冰凉盛一盏，抖落暑气自清凉。	12	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	-1
9	诗画录	BackDecorate1_10	昼夜寒窗不思归，诗书阅尽天下闻。	14	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	-1
10	无忧梦	BackDecorate1_9	兰若一遇已刻骨，再赴前缘梦无忧。	15	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	-1
11	金阙宝葫	BackDecorate1_11	腹纳三江气，金乌宝相生。	16	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	-1
12	紫霄宝葫	BackDecorate1_12	青藤悬星斗，腹圆容万千。	17	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	-1
13	貊隐清池	JD_BackDecorate1_1	貊隐清池	20	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	-1
14	金乌耀世	JD_BackDecorate1_2	金乌耀世	22	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	-1
15	护背旗	JD_BackDecorate1_3	护背旗	24	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	-1
16	八矢逐日	JD_BackDecorate1_4	八矢逐日	26	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	-1
17	一千零一夜	JD_BackDecorate1_5	一千零一夜	28	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	-1
18	丹凤朝阳	JD_BackDecorate1_6	丹凤朝阳	34	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	-1
19	午夜熊伯爵	JD_BackDecorate1_7	午夜熊伯爵	43	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	-1
20	浮月情牵	JD_BackDecorate1_12	浮月情牵	65	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	-1
21	落日神弓	JD_BackDecorate1_15	落日神弓	75	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	-1
22	寒山潜龙	JD_BackDecorate1_16	寒山潜龙	79	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	-1
23	冬夜小熊	BackDecorate1_14	巨松抖雪藏曲径，小熊抱鲤踏冰归。	94	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	-1
24	角龙圆圆	BackDecorate1_13	小龙胖团团，圆圆似玉盘。	86	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	-1
25	凤弦鸣音	JD_BackDecorate2_4	凤弦鸣音	90	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	38008191
26	月光协奏曲	JD_BackDecorate2_6	月光协奏曲	98	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	38008320
