INT	INT	INT	INT
激活物件	饰品类型	饰品ID	有效时间
38003260	0	1	24
38003270	0	1	-1
38003321	0	2	-1
38003382	0	3	-1
38003383	1	1	-1
38003425	0	4	-1
38003466	1	2	-1
38003567	1	3	-1
38003583	0	6	-1
38003584	0	7	-1
38003585	1	59	-1
38003586	0	8	-1
38003656	0	9	-1
38003657	0	5	-1
38003659	1	4	-1
38003673	0	10	-1
38003681	0	11	-1
38003682	0	12	-1
38003690	0	24	-1
38003694	1	60	-1
38003696	1	58	-1
38003711	1	58	-1
38003723	1	57	-1
38003724	0	23	-1
38003729	1	57	-1
38005747	1	5	-1
38005834	0	13	-1
38005864	0	14	-1
38005865	1	6	-1
38005945	1	7	-1
38005946	0	15	-1
38005948	1	8	-1
38005949	0	16	-1
38006184	1	9	-1
38006214	0	17	-1
38006314	1	10	-1
38006358	1	11	-1
38006359	1	12	-1
38006391	1	13	-1
38006421	1	14	-1
38006477	1	15	-1
38006478	0	18	-1
38006596	1	17	-1
38006597	1	16	-1
38006605	1	18	-1
38006631	1	19	-1
38006642	1	21	-1
38006643	1	23	-1
38006644	1	24	-1
38006645	1	27	-1
38006646	1	20	-1
38006707	0	19	-1
38006708	1	22	-1
38006719	1	26	-1
38006721	1	25	-1
38006806	1	28	-1
38006807	1	29	-1
38006808	1	30	-1
38006809	1	32	-1
38006810	1	33	-1
38006811	1	35	-1
38006812	1	36	-1
38006863	1	31	-1
38006897	1	34	-1
38007739	1	38	-1
38007801	1	37	-1
38007802	1	39	-1
38007803	1	40	-1
38007804	1	41	-1
38007805	1	43	-1
38007806	1	44	-1
38007807	1	45	-1
38007808	1	46	-1
38007809	1	48	-1
38007812	1	63	-1
38007839	0	20	-1
38007984	1	42	-1
38008010	0	21	-1
38008022	0	22	-1
38008055	1	47	-1
38008190	1	62	-1
38008191	0	25	-1
38008278	1	65	-1
38008281	1	56	-1
38008282	1	64	-1
38008320	0	26	-1
38008321	1	66	-1
