INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT
INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT
1	0	1	1	Phi Dß½ng	PetSoulEquip1_5	50000	38002529	40	1	797	797	797	0
2	0	1	2	Thß½ng Lang	PetSoulEquip1_3	50000	38002528	40	1	797	797	797	0
3	0	1	3	Linh Thi«n	PetSoulEquip1_10	50000	38002527	40	1	797	797	797	0
4	0	1	4	BÕch Câu	PetSoulEquip1_2	50000	38002526	40	1	797	797	797	0
5	0	1	5	Xích Hùng	PetSoulEquip1_4	50000	38002525	40	1	797	797	797	0
6	1	1	6	Lµc Thøc	PetSoulEquip1_11	50000	38002674	1	0	792	793	794	0
7	1	1	7	Kim ô	PetSoulEquip1_7	50000	38002674	1	0	777	778	779	0
8	1	1	8	Sß½ng HÕc	PetSoulEquip1_13	50000	38002674	1	0	784	785	786	0
9	1	1	9	Huy­n Ði®p	PetSoulEquip1_6	50000	38002674	1	0	775	776	767	0
10	1	1	10	C¦m Lân	PetSoulEquip1_8	50000	38002674	1	0	790	791	769	0
11	2	1	11	CØu vî	PetSoulEquip1_9	50000	38002673	1	0	781	782	783	0
12	2	1	12	Chu Tß¾c	PetSoulEquip1_15	50000	38002673	1	0	770	771	772	0
13	2	1	13	BÕch H±	PetSoulEquip1_1	50000	38002673	1	0	773	774	768	0
14	2	1	14	Huy«n Võ	PetSoulEquip1_14	50000	38002673	1	0	787	788	789	0
15	2	1	15	Thanh Long	PetSoulEquip1_12	50000	38002673	1	0	795	796	780	0
16	3	0	16	Cùng C½	PetSoulEquip2_15	0	0	999	0	946	947	948	0
17	2	1	17	C¯t Dñc	PetSoulAdorn1_2	50000	38003229	1	0	1328	1328	1328	1
18	2	1	18	Hàm Nguy®t	PetSoulAdorn2_2	50000	38003683	1	0	1505	1505	1505	1
