INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ExteriorID	???? 1-???? 2-????	????	Quality	????	Index	????	??	??	ToolTips	CharMountID	????	?????	????ID	??????	Imp_10	Imp_20	Imp_40	Imp_60	Imp_70	Imp_75	Imp_80	Imp_85	Imp_90	Imp_95	Imp_100
1	1	20	4	1	1	-1	Løc Hành Ğiêu	RideHeader1_9	#G	21	10	0	0	0	43101	43198	43295	-1	43392	43489	43586	43683	47705	-1	-1
2	1	40	4	1	2	0	H±	RideHeader1_13	#r#GC†n Thiªu Lâm môn phái Khä g÷i v«.	0	40	0	0	0	43102	43199	43296	-1	43393	43490	43587	43684	47681	-1	-1
3	1	40	4	1	3	6	Hoàng Phiêu Mã	RideHeader1_1	#r#GC†n Thiên Long Môn Phái Khä g÷i v«.	1	40	0	0	0	43103	43200	43297	-1	43394	43491	43588	43685	47683	-1	-1
4	1	40	4	1	4	-1	LÕc Ğà	RideHeader1_11	#G	7	80	0	0	0	43104	43201	43298	-1	43395	43492	43589	43686	47710	-1	-1
5	1	40	4	1	5	3	HÕc	RideHeader2_2	#r#GC†n Võ Ğang môn phái Khä g÷i v«.	5	40	0	0	0	43105	43202	43299	-1	43396	43493	43590	43687	47676	-1	-1
6	1	40	4	1	6	4	Thanh Phøng	RideHeader1_16	#r#GC†n Nga Mi môn phái Khä g÷i v«.	6	40	0	0	0	43106	43203	43300	-1	43397	43494	43591	43688	47721	-1	-1
7	1	40	4	1	7	5	Mao Ngßu	RideHeader1_3	#r#GC†n Tinh Tú Môn Phái Khä g÷i v«.	8	40	0	0	0	43107	43204	43301	-1	43398	43495	43592	43689	47712	-1	-1
8	1	40	4	1	8	8	Lµc	RideHeader1_5	#r#GC†n Tiêu Dao Môn Phái Khä g÷i v«.	4	40	0	0	0	43108	43205	43302	-1	43399	43496	43593	43690	47709	-1	-1
9	1	40	4	1	9	7	Ğiêu	RideHeader1_9	#r#GC†n Thiên S½n môn phái Khä g÷i v«.	3	40	0	0	0	43109	43206	43303	-1	43400	43497	43594	43691	47662	-1	-1
10	1	40	4	1	10	2	Khôi Lang	RideHeader1_7	#r#GC†n Cái Bang môn phái Khä g÷i v«.	2	40	0	0	0	43110	43207	43304	-1	43401	43498	43595	43692	47684	-1	-1
11	1	60	4	1	12	0	BÕch H±	RideHeader1_14	#r#GC†n Thiªu Lâm môn phái Khä g÷i v«.	9	70	0	0	0	43111	43208	43305	-1	43402	43499	43596	43693	47645	-1	-1
12	1	60	4	1	13	6	Thanh BÕch Thông Mã	RideHeader1_2	#r#GC†n Thiên Long Môn Phái Khä g÷i v«.	10	70	0	0	0	43112	43209	43306	-1	43403	43500	43597	43694	47720	-1	-1
13	1	60	4	1	14	-1	BÕch LÕc Ğà	RideHeader1_12	#G	16	80	0	0	0	43113	43210	43307	-1	43404	43501	43598	43695	47648	-1	-1
14	1	60	4	1	15	3	Kim Dñc HÕc	RideHeader2_1	#r#GC†n Võ Ğang môn phái Khä g÷i v«.	14	70	0	0	0	43114	43211	43308	-1	43405	43502	43599	43696	47688	-1	-1
15	1	60	4	1	16	4	H°ng BÕch Phøng	RideHeader1_15	#r#GC†n Nga Mi môn phái Khä g÷i v«.	15	70	0	0	0	43115	43212	43309	-1	43406	43503	43600	43697	47679	-1	-1
16	1	60	4	1	17	5	BÕch Mao Ngßu	RideHeader1_4	#r#GC†n Tinh Tú Môn Phái Khä g÷i v«.	17	70	0	0	0	43116	43213	43310	-1	43407	43504	43601	43698	47649	-1	-1
17	1	60	4	1	18	8	BÕch Lµc	RideHeader1_6	#r#GC†n Tiêu Dao Môn Phái Khä g÷i v«.	13	70	0	0	0	43117	43214	43311	-1	43408	43505	43602	43699	47647	-1	-1
18	1	60	4	1	19	7	BÕch Ğiêu	RideHeader1_10	#r#GC†n Thiên S½n môn phái Khä g÷i v«.	12	70	0	0	0	43118	43215	43312	-1	43409	43506	43603	43700	47644	-1	-1
19	1	60	4	1	20	2	BÕch Lang	RideHeader1_8	#r#GC†n Cái Bang môn phái Khä g÷i v«.	11	70	0	0	0	43119	43216	43313	-1	43410	43507	43604	43701	47646	-1	-1
20	1	40	4	1	21	1	Sß TØ	RideHeader2_3	#r#GC†n Minh Giáo môn phái Khä g÷i v«.	18	40	0	0	0	43120	43217	43314	-1	43411	43508	43605	43702	47732	-1	-1
21	1	60	4	1	22	1	BÕch Sß	RideHeader2_4	#r#GC†n Minh Giáo môn phái Khä g÷i v«.	19	70	0	0	0	43121	43218	43315	-1	43412	43509	43606	43703	47650	-1	-1
22	2	10	4	1	24	-1	ĞÕi Tßşng	RideHeader2_5	#r#Gg?i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	24	70	0	0	0	43122	43219	43316	-1	43413	43510	43607	43704	47745	-1	-1
23	2	10	4	1	25	-1	Tê Ngßu	RideHeader2_15	#r#Gg?i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	29	70	0	0	0	43123	43220	43317	-1	43414	43511	43608	43705	47651	-1	-1
24	2	10	4	1	26	-1	Huy«n Quy	RideHeader2_12	#r#Gg?i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	31	70	0	0	0	43124	43221	43318	-1	43415	43512	43609	43706	47749	-1	-1
25	1	10	4	1	27	-1	Løc Ngô	RideHeader2_10	#G	26	80	0	0	0	43125	43222	43319	-1	43416	43513	43610	43707	47707	-1	-1
26	1	10	4	1	28	-1	Xe g²	RideHeader2_13	#G	27	80	0	0	0	43126	43223	43320	-1	43417	43514	43611	43708	47714	-1	-1
27	1	10	4	1	29	-1	Hùng	RideHeader2_9	#G	30	80	0	0	0	43127	43224	43321	-1	43418	43515	43612	43709	47747	-1	-1
28	1	10	4	1	30	-1	Kı hi®u kÜ sî	RideHeader2_14	#G	32	80	0	0	0	43128	43225	43322	-1	43419	43516	43613	43710	47672	-1	-1
29	1	10	4	1	31	-1	Ğà Ği¬u	RideHeader2_11	#G	28	80	0	0	0	43129	43226	43323	-1	43420	43517	43614	43711	47740	-1	-1
30	2	10	4	1	39	-1	Hà mã	Ride2_15	#G	33	70	0	0	0	43130	43227	43324	-1	43421	43518	43615	43712	47675	-1	-1
31	1	10	4	1	40	-1	Xe ngña	Ride2_11	#G	34	80	0	0	0	43131	43228	43325	-1	43422	43519	43616	43713	47711	-1	-1
32	1	10	4	1	41	-1	Thiên Mã	Ride2_13	#G	35	85	1	0	0	43132	43229	43326	-1	43423	43520	43617	43714	47737	-1	-1
33	1	10	4	1	42	-1	Th¯ TØ	Ride2_9	#G	36	80	0	0	0	43133	43230	43327	-1	43424	43521	43618	43715	47739	-1	-1
34	1	10	4	1	43	-1	Vû Sß	Ride2_14	#G	37	80	0	0	0	43134	43231	43328	-1	43425	43522	43619	43716	47742	-1	-1
35	1	10	4	1	44	-1	Thu¥n Lµc	Ride2_10	#G	38	80	0	0	0	43135	43232	43329	-1	43426	43523	43620	43717	47753	-1	-1
36	2	10	4	0	51	-1	ĞÕi Tßşng(Mµt Gia k¸ch bän g¯c A)	RideHeader2_5	#r#Gg?i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	24	80	0	0	0	43136	43233	43330	-1	43427	43524	43621	43718	47745	-1	-1
37	2	10	4	0	52	-1	Tê Ngßu(Mµt Gia k¸ch bän g¯c A)	RideHeader2_15	#r#Gg?i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	29	80	0	0	0	43137	43234	43331	-1	43428	43525	43622	43719	48118	-1	-1
38	2	10	4	0	54	-1	Huy«n Quy(Mµt Gia k¸ch bän g¯c A)	RideHeader2_12	#r#Gg?i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	31	80	0	0	0	43138	43235	43332	-1	43429	43526	43623	43720	47749	-1	-1
39	1	10	4	0	55	-1	Løc Ngô(Mµt Gia k¸ch bän g¯c A)	RideHeader2_10	#G	26	80	0	0	0	43139	43236	43333	-1	43430	43527	43624	43721	47707	-1	-1
40	1	10	4	0	56	-1	Xe g²(Mµt Gia k¸ch bän g¯c A)	RideHeader2_13	#G	27	80	0	0	0	43140	43237	43334	-1	43431	43528	43625	43722	47714	-1	-1
41	1	10	4	0	58	-1	Kı hi®u kÜ sî(Mµt Gia k¸ch bän g¯c A)	RideHeader2_14	#G	32	80	0	0	0	43141	43238	43335	-1	43432	43529	43626	43723	47672	-1	-1
42	1	10	4	0	59	-1	Ğà Ği¬u(Mµt Gia k¸ch bän g¯c A)	RideHeader2_11	#G	28	80	0	0	0	43142	43239	43336	-1	43433	43530	43627	43724	47740	-1	-1
43	1	10	4	1	60	-1	Tuyªt Vû	Ride2_12	#G	39	80	0	0	0	43143	43240	43337	-1	43434	43531	43628	43725	47738	-1	-1
44	2	10	4	1	63	-1	Gió to	RideHeader2_7	#r#Gg?i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	41	70	0	0	0	43144	43241	43338	-1	43435	43532	43629	43726	47666	-1	-1
45	1	10	4	1	66	-1	Hoàng Cân Lñc Sî	RideHeader2_16	#G	40	80	0	0	0	43145	43242	43339	-1	43436	43533	43630	43727	47689	-1	-1
46	2	10	4	1	69	-1	Trßşt tuyªt	Ride2_3	#r#Gg?i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	42	80	1	0	0	43146	43243	43340	-1	43437	43534	43631	43728	47752	-1	-1
47	2	10	4	1	72	-1	TØ Ği®n	Ride2_4	#r#Gg?i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	43	85	1	0	1	43147	43244	43341	-1	43438	43535	43632	43729	47762	-1	-1
48	1	10	4	1	75	-1	Minh Vû	Ride2_16	#G	44	80	0	0	0	43148	43245	43342	-1	43439	43536	43633	43730	47735	-1	-1
49	1	10	4	1	84	-1	Nhß ı Hùng	RideHeader2_8	#G	45	80	0	0	0	43149	43246	43343	-1	43440	43537	43634	43731	47727	-1	-1
50	1	10	4	1	88	-1	Bích Thüy Kim Tình Thú	Ride2_5	#G	46	80	0	0	0	43150	43247	43344	-1	43441	43538	43635	43732	47653	-1	-1
51	1	10	4	1	95	-1	Niên Thú	Ride2_6	#G	48	80	0	0	0	43151	43248	43345	-1	43442	43539	43636	43733	47715	-1	-1
52	2	10	4	1	98	-1	Xe hoa	Ride2_7	#r#Gg?i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	49	70	0	0	0	43152	43249	43346	-1	43443	43540	43637	43734	47682	-1	-1
53	2	10	4	1	101	-1	Xoay tròn ngña g²	Ride2_8	#r#Gg?i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	47	70	0	0	0	43153	43250	43347	-1	43444	43541	43638	43735	47750	-1	-1
54	1	10	4	1	109	-1	Mây tr¡ng	RideHeader3_1	#G	50	80	0	0	0	43154	43251	43348	-1	43445	43542	43639	43736	47652	-1	-1
55	1	10	4	1	113	-1	Ğ¤t ğen	RideHeader3_2	#G	51	80	0	0	0	43155	43252	43349	-1	43446	43543	43640	43737	47678	-1	-1
56	1	10	4	1	119	-1	Cñ Viên	RideHeader3_3	#G	52	80	0	0	0	43156	43253	43350	-1	43447	43544	43641	43738	47690	-1	-1
