INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	INT	INT	INT
ExteriorId	Name	Icon	Desc	VisualId	ActionId	PosXMin	PosXMax	PosYMin	PosYMax	PosZMin	PosZMax	????(?)	????(?)	????(?)	????(?)	????(?)	????(?)	??????	??????	??????	??????	??????	??????	????	????	??ID
1	Che tai Nhung MÕo	TopDecorate3_1	Che tai Nhung MÕo	4	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38003383
2	Thú nguy®t th¥n Quân	TopDecorate3_5	Thú nguy®t th¥n Quân	6	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38003466
3	Thß¾c Änh Phù Quang	TopDecorate3_11	Thß¾c Änh Phù Quang	7	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38003567
4	Lan Nhßþc U Liêm	TopDecorate3_15	Lan Nhßþc U Liêm	13	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38003659
5	Ph¦m Trúc Nhi Ca	JD_TopDecorate1_1	Ph¦m Trúc Nhi Ca	19	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38005747
6	Lßu Kim Phi Vû	JD_TopDecorate1_2	Lßu Kim Phi Vû	21	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38005865
7	Trî Mao Linh	JD_TopDecorate1_3	Trî Mao Linh	23	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38005945
8	Thanh Hoa Ánh Huy	JD_TopDecorate1_4	Thanh Hoa Ánh Huy	25	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38005948
9	Th¯ Nhî Manh Manh	JD_TopDecorate1_5	Th¯ Nhî Manh Manh	27	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38006184
10	Mßa gió Ð°ng Quy	JD_TopDecorate1_6	Mßa gió Ð°ng Quy	29	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38006314
11	Mßa gió Ð°ng Quy·lØa cháy lan ra ð°ng cö	JD_TopDecorate1_7	Mßa gió Ð°ng Quy·lØa cháy lan ra ð°ng cö	30	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38006358
12	Mßa gió Ð°ng Quy·Khäi Minh	JD_TopDecorate1_8	Mßa gió Ð°ng Quy·Khäi Minh	31	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38006359
13	Lßu Vân MÕo	JD_TopDecorate1_9	Lßu Vân MÕo	32	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38006391
14	H° Nhî Nhung Nhung	JD_TopDecorate1_10	H° Nhî Nhung Nhung	33	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38006421
15	Tình Nhân L®	JD_TopDecorate1_11	Tình Nhân L®	35	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38006477
16	Tình ý kéo dài	JD_TopDecorate1_12	Tình ý kéo dài	36	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38006597
17	Tß½ng thân tß½ng ái	JD_TopDecorate1_13	Tß½ng thân tß½ng ái	37	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38006596
18	Ngß¶i Trong Giang H°	JD_TopDecorate1_14	Ngß¶i Trong Giang H°	39	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38006605
19	G¤u mèo Hi®p	JD_TopDecorate1_15	G¤u mèo Hi®p	38	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38006631
20	Phúc Lµc Bäo Quan	JD_TopDecorate1_16	Phúc Lµc Bäo Quan	40	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38006646
21	Th¥n long HÕ Tuª	TopDecorate2_2	Th¥n long HÕ Tuª	41	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38006642
22	M£t giä hi®u M¸ Änh	TopDecorate2_1	M£t giä hi®u M¸ Änh	42	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38006708
23	Ðän gà ðë	TopDecorate2_3	Ðän gà ðë	44	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38006643
24	Ng½ ngác Ngßu	TopDecorate2_4	Ng½ ngác Ngßu	45	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38006644
25	Ðän Ðän Long	TopDecorate2_5	Ðän Ðän Long	46	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38006721
26	Sùng Vû cái thª	TopDecorate2_6	Sùng Vû cái thª	47	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38006719
27	Doanh Phß½ng Hoàn	TopDecorate2_7	Doanh Phß½ng Hoàn	48	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38006645
28	Ð°ng Thú MÕo	TopDecorate2_8	Ð°ng Thú MÕo	49	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38006806
29	Hô Hà Th¯	TopDecorate2_9	Hô Hà Th¯	50	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38006807
30	S×ng hß½u th¥m thì	TopDecorate2_10	S×ng hß½u th¥m thì	51	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38006808
31	ONLY YOU	TopDecorate2_11	ONLY YOU	52	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38006863
32	Thiên hß½ng qu¯c s¡c	TopDecorate2_12	Thiên hß½ng qu¯c s¡c	54	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38006809
33	T¯i T¸nh Ðích TØ	TopDecorate2_13	T¯i T¸nh Ðích TØ	55	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38006810
34	Nhøc Giáp Mô	TopDecorate2_14	Nhøc Giáp Mô	56	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38006897
35	Ánh Tuyªt Kªt	TopDecorate2_15	Ánh Tuyªt Kªt	58	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38006811
36	Quai Manh Tuyªt Bäo	TopDecorate2_16	Quai Manh Tuyªt Bäo	60	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38006812
37	Meo meo meo meo Hæu Ngß	TopDecorate3_2	Meo meo meo meo Hæu Ngß	62	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38007801
38	Ti«n Trình T¸ C¦m	TopDecorate3_3	Ti«n Trình T¸ C¦m	64	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38007739
39	Mãn Phân ngß¶i yêu	TopDecorate3_4	Mãn Phân ngß¶i yêu	66	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38007802
40	Ng÷c Nhøy Hàm Hß½ng	TopDecorate3_6	Ng÷c Nhøy Hàm Hß½ng	68	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38007803
41	Th¯ Nhî Kªt	TopDecorate3_7	Th¯ Nhî Kªt	69	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38007804
42	Chúc M×ng Sinh Nh§t	TopDecorate3_8	Chúc M×ng Sinh Nh§t	70	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38007984
43	Ti¬u Ði«m H°	TopDecorate3_9	Ti¬u Ði«m H°	71	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38007805
44	Trâm Hoa h÷c sî MÕo	TopDecorate3_10	Trâm Hoa h÷c sî MÕo	74	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38007806
45	Phong Hà MÕo	TopDecorate3_12	Phong Hà MÕo	77	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38007807
46	ÐÕi Qu¤t Mô Ngß	TopDecorate3_13	ÐÕi Qu¤t Mô Ngß	78	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38007808
47	Huy­n Ði®p Linh Âm	TopDecorate3_14	Huy­n Ði®p Linh Âm	80	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38008055
48	Nguy®t Quª bao quanh	TopDecorate3_16	Nguy®t Quª bao quanh	84	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38007809
56	Ð¥u h± MÕo	JD_TopDecorate4_7	Ð¥u h± MÕo	92	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38008281
57	Hùng oai hùng	JD_TopDecorate4_6	Hùng oai hùng	93	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38008251
58	Ngû Täi ð°ng hành	TopDecorate1_7	Ngû Täi ð°ng hành	18	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38003696
59	Nhi«u loÕi hoa ChÑc HÕ	TopDecorate1_5	Nhi«u loÕi hoa ChÑc HÕ	11	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38003585
60	Giác Long cu°n cuµn	TopDecorate1_8	Giác Long cu°n cuµn	87	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38003694
61	C½ Thú bí ðö MÕo	JD_TopDecorate4_1	C½ Thú bí ðö MÕo	85	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	0	0	38007810
62	Già Lâu Chiªu Änh	JD_TopDecorate4_4	Già Lâu Chiªu Änh	89	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38008190
63	Ngày sinh Kh±ng TØ Nai Con	JD_TopDecorate4_5	Ngày sinh Kh±ng TØ Nai Con	91	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	0	1	38007812
64	Tuyên Ngôn Tình Yêu	JD_TopDecorate4_8	Tuyên Ngôn Tình Yêu	95	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.1	0.1	0.1	0.1	0.1	0.1	1	0	38008282
