INT	INT	INT	INT
Index	ItemID	ExteriorID	MenPaiLimited
1	38002608	1	-1
2	38002609	2	-1
3	38002610	3	-1
4	38002611	4	-1
5	38002612	5	-1
6	38002613	6	-1
7	38002614	7	-1
8	38002616	8	-1
9	38002615	9	-1
10	38002617	10	-1
11	38002618	11	-1
12	38002619	12	-1
13	38002620	13	-1
14	38002621	14	-1
15	38002626	15	-1
16	38002627	16	-1
17	38002628	17	-1
18	38002629	18	-1
19	38002630	19	-1
20	38002963	20	-1
23	38003019	23	-1
24	38003020	24	-1
25	38003021	25	-1
26	38003022	26	-1
27	38002994	27	-1
28	38003023	28	-1
29	38003024	29	-1
30	38003214	30	-1
31	38003215	31	-1
32	38003216	32	-1
33	38003217	33	-1
34	38003323	34	-1
35	38003322	35	-1
36	38003327	36	-1
37	38003377	37	-1
38	38003378	38	-1
39	38003448	39	-1
40	38003449	40	-1
41	38003450	41	-1
42	38003587	42	168
43	38003588	42	360
44	38003589	42	720
45	38003582	45	-1
46	38003604	46	-1
47	38003609	47	-1
48	38003663	48	-1
49	38003664	48	720
50	38003669	49	-1
51	38003670	50	-1
52	38003671	51	-1
53	38003672	52	-1
54	38003679	53	-1
55	38003680	54	-1
56	38003693	55	-1
57	38003705	34	-1
60	38003707	56	-1
61	38003718	57	-1
62	38003728	58	-1
63	38003731	59	-1
64	38003767	37	-1
65	38003768	37	-1
66	38003769	37	-1
67	38010001	60	-1
68	38010002	61	-1
69	38010003	62	-1
70	38010004	63	-1
71	38010005	64	-1
72	38010006	65	-1
73	38010007	66	-1
74	38010008	67	-1
75	38010009	68	-1
76	38010010	69	-1
77	38010011	70	-1
78	38010012	71	-1
79	38010013	72	-1
80	38010014	73	-1
81	38010015	74	-1
82	38010016	75	-1
83	38010017	76	-1
84	38010018	77	-1
85	38010019	78	-1
86	38010020	79	-1
87	38010021	80	-1
88	38010022	81	-1
89	38010023	82	-1
90	38010024	83	-1
91	38010025	84	-1
92	38010026	85	-1
93	38010027	86	-1
94	38010028	87	-1
95	38010029	88	-1
96	38010030	89	-1
97	38010031	90	-1
98	38010032	91	-1
99	38010033	92	-1
100	38010034	93	-1
101	38010035	94	-1
102	38010036	95	-1
103	38010037	96	-1
104	38010038	97	-1
105	38010039	98	-1
106	38010040	99	-1
107	38010041	100	-1
108	38010042	101	-1
109	38010043	102	-1
110	38010044	103	-1
111	38010045	104	-1
112	38010046	105	-1
113	38010047	106	-1
114	38010048	107	-1
115	38010049	108	-1
116	38010050	109	-1
117	38010051	110	-1
118	38010052	111	-1
119	38010053	112	-1
120	38010054	113	-1
121	38010055	114	-1
122	38010056	115	-1
123	38010057	116	-1
124	38010058	117	-1
125	38010059	118	-1
126	38010060	119	-1
127	38010061	120	-1
128	38010062	121	-1
129	38010063	122	-1
130	38010064	123	-1
131	38010065	124	-1
132	38010066	125	-1
133	38010067	126	-1
134	38010068	127	-1
135	38010069	128	-1
136	38010070	129	-1
137	38010071	130	-1
138	38010072	131	-1
139	38010073	132	-1
140	38010074	133	-1
141	38010075	134	-1
142	38010076	135	-1
143	38010077	136	-1
144	38010078	137	-1
145	38010079	138	-1
146	38010080	139	-1
147	38010081	140	-1
148	38010082	141	-1
149	38010083	142	-1
150	38010084	143	-1
151	38010085	144	-1
152	38010086	145	-1
153	38010087	146	-1
154	38010088	147	-1
155	38010089	148	-1
156	38010090	149	-1
157	38010091	150	-1
158	38010092	151	-1
159	38010093	152	-1
160	38010094	153	-1
161	38010095	154	-1
162	38010096	155	-1
163	38010097	156	-1
164	38010098	157	-1
165	38010099	158	-1
166	38010100	159	-1
167	38010101	160	-1
168	38010102	161	-1
169	38010103	162	-1
170	38010104	163	-1
171	38010105	164	-1
172	38010106	165	-1
173	38010107	166	-1
174	38010108	167	-1
175	38010109	168	-1
176	38010110	169	-1
177	38010111	170	-1
178	38010112	171	-1
179	38010113	172	-1
180	38010114	173	-1
181	38010115	174	-1
182	38010116	175	-1
183	38010117	176	-1
184	38010118	177	-1
185	38010119	178	-1
186	38010120	179	-1
187	38010121	180	-1
188	38010122	181	-1
189	38010123	182	-1
190	38010124	183	-1
191	38010125	184	-1
192	38010126	185	-1
193	38010127	186	-1
194	38010128	187	-1
195	38010129	188	-1
196	38010130	189	-1
197	38010131	190	-1
198	38010132	191	-1
199	38010133	192	-1
200	38010134	193	-1
201	38010135	194	-1
202	38010136	195	-1
203	38010137	196	-1
204	38010138	197	-1
205	38010139	198	-1
206	38010140	199	-1
207	38010141	200	-1
208	38010142	201	-1
209	38010143	202	-1
210	38010144	203	-1
211	38010145	204	-1
212	38010146	205	-1
213	38010147	206	-1
214	38010148	207	-1
215	38010149	208	-1
216	38010150	209	-1
217	38010151	210	-1
218	38010152	208	-1
219	38010153	212	-1
220	38010154	213	-1
221	38010155	214	-1
222	38010156	215	-1
223	38010157	216	-1
