INT	INT	INT	INT
INT	INT	INT	INT
0	20310113	0	500
1	20310114	0	500
2	20600002	0	200000
3	20600005	0	15000
4	20600006	0	50000
5	20600045	0	150000
6	20600046	0	500000
7	20800012	0	49000
8	20800013	0	49000
9	20800014	0	147000
10	20800015	0	147000
11	20800016	0	245000
12	20800017	0	245000
13	30008069	0	10000
14	30008070	0	10000
15	30308075	0	980000
16	30308076	0	980000
17	30308087	0	980000
18	30308088	0	980000
19	30308089	0	980000
20	30308090	0	980000
21	30308091	0	980000
22	30308092	0	980000
23	30308093	0	980000
24	30308143	0	980000
25	30501361	0	100000
26	38002515	0	500000
27	38002516	0	500000
28	38002517	0	500000
29	38002518	0	500000
30	38002519	0	500000
31	38002520	0	100000
32	38002521	0	100000
33	38002522	0	100000
34	38002523	0	100000
35	38002524	0	100000
36	38002525	0	40000
37	38002526	0	40000
38	38002527	0	40000
39	38002528	0	40000
40	38002529	0	40000
41	38002530	0	25000
42	38002531	0	34000
43	38002532	0	49000
44	38002533	0	20000
45	38002534	0	10000
46	38002675	0	500000
47	38002676	0	100000
48	38002677	0	50000
