INT	INT	INT	STRING
INT	INT	INT	STRING
0	442	19	金刚伏魔圈(定身)
1	443	19	金刚伏魔圈(定身)
2	444	19	金刚伏魔圈(定身)
3	445	19	金刚伏魔圈(定身)
4	446	19	金刚伏魔圈(定身)
5	447	19	金刚伏魔圈(定身)
6	448	19	金刚伏魔圈(定身)
7	449	19	金刚伏魔圈(定身)
8	450	19	金刚伏魔圈(定身)
9	451	19	金刚伏魔圈(定身)
10	452	19	金刚伏魔圈(定身)
11	453	19	金刚伏魔圈(定身)
12	346	106	百无禁忌（全免疫）
13	347	106	百无禁忌（全免疫）
14	348	106	百无禁忌（全免疫）
15	349	106	百无禁忌（全免疫）
16	350	106	百无禁忌（全免疫）
17	351	106	百无禁忌（全免疫）
18	352	106	百无禁忌（全免疫）
19	353	106	百无禁忌（全免疫）
20	354	106	百无禁忌（全免疫）
21	355	106	百无禁忌（全免疫）
22	356	106	百无禁忌（全免疫）
23	357	106	百无禁忌（全免疫）
24	298	103	礼敬如来
25	299	103	礼敬如来
26	300	103	礼敬如来
27	301	103	礼敬如来
28	302	103	礼敬如来
29	303	103	礼敬如来
30	304	103	礼敬如来
31	305	103	礼敬如来
32	306	103	礼敬如来
33	307	103	礼敬如来
34	308	103	礼敬如来
35	309	103	礼敬如来
36	29968	510	烽火连城(封穴) 1
37	29969	510	烽火连城(封穴) 2
38	29970	510	烽火连城(封穴) 3
39	29971	510	烽火连城(封穴) 4
40	29972	510	烽火连城(封穴) 5
41	29973	510	烽火连城(封穴) 6
42	29974	510	烽火连城(封穴) 7
43	29975	510	烽火连城(封穴) 8
44	29976	510	烽火连城(封穴) 9
45	29977	510	烽火连城(封穴) 10
46	29978	510	烽火连城(封穴) 11
47	29979	510	烽火连城(封穴) 12
48	29980	510	烽火连城(封穴) 13
49	29981	510	烽火连城(封穴) 14
50	29982	510	烽火连城(封穴) 15
51	29983	510	烽火连城(封穴) 16
52	911	125	潜龙勿用（失明）
53	912	125	潜龙勿用（失明）
54	913	125	潜龙勿用（失明）
55	914	125	潜龙勿用（失明）
56	915	125	潜龙勿用（失明）
57	916	125	潜龙勿用（失明）
58	917	125	潜龙勿用（失明）
59	918	125	潜龙勿用（失明）
60	919	125	潜龙勿用（失明）
61	920	125	潜龙勿用（失明）
62	921	125	潜龙勿用（失明）
63	922	125	潜龙勿用（失明）
64	15651	125	潜龙勿用（失明）
65	15652	125	潜龙勿用（失明）
66	15653	125	潜龙勿用（失明）
67	15654	125	潜龙勿用（失明）
