INT	INT	STRING	INT
INT	INT	STRING	INT
0	282	Kim Cang Phøc Ma Khuyên	0
1	293	Bách Vô C¤m KÜ	0
2	289	L­ Kính Nhß Lai	0
3	335	Nµ Höa Liên Träm	1
4	334	Phong Höa Liên Thành	1
5	319	Ð¦u Chuy¬n Tinh Di	1
6	348	Ti«m Long V§t Døng	2
7	365	Hoành Täo Càn Khôn	2
8	364	B±ng Ðä C¦u Ð¥u	2
9	345	Tuyªt Nê H°ng Träo	2
10	375	Lãm Tß¾c Vî	3
11	395	Th¤t Tinh Tø Thü	3
12	391	Thiên NgoÕi Phi Tiên	3
13	390	Du Nhçn Hæu Dß	3
14	402	Chiêu Quân Xu¤t Tái	4
15	405	Nguy®t LÕc Tây S½n	4
16	419	Hành Thi T¦u Nhøc	4
17	420	Ngai Nhßþc Mµc Kê	4
18	455	Nh¤t Nh§t Táng M®nh Tán	5
19	454	Hàm Tiªu Bán Bµ Ðiên	5
20	435	Cáp Mô Công	5
21	443	Chï Lµc Vi Mã	5
22	465	Bát Môn Kim Toä	6
23	484	Trung Xung Kiªm	6
24	479	Phi Khô Phi Vinh	6
25	467	Chï Ði¬m Giang S½n	6
26	503	ÐÕp Tuyªt Vô Ng¤n	7
27	513	Thiên Ð¸a Minh Di®t	7
28	509	Dß½ng Xuân BÕch Tuyªt	7
29	498	Di Hoa Tiªp Mµc	7
30	511	Ð°ng Sinh Cµng TØ	7
31	499	Lan Hoa Ði¬m Huy®t Thü	7
32	495	Thiªt Toä Hoành Giang	7
33	529	Tru Tiên Tr§n	8
34	544	Ð¸nh Häi Th¥n Châm	8
35	525	H÷a Ð¸a Vi Lao	8
36	540	Kinh Ðào Hãi Lãng	8
37	535	Khê S½n Hành Læ	8
38	765	Tuý Hoa·mùi th½m Th¶i	10
39	779	Phong Nh§p Tùng	10
40	780	Quäng Lång Tän	10
41	786	T½ bông·LoÕn H°ng · ch² sâu trong	10
42	767	Niêm Hoa·Nhãn Nhi Mi	10
43	768	Táng Hoa·cu¯i xuân Ngâm	10
44	773	Th§p Hoa·LÕc H°ng hæu tình	10
45	775	Nhß Mµng Linh	10
46	701	Cao C¤p Phø thân	-1
47	626	Cao C¤p Bång BÕo	-1
48	557	Bång BÕo	-1
49	700	Phø Thân	-1
50	275	Ám Khí Ðä Huy®t	-1
51	692	Th¥n Hñu	-1
52	693	Cao C¤p Th¥n Hñu	-1
53	682	T¸nh Hóa	-1
54	683	Cao C¤p Tînh Hóa	-1
55	792	Ác quÖ ÐÕp Giang	11
56	809	Câu H°n·Vô Yªm	11
57	793	Toä H°n Träm	11
58	808	Vô ngã tam gi¾i	11
