INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10400001	1	4	0	1	0	413	1	-1	-1	Tam Ðình Môn Phiªn ÐÕi Ðao	10	Thân ðao Khoan, s¯ng dao Lßþc Loan, Ðao Tiêm xông ra	180	720	125	3	3	-1	-1	Broadsword1_4	Ðao Búa	1000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400006	1	4	0	6	0	417	1	-1	-1	Lßþng Ngân BÕt Phong ÐÕi Ðao	20	Li®t Hoä Thiêu Xu¤t Thiªt Tinh, Dî Trùng Nhu Ðînh, S± Túc S· Thành.	540	2160	137	3	3	-1	-1	Broadsword1_6	Ðao Búa	1001	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400011	1	4	0	11	0	418	1	-1	-1	Bát Quái L¸ch Thüy ÐÕi Ðao	30	Thân ðao Kh¡c Hæu bát quái ð°, ðao phong lþi hÕi, Khä b± ra v¢n nß¾c.	1150	4600	150	3	3	-1	-1	Broadsword1_12	Ðao Búa	1002	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	43	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400016	1	4	0	16	0	428	1	-1	-1	Lßþng Ngân Uyên ¿½ng ÐÕi Phü	40	Nghe nói Vi Ngøy Võ Ðª Tào Tháo sai ngß¶i S· TÕo, cä v§t th¬ màu bÕc, Phü mûi nh§n Lþi vô cùng, khí phách mß¶i ph¥n.	1780	7120	162	3	3	-1	-1	Broadsword1_15	Ðao Búa	1003	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400021	1	4	0	21	0	429	1	-1	-1	Ngû Long Trøc Nh§t ÐÕi Ðao	50	S¯ng dao H§u, ð¥u ðao rµng thùng thình, s¯ng dao Thßþng Xuyên Hæu Ð°ng Hoàn, chung quanh Kh¡c Hæu Ngû Long Ð°, TrÕng Nhß Ngû Long t×ng ngày, vì v§y ðßþc g÷i là.	2700	10800	175	3	3	-1	-1	Broadsword2_4	Ðao Búa	1004	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400026	1	4	0	26	0	434	2	-1	-1	CÑ Xï Lang Nhan Bän Môn ÐÕi Ðao	60	Bách Luy®n Tinh Cß½ng Tôi Tñu, thân ðao cao ng¤t, ng÷n gió lþi hÕi, vô kiên b¤t t°i.	3850	15400	187	3	3	-1	-1	Broadsword2_9	Ðao Búa	1005	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	44	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	128	-1	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400031	1	4	0	31	0	427	2	-1	-1	Kim Tß¾c Khai S½n ÐÕi Phü	70	Khoan B¯i Quäng Nhçn, Ðao Trùng vô cùng, Nång Toái Hoa Nham, ðao này ðúc Th¶i h¤p thu thiên ð¸a Chi tinh hoa, truy«n thuyªt có th¥n lñc Phø Ki Thßþng.	5570	22280	200	3	3	-1	-1	Broadsword2_13	Ðao Búa	1006	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	148	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400036	1	4	0	36	0	441	2	-1	-1	Th¥n Mµc N£c Nguy®t ÐÕi Ðao	80	Thân ðao Trách, HÕ Khoan Thßþng Tª, Ðao Xu¤t, Khí Kích tr¶i cao, Xuyên Vân mà qua, sát khí b¡n ra b¯n phía.	7450	29800	212	3	3	-1	-1	Broadsword3_3	Ðao Búa	1007	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	168	-1	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400041	1	4	0	41	0	449	2	-1	-1	Cñ Ph§t Tu¤n Nh§t ÐÕi Ðao	90	Xuân Thu th¶i không Linh TØ S· Chú, Thái thiên ð¸a Chi cß½ng khí, ánh ðao Phi Kim Lßu Thái, Ki tính tình cß½ng trñc Trñc Quán t§n tr¶i, Cánh Khä Nhßþng Li®t Nh§t không ánh sáng.	9950	39800	225	3	3	-1	-1	Broadsword3_7	Ðao Búa	1008	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	188	-1	188	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
