INT	STRING	STRING	INT	INT	STRING	INT	INT	INT
INT	STRING	STRING	INT	INT	STRING	INT	INT	INT
1	Ğ°ng Khoáng	²İÒ©¿óÊ¯/Í­¿óÊ¯.obj	7	0		0	710000	0
2	Mö s¡t	²İÒ©¿óÊ¯/Ìú¿óÊ¯.obj	7	0		0	710000	0
3	Ngân Khoáng	²İÒ©¿óÊ¯/Òø¿óÊ¯.obj	7	0		0	710000	0
4	Hàn qu£ng s¡t	²İÒ©¿óÊ¯/º®Ìú¿óÊ¯.obj	7	0		0	710000	0
5	Mö Vàng	²İÒ©¿óÊ¯/½ğ¿óÊ¯.obj	7	0		0	710000	0
6	Huy«n thiªt Khoáng	²İÒ©¿óÊ¯/ĞşÌú¿óÊ¯.obj	7	0		0	710000	0
7	ThuÖ Tinh Khoáng	²İÒ©¿óÊ¯/Ë®¾§¿óÊ¯.obj	7	0		0	710000	0
8	Phï Thuı Khoáng	²İÒ©¿óÊ¯/ôä´ä¿óÊ¯.obj	7	0		0	710000	0
9	Chân Vû Khoáng	²İÒ©¿óÊ¯/ÕæÎä¿óÊ¯.obj	7	0		0	710000	0
10	Long Huyªt Khoáng	²İÒ©¿óÊ¯/ÁúÑª¿óÊ¯.obj	7	0		0	710000	0
11	Phøng Huyªt Khoáng	²İÒ©¿óÊ¯/·ïÑª¿óÊ¯.obj	7	0		0	710000	0
12	Næ Oa ThÕch	²İÒ©¿óÊ¯/Å®æ´Ê¯.obj	7	0		0	710000	0
13	Côn s½n khoáng ng÷c	²İÒ©¿óÊ¯/À¥É½¿óÓñ.obj	7	0		0	710000	0
14	Chúng sinh khoáng thÕch	²İÒ©¿óÊ¯/ÖÚÉú¿óÊ¯.obj	7	0		0	710000	0
31	Gieo tr°ng Bài	0ÎïÆ·/Ìú»Ï×Ó.mesh	11	0		0	711003	0
32	Ti¬u MÕch	0¹àÄ¾/Ğ¡¹à1.mesh	-1	0		0	711004	0
33	Ti¬u MÕch Thøc	0¹àÄ¾/´ó¹à1.mesh	11	0		0	711005	0
34	Xu¤t QuÖ ThuÖ Hàng	0ÎïÆ·/Ë®¸×1.mesh	12	0		0	713000	0
35	B¥y cá	Ğ¡¶¯Îï/ÓãÈº02.mesh	10	0		0	712000	0
36	Tàng Bäo Ği¬m	0ÎïÆ·/Ë®¸×1.mesh	13	0		0	713000	0
49	BÕch Lang ĞÕi vß½ng Bäo Tß½ng	0ÎïÆ·/ïÚÏä.mesh	26	0		0	715000	0
50	Phong hoä ğài	0ÎïÆ·/ïÚÏä.mesh	26	0		0	715001	0
51	Løc Ph¦m Di®p Nhân Sâm	³¤°×É½/ÈË²Î2.mesh	26	0		0	715002	0
93	Cüi tän mát	Ê¦ÃÅÈÎÎñ/Ä¾²ñ.obj	26	0		0	715007	0
94	N¤m tän mát	Ê¦ÃÅÈÎÎñ/Ä¢¹½.obj	26	0		0	715008	0
95	Quä tùng tän mát	Ê¦ÃÅÈÎÎñ/ËÉ¹û.obj	26	0		0	715009	0
96	Mãn nguy®t	Ê¦ÃÅÈÎÎñ/ÂúÔÂ.obj	26	0		0	715003	0
97	Nhãn nhi m¸	Ê¦ÃÅÈÎÎñ/ÑÛ¶ùÃÄ.obj	26	0		0	715004	0
98	H°ng trang t¯ khoä	Ê¦ÃÅÈÎÎñ/ºì×±ËØ¹ü.obj	26	0		0	715005	0
99	Träo Phá mÛ nhân Li¬m	0ÎïÆ·/ÏÉÁ«×Ó.mesh	26	0		0	715006	0
101	BÕch Anh	²İÒ©¿óÊ¯/ºì»¨.obj	8	0		0	710000	0
102	B° Hoàng	²İÒ©¿óÊ¯/ÇàÒ¶.obj	8	0		0	710000	0
103	Xuyên B¯i	²İÒ©¿óÊ¯/´¨±´.obj	8	0		0	710000	0
104	Nguyên H°	²İÒ©¿óÊ¯/Ôªºú.obj	8	0		0	710000	0
105	TÏ Bà	²İÒ©¿óÊ¯/èÁèË.obj	8	0		0	710000	0
106	Cam Thäo	²İÒ©¿óÊ¯/¸Ê²İ.obj	8	0		0	710000	0
107	Kim Ngân Hoa	²İÒ©¿óÊ¯/èÛè½×Ó.obj	8	0		0	710000	0
108	Hoàng C¥m	²İÒ©¿óÊ¯/üSÜË.obj	8	0		0	710000	0
109	Câu KÖ	²İÒ©¿óÊ¯/èÛè½×Ó.obj	8	0		0	710000	0
110	Tr¥m Hß½ng	²İÒ©¿óÊ¯/èÁèË.obj	8	0		0	710000	0
111	Ğ² Tr÷ng	²İÒ©¿óÊ¯/¶ÅÖÙ.obj	8	0		0	710000	0
112	Thß½ng Thu§t	²İÒ©¿óÊ¯/²ÔÊõ.obj	8	0		0	710000	0
113	Phøc Linh	²İÒ©¿óÊ¯/ÜòÜß.obj	8	0		0	710000	0
114	Phòng Phong	²İÒ©¿óÊ¯/·À·ç.obj	8	0		0	710000	0
115	Hß½ng Nhu	²İÒ©¿óÊ¯/ÏãŞ¸.obj	8	0		0	710000	0
116	Hoàng Liên	²İÒ©¿óÊ¯/Ôªºú.obj	8	0		0	710000	0
117	Ğß½ng Qui	²İÒ©¿óÊ¯/ÇàÒ¶.obj	8	0		0	710000	0
118	Quª Tâm	²İÒ©¿óÊ¯/Ë«»¨.obj	8	0		0	710000	0
119	Hß½ng Phø	²İÒ©¿óÊ¯/Î¦×Ó.obj	8	0		0	710000	0
120	Ho¡c Hß½ng	²İÒ©¿óÊ¯/²ÔÊõ.obj	8	0		0	710000	0
121	H°i Th¥n Thäo	²İÒ©¿óÊ¯/ÏãŞ¸.obj	8	0		0	710000	0
122	Thü Ô	²İÒ©¿óÊ¯/Ôªºú.obj	8	0		0	710000	0
123	Ğông Trùng HÕ Thäo	²İÒ©¿óÊ¯/ºì»¨.obj	8	0		0	710000	0
124	Long Quì TØ	²İÒ©¿óÊ¯/üSÜË.obj	8	0		0	710000	0
125	Tßşng B¯i	²İÒ©¿óÊ¯/èÁèË.obj	8	0		0	710000	0
126	Nhân Sâm	²İÒ©¿óÊ¯/´¨±´.obj	8	0		0	710000	0
127	Linh Chi	²İÒ©¿óÊ¯/·À·ç.obj	8	0		0	710000	0
128	Tuân Thäo	²İÒ©¿óÊ¯/ÜòÜß.obj	8	0		0	710000	0
129	Liên TØ	²İÒ©¿óÊ¯/¸Ê²İ.obj	8	0		0	710000	0
130	Khô Mµc Xuân	²İÒ©¿óÊ¯/èÛè½×Ó.obj	8	0		0	710000	0
201	Thäo Ngß	Ğ¡¶¯Îï/ÓãÈº03.model	9	0		0	712000	0
202	TÑc Ngß	Ğ¡¶¯Îï/ÓãÈº03.model	9	0		0	712000	0
203	Liên Ngß	Ğ¡¶¯Îï/ÓãÈº03.model	9	0		0	712000	0
204	Bình Ngß	Ğ¡¶¯Îï/ÓãÈº03.model	9	0		0	712000	0
205	Thi®n Ngß	Ğ¡¶¯Îï/ÓãÈº03.model	9	0		0	712000	0
206	H¡c Ngß	Ğ¡¶¯Îï/ÓãÈº03.model	9	0		0	712000	0
207	Ğ¤u Ngß	Ğ¡¶¯Îï/ÓãÈº03.model	9	0		0	712000	0
208	Xß½ng Ngß	Ğ¡¶¯Îï/ÓãÈº03.model	9	0		0	712000	0
209	Ngân Ngß	Ğ¡¶¯Îï/ÓãÈº03.model	9	0		0	712000	0
210	Khuê Ngß	Ğ¡¶¯Îï/ÓãÈº03.model	9	0		0	712000	0
211	C¯t Thi®t Ngß	Ğ¡¶¯Îï/ÓãÈº03.model	9	0		0	712000	0
212	Løc Tuyªn Ngß	Ğ¡¶¯Îï/ÓãÈº03.model	9	0		0	712000	0
213	Thanh Ngß	Ğ¡¶¯Îï/ÓãÈº04.model	9	0		0	712000	0
214	Ti­n Ngß	Ğ¡¶¯Îï/ÓãÈº04.model	9	0		0	712000	0
215	Lß Ngß	Ğ¡¶¯Îï/ÓãÈº04.model	9	0		0	712000	0
216	Bi¬n Ğ¥u Ngß	Ğ¡¶¯Îï/ÓãÈº04.model	9	0		0	712000	0
217	Ğ¥u Lñc Ngß	Ğ¡¶¯Îï/ÓãÈº04.model	9	0		0	712000	0
218	Thu Ğao Ngß	Ğ¡¶¯Îï/ÓãÈº04.model	9	0		0	712000	0
219	Soa Ngß	Ğ¡¶¯Îï/ÓãÈº04.model	9	0		0	712000	0
220	Quang B¯i Ngß	Ğ¡¶¯Îï/ÓãÈº04.model	9	0		0	712000	0
221	Câu Ngß	Ğ¡¶¯Îï/ÓãÈº04.model	9	0		0	712000	0
222	Bãi KÏ Ngß	Ğ¡¶¯Îï/ÓãÈº04.model	9	0		0	712000	0
223	Trân Châu Ngß	Ğ¡¶¯Îï/ÓãÈº04.model	9	0		0	712000	0
224	Vån Xß½ng Ngß	Ğ¡¶¯Îï/ÓãÈº04.model	9	0		0	712000	0
225	Thäo Ngß	Ğ¡¶¯Îï/ÓãÈº01.model	9	0		0	712000	0
226	TÑc Ngß	Ğ¡¶¯Îï/ÓãÈº01.model	9	0		0	712000	0
227	Liên Ngß	Ğ¡¶¯Îï/ÓãÈº01.model	9	0		0	712000	0
228	Bình Ngß	Ğ¡¶¯Îï/ÓãÈº01.model	9	0		0	712000	0
229	Thi®n Ngß	Ğ¡¶¯Îï/ÓãÈº01.model	9	0		0	712000	0
230	H¡c Ngß	Ğ¡¶¯Îï/ÓãÈº01.model	9	0		0	712000	0
231	Ğ¤u Ngß	Ğ¡¶¯Îï/ÓãÈº01.model	9	0		0	712000	0
232	Xß½ng Ngß	Ğ¡¶¯Îï/ÓãÈº01.model	9	0		0	712000	0
233	Ngân Ngß	Ğ¡¶¯Îï/ÓãÈº01.model	9	0		0	712000	0
234	Khuê Ngß	Ğ¡¶¯Îï/ÓãÈº01.model	9	0		0	712000	0
235	C¯t Thi®t Ngß	Ğ¡¶¯Îï/ÓãÈº01.model	9	0		0	712000	0
236	Løc Tuyªn Ngß	Ğ¡¶¯Îï/ÓãÈº01.model	9	0		0	712000	0
237	Thanh Ngß	Ğ¡¶¯Îï/ÓãÈº02.model	9	0		0	712000	0
238	Ti­n Ngß	Ğ¡¶¯Îï/ÓãÈº02.model	9	0		0	712000	0
239	Lß Ngß	Ğ¡¶¯Îï/ÓãÈº02.model	9	0		0	712000	0
240	Bi¬n Ğ¥u Ngß	Ğ¡¶¯Îï/ÓãÈº02.model	9	0		0	712000	0
241	Ğ¥u Lñc Ngß	Ğ¡¶¯Îï/ÓãÈº02.model	9	0		0	712000	0
242	Thu Ğao Ngß	Ğ¡¶¯Îï/ÓãÈº02.model	9	0		0	712000	0
243	Soa Ngß	Ğ¡¶¯Îï/ÓãÈº02.model	9	0		0	712000	0
244	Quang B¯i Ngß	Ğ¡¶¯Îï/ÓãÈº02.model	9	0		0	712000	0
245	Câu Ngß	Ğ¡¶¯Îï/ÓãÈº02.model	9	0		0	712000	0
246	Bãi KÏ Ngß	Ğ¡¶¯Îï/ÓãÈº02.model	9	0		0	712000	0
247	Trân Châu Ngß	Ğ¡¶¯Îï/ÓãÈº02.model	9	0		0	712000	0
248	Vån Xß½ng Ngß	Ğ¡¶¯Îï/ÓãÈº02.model	9	0		0	712000	0
249	Yên chi ngß	Ğ¡¶¯Îï/ÓãÈº02.model	9	0		0	712000	0
250	Th¤t tinh ngß	Ğ¡¶¯Îï/ÓãÈº01.model	9	0		0	712000	0
251	Trß¶ng vçn ngß	Ğ¡¶¯Îï/ÓãÈº01.model	9	0		0	712000	0
252	Ğa kÏ ngß	Ğ¡¶¯Îï/ÓãÈº01.model	9	0		0	712000	0
253	Ki«u ChuÖ H°ng ?	Ğ¡¶¯Îï/ÓãÈº02.model	9	0		0	712000	0
254	Thu bÕch khuê	Ğ¡¶¯Îï/ÓãÈº01.model	9	0		0	712000	0
255	Ği®p kÏ ngß	Ğ¡¶¯Îï/ÓãÈº01.model	9	0		0	712000	0
256	Vån diêu ngß	Ğ¡¶¯Îï/ÓãÈº01.model	9	0		0	712000	0
501	Sinh non Ti¬u MÕch(cây non)	ÖÖÖ²/Ğ¡ÂóĞ¡.mesh	-1	0		0	711000	0
502	Sinh non Ti¬u MÕch(sinh trß·ng Trung)	ÖÖÖ²/Ğ¡ÂóÖĞ.mesh	-1	0		0	711001	0
503	Sinh non Ti¬u MÕch	ÖÖÖ²/Ğ¡Âó´ó.mesh	10	0		0	711002	0
504	Sinh non ĞÕi M­(cây non)	ÖÖÖ²/´óÃ×Ğ¡.mesh	-1	0		0	711000	0
505	Sinh non ĞÕi M­(sinh trß·ng Trung)	ÖÖÖ²/´óÃ×ÖĞ.mesh	-1	0		0	711001	0
506	Sinh non ĞÕi M­	ÖÖÖ²/´óÃ×´ó.mesh	10	0		0	711002	0
507	Sinh non Ng÷c M­(cây non)	ÖÖÖ²/ÖÖÖ²ÓñÃ×Ğ¡.mesh	-1	0		0	711000	0
508	Sinh non Ng÷c M­(sinh trß·ng Trung)	ÖÖÖ²/ÖÖÖ²ÓñÃ×ÖĞ.mesh	-1	0		0	711001	0
509	Sinh non Ng÷c M­	ÖÖÖ²/ÖÖÖ²ÓñÃ×´ó.mesh	10	0		0	711002	0
510	Sinh non Hoa Sinh(cây non)	ÖÖÖ²/»¨ÉúĞ¡.mesh	-1	0		0	711000	0
511	Sinh non Hoa Sinh(sinh trß·ng Trung)	ÖÖÖ²/»¨ÉúÖĞ.mesh	-1	0		0	711001	0
512	Sinh non Hoa Sinh	ÖÖÖ²/»¨Éú´ó.mesh	10	0		0	711002	0
513	Sinh non H°ng Thñ(cây non)	ÖÖÖ²/ºìÊíĞ¡.mesh	-1	0		0	711000	0
514	Sinh non H°ng Thñ(sinh trß·ng Trung)	ÖÖÖ²/ºìÊíÖĞ.mesh	-1	0		0	711001	0
515	Sinh non H°ng Thñ	ÖÖÖ²/ºìÊí´ó.mesh	10	0		0	711002	0
516	Sinh non Cao Lß½ng(cây non)	ÖÖÖ²/¸ßÁ»Ğ¡.mesh	-1	0		0	711000	0
517	Sinh non Cao Lß½ng(sinh trß·ng Trung)	ÖÖÖ²/¸ßÁ»ÖĞ.mesh	-1	0		0	711001	0
518	Sinh non Cao Lß½ng	ÖÖÖ²/¸ßÁ»´ó.mesh	10	0		0	711002	0
519	Sinh non Chi Ma(cây non)	ÖÖÖ²/Ö¥ÂéĞ¡.mesh	-1	0		0	711000	0
520	Sinh non Chi Ma(sinh trß·ng Trung)	ÖÖÖ²/Ö¥ÂéÖĞ.mesh	-1	0		0	711001	0
521	Sinh non Chi Ma	ÖÖÖ²/Ö¥Âé´ó.mesh	10	0		0	711002	0
522	Sinh non Løc Ğ§u(cây non)	ÖÖÖ²/ÂÌ¶¹Ğ¡.mesh	-1	0		0	711000	0
523	Sinh non Løc Ğ§u(sinh trß·ng Trung)	ÖÖÖ²/ÂÌ¶¹ÖĞ.mesh	-1	0		0	711001	0
524	Sinh non Løc Ğ§u	ÖÖÖ²/ÂÌ¶¹´ó.mesh	10	0		0	711002	0
525	Sinh non Hoàng Ğ§u(cây non)	ÖÖÖ²/»Æ¶¹Ğ¡.mesh	-1	0		0	711000	0
526	Sinh non Hoàng Ğ§u(sinh trß·ng Trung)	ÖÖÖ²/»Æ¶¹ÖĞ.mesh	-1	0		0	711001	0
527	Sinh non Hoàng Ğ§u	ÖÖÖ²/»Æ¶¹´ó.mesh	10	0		0	711002	0
528	Sinh non Tàm Ğ§u(cây non)	ÖÖÖ²/²Ï¶¹Ğ¡.mesh	-1	0		0	711000	0
529	Sinh non Tàm Ğ§u(sinh trß·ng Trung)	ÖÖÖ²/²Ï¶¹ÖĞ.mesh	-1	0		0	711001	0
530	Sinh non Tàm Ğ§u	ÖÖÖ²/²Ï¶¹´ó.mesh	10	0		0	711002	0
531	Sinh non Mã Linh Thñ(cây non)	ÖÖÖ²/ÍÁ¶¹Ğ¡.mesh	-1	0		0	711000	0
