INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1	2	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
2	2	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
3	2	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
4	2	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
5	2	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
6	2	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
7	2	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
8	2	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
9	2	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
10	2	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
11	2	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
12	2	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
13	2	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
14	2	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
15	2	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
16	2	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
17	2	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
18	2	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
19	2	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
20	2	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
21	3	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
22	3	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
23	3	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
24	3	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
25	3	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
26	3	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
27	3	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
28	3	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
29	3	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
30	3	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
31	4	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
32	4	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
33	4	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
34	4	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
35	4	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
36	4	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
37	4	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
38	4	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
39	4	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
40	4	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
41	5	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
42	5	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
43	5	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
44	5	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
45	5	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
46	5	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
47	5	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
48	5	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
49	5	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
50	5	75000	75000	75000	75000	127500	127500	150000	150000	150000	180000	180000	180000	180000
