INT	INT	INT	INT	STRING	INT	INT	INT	STRING	STRING	INT	INT	FLOAT	FLOAT
INT	INT	INT	INT	STRING	INT	INT	INT	STRING	STRING	INT	INT	FLOAT	FLOAT
1	0	0	0	Tång thêm 1t¯t Hæu	1	3	0	Expression_double	Expression_double_15	0	0	0	0
2	1	0	1	Hoàn thành 1ThÑ may m¡n khoái hoÕt Tam	1	3	0	Huodong_4	Huodong_4_6	2	1	130	230
3	2	0	2	TÕi bang hµi kênh lên tiªng 1ThÑ	1	5	0	Charm5	Charm5_9	0	1	0	0
4	3	1	0	Trang b¸ 1Ki®n trang phøc m¯t	1	4	0	Cloth18	Cloth18_9	0	2	0	0
5	4	1	1	Hoàn thành 1ThÑ Hi®u Trß¶ng lu§n bàn	1	6	0	CircularTaskTool13	CircularTaskTool13_1	2	0	100	170
6	5	1	2	Trang b¸ 1Bä th¥n khí	1	6	0	CircularTaskTool82	CircularTaskTool82_15	0	3	0	0
7	6	2	0	Tång thêm 5t¯t Hæu	5	8	0	Expression_double	Expression_double_15	0	0	0	0
8	7	2	1	Hoàn thành 1ThÑ Tô Châu Bách biªn s¡c m£t Phä	1	3	0	Buff5	Buff5_9	2	1	168	168
9	8	2	2	Hoàn thành 1ThÑ nhß sau ý bang hµi nhi®m vø: Qu¯c phòng nhi®m vø, công trình nhi®m vø, Th¸ T§p nhi®m vø, khoa h÷c kÛ thu§t nhi®m vø, phát tri¬n nhi®m vø, khuªch trß½ng nhi®m vø	1	10	0	CircularTaskTool22	CircularTaskTool22_2	2	0	140	95
10	9	3	0	Tiªn hành 1ThÑ trang phøc m¯t nhuµm màu	1	12	0	MakeMaterial15	MakeMaterial15_15	2	0	246	129
11	10	3	1	Hôm nay giªt quái S± ðÕt t¾i 50	1	10	0	FightNPCHeader4	FightNPCHeader4_15	0	12	0	0
12	11	3	2	TÕi Chü Thành lînh 1ThÑ Song Bµi kinh nghi®m	1	5	0	Cloth3	Cloth3_1	2	2	182	141
13	12	4	0	Ðánh bÕi 1ThÑ nhß sau ý bän sao Ðích cu¯i cùng BOSS: Tiêu di®t, Dung Nham Chi Ð¸a, thäo phÕt Yªn TØ ‘, Sát Tinh, tr§n chiªn m· màn Phiêu Mi¬u Phong, khiêu chiªn Phiêu Mi¬u Phong	1	10	0	SalaryMission	SalaryMission_6	0	4	0	0
14	13	4	1	Ðánh bÕi 1ThÑ nhß sau ý bän sao Ðích cu¯i cùng BOSS: Ván c¶, T£c Binh xâm l¤n, ðánh lén môn phái, Tàng Kinh Các	1	10	0	SalaryMission	SalaryMission_11	0	5	0	0
15	14	4	2	Chª tác 1Ki®n trang b¸	1	8	0	CircularTaskTool70	CircularTaskTool70_14	0	6	0	0
16	15	5	0	TÕi Tuyªn th¶i gian ðÕt t¾i Bán gi¶	30	4	0	Expression2	Expression2_3	0	7	0	0
17	16	5	1	Hoàn thành 1ThÑ Bào Thß½ng	1	12	0	Huodong	Huodong_2	0	8	0	0
18	17	5	2	Tiªn vào 1ThÑ Hàn Ng÷c C¯c	1	5	0	CommonLiveSkill2	CommonLiveSkill2_5	2	1	178	129
19	18	6	0	Chu sinh ðµng ðÕt t¾i 500Ði¬m	1	15	0	CircularTaskTool23	CircularTaskTool23_9	0	9	0	0
20	19	6	1	Hoàn thành 1ThÑ sß môn nhi®m vø	1	6	0	SalaryMission	SalaryMission_3	0	10	0	0
21	20	6	2	Dß 3t¯t Hæu Ðích hæu häo Ðµ ðÕt t¾i 100	3	8	0	Expression_double	Expression_double_8	0	11	0	0
