INT	INT	INT	INT	INT
INT	INT	INT	INT	INT
1	10141000	-1	-1	4912
2	10141001	-1	-1	4801
3	10141002	-1	-1	4802
4	10141003	-1	-1	4803
5	10141004	-1	-1	4804
6	10141005	-1	-1	4805
7	10141006	-1	-1	4806
8	10141007	-1	-1	4807
9	10141008	-1	-1	4808
10	10141009	-1	-1	4809
11	10141010	-1	-1	4810
12	10141011	-1	-1	4811
13	10141012	-1	-1	4812
14	10141013	-1	-1	4813
15	10141014	-1	-1	4814
16	10141015	-1	-1	4815
17	10141016	-1	-1	4816
18	10141017	-1	-1	4817
19	10141018	-1	-1	4818
20	10141019	-1	-1	4910
21	10141020	-1	-1	4911
22	10141041	-1	-1	4913
23	10141042	-1	-1	5438
24	10141043	-1	-1	4949
25	10141044	-1	-1	4952
26	10141045	-1	-1	4953
27	10141046	-1	-1	4954
28	10141047	-1	-1	4955
29	10141048	-1	-1	4951
30	10141049	-1	-1	4950
31	10141052	-1	-1	4969
32	10141053	-1	-1	4970
33	10141054	-1	-1	4971
34	10141055	-1	-1	4972
35	10141056	-1	-1	4973
36	10141057	-1	-1	4974
37	10141058	-1	-1	4975
38	10141059	-1	-1	4976
39	10141060	-1	-1	4957
40	10141061	-1	-1	4958
41	10141062	-1	-1	4959
42	10141063	-1	-1	4960
43	10141064	-1	-1	4961
44	10141065	-1	-1	4962
45	10141066	-1	-1	4963
46	10141067	-1	-1	4964
47	10141068	-1	-1	4965
48	10141069	-1	-1	4966
49	10141070	-1	-1	4967
50	10141071	-1	-1	4968
51	10141072	-1	-1	4914
52	10141073	-1	-1	5439
53	10141074	-1	-1	5440
54	10141075	-1	-1	5438
55	10141076	-1	-1	5439
56	10141077	-1	-1	5440
57	10141078	-1	-1	4977
58	10141079	-1	-1	5441
59	10141080	-1	-1	5442
60	10141081	-1	-1	4978
61	10141082	-1	-1	4979
62	10141083	-1	-1	4980
63	10141084	-1	-1	4981
64	10141085	-1	-1	4982
65	10141086	-1	-1	4983
66	10141087	-1	-1	4984
67	10141088	-1	-1	4985
68	10141089	-1	-1	4986
69	10141090	-1	-1	4987
70	10141091	-1	-1	4988
71	10141092	-1	-1	4989
72	10141093	-1	-1	4990
73	10141094	-1	-1	4991
74	10141095	-1	-1	4992
75	10141102	-1	-1	4993
76	10141103	-1	-1	4994
77	10141104	-1	-1	4995
78	10141105	-1	-1	4701
79	10141106	-1	-1	4702
80	10141107	-1	-1	4703
81	10141108	-1	-1	4704
82	10141109	-1	-1	4705
83	10141110	-1	-1	4706
84	10141111	-1	-1	4996
85	10141112	-1	-1	4997
86	10141113	-1	-1	4998
87	10141114	-1	-1	4999
88	10141115	-1	-1	5010
89	10141116	-1	-1	5011
90	10141117	-1	-1	5012
91	10141118	-1	-1	5013
92	10141119	-1	-1	5024
93	10141120	-1	-1	5025
94	10141121	-1	-1	5026
95	10141122	-1	-1	5027
96	10141123	-1	-1	5028
97	10141124	-1	-1	5029
98	10141125	-1	-1	5030
99	10141126	-1	-1	5031
100	10141127	-1	-1	5032
101	10141128	-1	-1	5033
102	10141129	-1	-1	5034
103	10141130	-1	-1	5035
104	10141131	-1	-1	5036
105	10141132	-1	-1	5037
106	10141133	-1	-1	5038
107	10141134	-1	-1	5039
108	10141135	-1	-1	5040
109	10141136	-1	-1	5041
110	10141137	-1	-1	5042
111	10141138	-1	-1	5043
112	10141139	-1	-1	5044
113	10141140	-1	-1	5045
114	10141141	-1	-1	5046
115	10141142	-1	-1	5047
116	10141143	-1	-1	5048
117	10141144	-1	-1	5049
118	10141145	-1	-1	5050
119	10141146	-1	-1	5051
120	10141147	-1	-1	5052
121	10141148	-1	-1	5053
122	10141149	-1	-1	5054
123	10141151	-1	-1	5055
124	10141152	-1	-1	5056
125	10141153	-1	-1	5057
126	10141154	-1	-1	5058
127	10141155	-1	-1	5059
128	10141156	-1	-1	5060
129	10141157	-1	-1	5061
130	10141158	-1	-1	5062
131	10141159	-1	-1	5063
132	10141160	-1	-1	5064
133	10141161	-1	-1	5065
134	10141162	-1	-1	5066
135	10141163	-1	-1	5067
136	10141164	-1	-1	5068
137	10141165	-1	-1	5069
138	10141166	-1	-1	5070
139	10141167	-1	-1	5071
140	10141168	-1	-1	5072
141	10141169	-1	-1	5073
142	10141170	-1	-1	5074
143	10141171	-1	-1	5075
144	10141172	-1	-1	5076
145	10141173	-1	-1	5077
146	10141174	-1	-1	5078
147	10141175	-1	-1	5079
148	10141176	-1	-1	5080
149	10141177	-1	-1	5081
150	10141178	-1	-1	5082
151	10141179	-1	-1	5083
152	10141180	-1	-1	5084
153	10141181	-1	-1	5085
154	10141182	-1	-1	5086
155	10141183	-1	-1	5087
156	10141184	-1	-1	5088
157	10141185	-1	-1	5089
158	10141186	-1	-1	5090
159	10141187	-1	-1	5091
160	10141188	-1	-1	5092
161	10141189	-1	-1	5093
162	10141190	-1	-1	5094
163	10141191	-1	-1	5095
164	10141192	-1	-1	5096
165	10141193	-1	-1	5097
166	10141194	-1	-1	5098
167	10141195	-1	-1	5099
168	10141196	-1	-1	5100
169	10141197	-1	-1	5101
170	10141198	-1	-1	5102
171	10141199	-1	-1	5103
172	10141200	-1	-1	5104
173	10141201	-1	-1	5105
174	10141202	-1	-1	5106
175	10141203	-1	-1	5107
176	10141204	-1	-1	5109
177	10141205	-1	-1	5108
178	10141206	-1	-1	5110
179	10141207	-1	-1	5111
180	10141208	-1	-1	5112
181	10141209	-1	-1	4707
182	10141210	-1	-1	4708
183	10141211	-1	-1	4709
184	10141212	-1	-1	4710
185	10141213	-1	-1	4711
186	10141214	-1	-1	4712
187	10141215	-1	-1	4713
188	10141216	-1	-1	4714
189	10141217	-1	-1	4715
190	10141218	-1	-1	4716
191	10141225	-1	-1	4717
192	10141226	-1	-1	4718
193	10141227	-1	-1	5433
194	10141228	-1	-1	4719
195	10141229	-1	-1	4720
196	10141230	-1	-1	4721
197	10141231	-1	-1	4722
198	10141232	-1	-1	4723
199	10141233	-1	-1	4724
200	10141234	-1	-1	4725
201	10141235	-1	-1	4726
202	10141236	-1	-1	4727
203	10141237	-1	-1	4728
204	10141238	-1	-1	4729
205	10141239	-1	-1	4730
206	10141240	-1	-1	4731
207	10141241	-1	-1	4732
208	10141242	-1	-1	4733
209	10141243	-1	-1	4734
210	10141244	-1	-1	4735
211	10141245	-1	-1	4736
212	10141246	-1	-1	5434
213	10141247	-1	-1	5435
214	10141248	-1	-1	5436
215	10141249	-1	-1	5441
216	10141250	-1	-1	5442
217	10141251	-1	-1	5443
218	10141252	-1	-1	5444
219	10141253	-1	-1	5445
220	10141254	-1	-1	5446
221	10141255	-1	-1	5447
222	10141256	-1	-1	5448
223	10141257	-1	-1	5449
224	10141258	-1	-1	5450
225	10141259	-1	-1	5451
226	10141260	-1	-1	5632
227	10141261	-1	-1	5633
228	10141262	-1	-1	5634
229	10141263	-1	-1	5635
230	10141264	-1	-1	5636
231	10141265	-1	-1	5637
232	10141266	-1	-1	5638
233	10141267	-1	-1	5639
234	10141268	-1	-1	5640
235	10141269	-1	-1	5641
236	10141270	-1	-1	5642
237	10141271	-1	-1	5643
238	10141272	-1	-1	5644
239	10141273	-1	-1	5645
240	10141274	-1	-1	5646
241	10141275	-1	-1	5647
242	10141276	-1	-1	5648
243	10141277	-1	-1	5649
244	10141278	-1	-1	5650
245	10141279	-1	-1	5651
246	10141280	-1	-1	5652
247	10141281	-1	-1	5653
248	10141282	-1	-1	5654
249	10141283	-1	-1	5655
250	10141284	-1	-1	5656
251	10141285	-1	-1	5657
252	10141286	-1	-1	5658
253	10141287	-1	-1	5659
254	10141288	-1	-1	5660
255	10141289	-1	-1	5661
256	10141290	-1	-1	5662
257	10141291	-1	-1	5663
258	10141292	-1	-1	5664
259	10141293	-1	-1	5665
260	10141294	-1	-1	5666
261	10141295	-1	-1	5667
262	10141296	-1	-1	5668
263	10141297	-1	-1	5669
264	10141298	-1	-1	5670
265	10141299	-1	-1	5671
266	10141300	-1	-1	5672
267	10141301	-1	-1	5673
268	10141302	-1	-1	5674
269	10141303	-1	-1	5675
270	10141304	-1	-1	5676
271	10141305	-1	-1	5677
272	10141306	-1	-1	5678
273	10141307	-1	-1	5679
274	10141308	-1	-1	5681
275	10141309	-1	-1	5682
276	10141310	-1	-1	5683
277	10141311	-1	-1	5684
278	10141312	-1	-1	5685
279	10141313	-1	-1	5686
280	10141314	-1	-1	5687
281	10141315	-1	-1	5688
282	10141316	-1	-1	5689
283	10141317	-1	-1	5690
284	10141318	-1	-1	5691
285	10141319	-1	-1	5692
286	10141320	-1	-1	5693
287	10141321	-1	-1	5694
288	10141322	-1	-1	5695
289	10141323	-1	-1	5696
290	10141324	-1	-1	5697
291	10141325	-1	-1	5698
292	10141326	-1	-1	5699
293	10141327	-1	-1	5700
294	10141328	-1	-1	5701
295	10141329	-1	-1	5702
296	10141330	-1	-1	5703
297	10141331	-1	-1	5704
298	10141332	-1	-1	5705
299	10141333	-1	-1	5706
300	10141334	-1	-1	5707
301	10141335	-1	-1	5708
302	10141336	-1	-1	5709
303	10141337	-1	-1	5710
304	10141338	-1	-1	5711
305	10141339	-1	-1	5712
306	10141340	-1	-1	5713
307	10141789	-1	-1	12144
308	10141790	-1	-1	12145
309	10141791	-1	-1	12146
310	10141792	-1	-1	12147
311	10141793	-1	-1	12148
312	10141794	-1	-1	12149
313	10141795	-1	-1	12150
314	10141796	-1	-1	12151
315	10141797	-1	-1	12152
316	10141798	-1	-1	12153
317	10141799	-1	-1	12154
318	10141806	-1	-1	12155
319	10141807	-1	-1	5452
320	10141808	-1	-1	5453
321	10141809	-1	-1	5454
322	10141810	-1	-1	5455
323	10141811	-1	-1	5456
324	10141812	-1	-1	5457
325	10141813	-1	-1	5458
326	10141814	-1	-1	5459
327	10141815	-1	-1	5460
328	10141816	-1	-1	5461
329	10141817	-1	-1	5462
330	10141818	-1	-1	5463
331	10141819	-1	-1	5464
332	10141820	-1	-1	5465
333	10141821	-1	-1	5466
334	10141822	-1	-1	5467
335	10141823	-1	-1	5468
336	10141824	-1	-1	5469
337	10141825	-1	-1	5470
338	10141826	-1	-1	5471
339	10141827	-1	-1	5472
340	10141828	-1	-1	5473
341	10141829	-1	-1	5474
342	10141830	-1	-1	5475
343	10141831	-1	-1	5476
344	10141832	-1	-1	5477
345	10141833	-1	-1	5478
346	10141834	-1	-1	5479
347	10141835	-1	-1	5480
348	10141836	-1	-1	5481
349	10141837	-1	-1	5482
350	10141838	-1	-1	5483
351	10141839	-1	-1	5484
352	10141840	-1	-1	5485
353	10141841	-1	-1	5486
354	10141842	-1	-1	5487
355	10141843	-1	-1	5488
356	10141844	-1	-1	5489
357	10141845	-1	-1	5490
358	10141846	-1	-1	5491
359	10141847	-1	-1	5492
360	10141848	-1	-1	5493
361	10141849	-1	-1	5494
362	10141850	-1	-1	5495
363	10141851	-1	-1	5496
364	10141852	-1	-1	5497
365	10141853	-1	-1	5498
366	10141854	-1	-1	5499
367	10141855	-1	-1	38496
368	10141856	-1	-1	5500
369	10141857	-1	-1	5501
370	10141858	-1	-1	5502
371	10141859	-1	-1	5503
372	10141860	-1	-1	5504
373	10141861	-1	-1	5505
374	10141862	-1	-1	5506
375	10141863	-1	-1	5507
376	10141864	-1	-1	5508
377	10141865	-1	-1	5509
378	10141866	-1	-1	5510
379	10141867	-1	-1	5511
380	10141868	-1	-1	5512
381	10141869	-1	-1	5513
382	10141870	-1	-1	5514
383	10141871	-1	-1	5515
384	10141872	-1	-1	5516
385	10141873	-1	-1	5517
386	10141874	-1	-1	5518
387	10141875	-1	-1	5519
388	10141876	-1	-1	5520
389	10141877	-1	-1	5521
390	10141878	-1	-1	5522
391	10141879	-1	-1	5523
392	10141880	-1	-1	5524
393	10141881	-1	-1	5525
394	10141882	-1	-1	5526
395	10141883	-1	-1	5527
396	10141884	-1	-1	5528
397	10141885	-1	-1	5529
398	10141886	-1	-1	5530
399	10141887	-1	-1	5531
400	10141888	-1	-1	5532
401	10141889	-1	-1	5533
402	10141890	-1	-1	5534
403	10141891	-1	-1	5535
404	10141892	-1	-1	5536
405	10141893	-1	-1	5537
406	10141894	-1	-1	5538
407	10141895	-1	-1	5539
408	10141896	-1	-1	5540
409	10141897	-1	-1	5541
410	10141898	-1	-1	5542
411	10141899	-1	-1	5543
412	10141900	-1	-1	5544
413	10141901	-1	-1	5545
414	10141902	-1	-1	5546
415	10141903	-1	-1	5547
416	10141904	-1	-1	5548
417	10141905	-1	-1	5549
418	10141906	-1	-1	5550
419	10141907	-1	-1	5551
420	10141908	-1	-1	5552
421	10141909	-1	-1	5553
422	10141910	-1	-1	5554
423	10141911	-1	-1	5555
424	10141912	-1	-1	5556
425	10141913	-1	-1	5557
426	10141914	-1	-1	5558
427	10141915	-1	-1	5559
428	10141916	-1	-1	5560
429	10141918	-1	-1	5561
430	10141919	-1	-1	5562
431	10141920	-1	-1	5563
432	10141921	-1	-1	5564
433	10141922	-1	-1	5565
434	10141923	-1	-1	5566
435	10141924	-1	-1	5567
436	10141925	-1	-1	5568
437	10141926	-1	-1	5569
438	10141927	-1	-1	5570
439	10141928	-1	-1	5571
440	10141929	-1	-1	5572
441	10141930	-1	-1	5573
442	10141931	-1	-1	5574
443	10141932	-1	-1	5575
444	10141933	-1	-1	5576
445	10141934	-1	-1	5577
446	10141935	-1	-1	5578
447	10141936	-1	-1	5579
448	10141937	-1	-1	5580
449	10141938	-1	-1	5581
450	10141939	-1	-1	5582
451	10141940	-1	-1	5583
452	10141941	-1	-1	5584
453	10141942	-1	-1	5585
454	10141943	-1	-1	5586
455	10141944	-1	-1	5587
456	10141945	-1	-1	5588
457	10141946	-1	-1	5589
458	10141947	-1	-1	5590
459	10141948	-1	-1	5591
460	10141949	-1	-1	5592
461	10141950	-1	-1	5593
462	10141951	-1	-1	5594
463	10141952	-1	-1	5595
464	10141953	-1	-1	5596
465	10141954	-1	-1	5597
466	10141955	-1	-1	5598
467	10141956	-1	-1	5599
468	10141957	-1	-1	5600
469	10141958	-1	-1	5601
470	10141959	-1	-1	5602
471	10141960	-1	-1	5603
472	10141961	-1	-1	5604
473	10141962	-1	-1	5605
474	10141963	-1	-1	5606
475	10141964	-1	-1	5607
476	10141965	-1	-1	5608
477	10141966	-1	-1	5609
478	10141967	-1	-1	5610
479	10141968	-1	-1	5611
480	10141969	-1	-1	5612
481	10141970	-1	-1	5613
482	10141971	-1	-1	5614
483	10141972	-1	-1	5615
484	10141973	-1	-1	5616
485	10141974	-1	-1	5617
486	10141975	-1	-1	5618
487	10141976	-1	-1	5619
488	10141977	-1	-1	5620
489	10141978	-1	-1	5621
490	10141979	-1	-1	5622
491	10141980	-1	-1	5623
492	10141981	-1	-1	5624
493	10141982	-1	-1	5625
494	10141983	-1	-1	5626
495	10141984	-1	-1	5627
496	10141985	-1	-1	5628
497	10141986	-1	-1	5629
498	10141988	-1	-1	5631
499	10141987	-1	-1	5630
500	10141989	-1	-1	5680
501	10141990	-1	-1	43796
502	10141991	-1	-1	43797
503	10141992	-1	-1	43798
504	10141993	-1	-1	43799
505	10141994	-1	-1	43800
506	10141995	-1	-1	43801
507	10141996	-1	-1	43802
508	10141997	-1	-1	43803
509	10141998	-1	-1	43804
510	10141999	-1	-1	43805
511	10142000	-1	-1	43806
512	10142001	-1	-1	43807
513	10142002	-1	-1	43808
514	10142003	-1	-1	43809
515	10142004	-1	-1	43810
516	10142005	-1	-1	43811
517	10142006	-1	-1	43812
518	10142007	-1	-1	5714
519	10142008	-1	-1	43870
520	10142009	-1	-1	43871
521	10142010	-1	-1	43872
522	10142011	-1	-1	43873
523	10142012	-1	-1	43874
524	10142013	-1	-1	43875
525	10142014	-1	-1	43876
526	10142015	-1	-1	43877
527	10142016	-1	-1	43878
528	10142017	-1	-1	43879
529	10142018	-1	-1	43880
530	10142019	-1	-1	43881
531	10142020	-1	-1	43882
532	10142021	-1	-1	43883
533	10142022	-1	-1	43884
534	10142023	-1	-1	43885
535	10142024	-1	-1	43893
536	10142025	-1	-1	43894
537	10142026	-1	-1	44169
538	10142027	-1	-1	44170
539	10142028	-1	-1	44171
540	10142029	-1	-1	44172
541	10142030	-1	-1	44173
542	10142031	-1	-1	44174
543	10142032	-1	-1	44175
544	10142033	-1	-1	44176
545	10142034	-1	-1	44177
546	10142035	-1	-1	44178
547	10142036	-1	-1	44179
548	10142037	-1	-1	44180
549	10142038	-1	-1	44181
550	10142039	-1	-1	44182
551	10142040	-1	-1	44183
552	10142041	-1	-1	44184
553	10142043	-1	-1	44566
554	10142044	-1	-1	44567
555	10142045	-1	-1	44568
556	10142046	-1	-1	44569
557	10142047	-1	-1	44570
558	10142048	-1	-1	44571
559	10142049	-1	-1	44572
560	10142050	-1	-1	44573
561	10142051	-1	-1	44574
562	10142052	-1	-1	44575
563	10142053	-1	-1	44576
564	10142054	-1	-1	44577
565	10142055	-1	-1	44578
566	10142056	-1	-1	44579
567	10142057	-1	-1	44580
568	10142058	-1	-1	44581
569	10142060	-1	-1	44593
570	10142061	-1	-1	44594
571	10142062	-1	-1	44595
572	10142063	-1	-1	44596
573	10142064	-1	-1	44597
574	10142065	-1	-1	44598
575	10142066	-1	-1	44599
576	10142067	-1	-1	44600
577	10142068	-1	-1	44601
578	10142069	-1	-1	44602
579	10142070	-1	-1	44603
580	10142071	-1	-1	44604
581	10142072	-1	-1	44605
582	10142073	-1	-1	44606
583	10142074	-1	-1	44607
584	10142075	-1	-1	44608
585	10142077	-1	-1	44649
586	10142078	-1	-1	44650
587	10142080	-1	-1	44738
588	10142081	-1	-1	44746
589	10142082	-1	-1	44754
590	10142083	-1	-1	44755
591	10142084	-1	-1	44756
592	10142085	-1	-1	44757
593	10142102	-1	-1	45172
594	10142103	-1	-1	45173
595	10142104	-1	-1	45174
596	10142105	-1	-1	45175
597	10142106	-1	-1	45176
598	10142107	-1	-1	45177
599	10142108	-1	-1	45178
600	10142109	-1	-1	45179
601	10142110	-1	-1	45180
602	10142111	-1	-1	45181
603	10142112	-1	-1	45182
604	10142113	-1	-1	45183
605	10142114	-1	-1	45184
606	10142115	-1	-1	45185
607	10142116	-1	-1	45186
608	10142117	-1	-1	45187
609	10142118	-1	-1	45195
610	10142119	-1	-1	45196
611	10142120	-1	-1	45197
612	10142121	-1	-1	45198
613	10142122	-1	-1	45199
614	10142123	-1	-1	45200
615	10142124	-1	-1	45201
616	10142125	-1	-1	45202
617	10142126	-1	-1	45203
618	10142127	-1	-1	45204
619	10142128	-1	-1	45205
620	10142129	-1	-1	45206
