INT	INT	INT	INT	STRING	STRING
INT	INT	INT	INT	STRING	STRING
0	455344128	455606271	2	27.36.0.0	27.39.255.255
1	974127104	974127359	2	58.16.0.0	58.16.0.255
2	974127392	974198527	2	58.16.1.32	58.17.22.255
3	974198548	974200831	2	58.17.23.20	58.17.31.255
4	974200861	974200861	2	58.17.32.29	58.17.32.29
5	974201088	974259388	2	58.17.33.0	58.18.4.188
6	974259389	974259389	1	58.18.4.189	58.18.4.189
7	974259390	974330111	2	58.18.4.190	58.19.24.255
8	974330128	974374527	2	58.19.25.16	58.19.198.127
9	974374656	974414847	2	58.19.199.0	58.20.99.255
10	974415872	974419199	2	58.20.104.0	58.20.116.255
11	974419712	974599423	2	58.20.119.0	58.23.52.255
12	974599680	974651391	2	58.23.54.0	58.23.255.255
13	975175680	975889665	1	58.32.0.0	58.42.229.1
14	975889666	975889666	2	58.42.229.2	58.42.229.2
15	975889667	976103167	1	58.42.229.3	58.46.38.255
16	976103169	976195327	1	58.46.39.1	58.47.142.255
17	976195584	976453887	1	58.47.144.0	58.51.128.255
18	976453889	976476670	1	58.51.129.1	58.51.217.254
19	976476672	976980990	1	58.51.218.0	58.59.139.254
20	976980992	977011584	1	58.59.140.0	58.60.3.128
21	977011585	977011589	2	58.60.3.129	58.60.3.133
22	977011590	977012991	1	58.60.3.134	58.60.8.255
23	977013248	977029631	1	58.60.10.0	58.60.73.255
24	977029888	977084415	1	58.60.75.0	58.61.31.255
25	977084928	977152511	1	58.61.34.0	58.62.41.255
26	977152768	977182463	1	58.62.43.0	58.62.158.255
27	977182488	977198847	1	58.62.159.24	58.62.222.255
28	977198976	977248767	1	58.62.223.128	58.63.161.255
29	978526208	978534911	2	58.83.32.0	58.83.65.255
30	978714624	978780159	1	58.86.0.0	58.86.255.255
31	980025344	980090879	1	58.106.0.0	58.106.255.255
32	982515712	982581247	2	58.144.0.0	58.144.255.255
33	983179264	983179775	3	58.154.32.0	58.154.33.255
34	983180288	983203839	3	58.154.36.0	58.154.127.255
35	983274496	983275519	1	58.155.148.0	58.155.151.255
36	983279616	983302143	3	58.155.168.0	58.155.255.255
37	985202688	985268223	1	58.185.0.0	58.185.255.255
38	985678848	985679871	3	58.192.68.0	58.192.71.255
39	985767936	985772031	3	58.193.160.0	58.193.175.255
40	985780224	985792511	3	58.193.208.0	58.193.255.255
41	985829376	985833471	3	58.194.144.0	58.194.159.255
42	985847808	985849855	3	58.194.216.0	58.194.223.255
43	985878528	985890815	3	58.195.80.0	58.195.127.255
44	985892864	985921535	3	58.195.136.0	58.195.247.255
45	985923584	985956351	3	58.196.0.0	58.196.127.255
46	985972736	986054655	3	58.196.192.0	58.197.255.255
47	986065408	986071039	3	58.198.42.0	58.198.63.255
48	986087424	986094335	3	58.198.128.0	58.198.154.255
49	986094592	986114815	3	58.198.156.0	58.198.234.255
50	986115072	986120191	3	58.198.236.0	58.198.255.255
51	986132480	986141183	3	58.199.48.0	58.199.81.255
52	986143488	986185727	3	58.199.91.0	58.199.255.255
53	986193920	986578943	3	58.200.32.0	58.205.255.255
54	986644480	986710015	3	58.207.0.0	58.207.255.255
55	986710016	986919167	1	58.208.0.0	58.211.48.255
56	986919176	986924031	1	58.211.49.8	58.211.67.255
57	986924280	986924287	1	58.211.68.248	58.211.68.255
58	986924296	986924759	1	58.211.69.8	58.211.70.215
59	986924800	986938391	1	58.211.71.0	58.211.124.23
60	986938392	986938490	2	58.211.124.24	58.211.124.122
61	986939804	986939804	2	58.211.129.156	58.211.129.156
62	986940162	986940162	2	58.211.131.2	58.211.131.2
63	986940306	986940306	2	58.211.131.146	58.211.131.146
64	986940672	986945977	1	58.211.133.0	58.211.153.185
65	986945978	986945978	2	58.211.153.186	58.211.153.186
66	986945979	986948169	1	58.211.153.187	58.211.162.73
67	986948170	986948170	2	58.211.162.74	58.211.162.74
68	986948171	986953577	1	58.211.162.75	58.211.183.105
69	986953578	986953578	2	58.211.183.106	58.211.183.106
70	986953579	986953727	1	58.211.183.107	58.211.183.255
71	986953792	986953799	2	58.211.184.64	58.211.184.71
72	986953984	986965265	1	58.211.185.0	58.211.229.17
73	986965266	986965266	2	58.211.229.18	58.211.229.18
74	986965267	986965503	1	58.211.229.19	58.211.229.255
75	986965632	986968831	1	58.211.230.128	58.211.242.255
76	986968872	986996223	1	58.211.243.40	58.212.93.255
77	986996480	987066623	1	58.212.95.0	58.213.112.255
78	987066625	987071555	1	58.213.113.1	58.213.132.67
79	987071556	987071556	2	58.213.132.68	58.213.132.68
80	987071557	987168510	1	58.213.132.69	58.214.254.254
81	987168512	987368959	1	58.214.255.0	58.218.13.255
82	987369216	987412735	1	58.218.15.0	58.218.184.255
83	987412864	987480575	1	58.218.185.128	58.219.193.255
84	987480832	987617553	1	58.219.195.0	58.221.217.17
85	987617554	987617554	2	58.221.217.18	58.221.217.18
86	987617555	987625473	1	58.221.217.19	58.221.248.1
87	987625474	987625479	3	58.221.248.2	58.221.248.7
88	987625480	987692543	1	58.221.248.8	58.222.253.255
89	987693056	987758591	1	58.223.0.0	58.223.255.255
90	988807168	988816383	2	58.240.0.0	58.240.35.255
91	988816896	988817151	2	58.240.38.0	58.240.38.255
92	988817280	989086463	2	58.240.39.128	58.244.66.255
93	989086720	989262335	2	58.244.68.0	58.246.241.255
94	989262336	989264639	1	58.246.242.0	58.246.250.255
95	989264640	989324287	2	58.246.251.0	58.247.227.255
96	989325312	989331967	2	58.247.232.0	58.248.1.255
97	989332032	989337855	2	58.248.2.64	58.248.24.255
98	989338112	989385215	2	58.248.26.0	58.248.209.255
99	989385472	989386751	2	58.248.211.0	58.248.215.255
100	989387008	989543935	2	58.248.217.0	58.251.61.255
101	989544448	989597439	2	58.251.64.0	58.252.14.255
102	989597696	989611519	2	58.252.16.0	58.252.69.255
103	989611776	989633023	2	58.252.71.0	58.252.153.255
104	989633280	989855743	2	58.252.155.0	58.255.255.255
105	989856000	990539519	1	59.0.1.0	59.10.110.255
106	990539776	990616319	1	59.10.112.0	59.11.154.255
107	990616576	990635263	1	59.11.156.0	59.11.228.255
108	990635520	991444735	1	59.11.230.0	59.24.62.255
109	991444992	992016383	1	59.24.64.0	59.32.247.255
110	992016640	992016640	1	59.32.249.0	59.32.249.0
111	992016792	992027712	1	59.32.249.152	59.33.36.64
112	992027713	992027713	2	59.33.36.65	59.33.36.65
113	992039581	992039581	2	59.33.82.157	59.33.82.157
114	992049251	992049251	3	59.33.120.99	59.33.120.99
115	992049285	992049285	2	59.33.120.133	59.33.120.133
116	992062994	992063002	3	59.33.174.18	59.33.174.26
117	992063003	992069119	1	59.33.174.27	59.33.197.255
118	992069888	992081663	1	59.33.201.0	59.33.246.255
119	992081715	992083705	1	59.33.247.51	59.33.254.249
120	992083706	992083706	2	59.33.254.250	59.33.254.250
121	992083707	992085443	1	59.33.254.251	59.34.5.195
122	992085504	992130559	1	59.34.6.0	59.34.181.255
123	992130816	992144384	1	59.34.183.0	59.34.236.0
124	992144585	992209407	1	59.34.236.201	59.35.233.255
125	992209664	992280703	1	59.35.235.0	59.37.0.127
126	992280832	992281599	1	59.37.1.0	59.37.3.255
127	992281648	992321564	1	59.37.4.48	59.37.160.28
128	992321565	992321565	3	59.37.160.29	59.37.160.29
129	992322331	992322331	2	59.37.163.27	59.37.163.27
130	992355090	992355090	2	59.38.35.18	59.38.35.18
131	992355091	992434687	1	59.38.35.19	59.39.89.255
132	992434692	992476415	1	59.39.90.4	59.39.252.255
133	992476672	992558079	1	59.39.254.0	59.41.59.255
