INT	INT	INT	INT
INT	INT	INT	INT
1	820	2	1
2	821	2	2
3	822	2	3
4	823	1	1
5	824	1	2
6	825	1	3
7	826	3	1
8	827	3	2
9	828	3	3
10	829	4	1
11	830	4	2
12	831	4	3
13	832	2	1
14	833	2	1
15	834	2	2
16	835	2	3
17	836	1	1
18	837	1	1
19	838	1	2
20	839	1	3
21	840	3	1
22	841	3	1
23	842	3	2
24	843	3	3
25	844	4	1
26	845	4	1
27	846	4	2
28	847	4	3
29	848	2	2
30	849	2	3
31	850	2	4
32	851	1	2
33	852	1	3
34	853	1	4
35	854	3	2
36	855	3	3
37	856	3	4
38	857	4	2
39	858	4	3
40	859	4	4
41	860	2	2
42	861	2	3
43	862	2	4
44	863	1	2
45	864	1	3
46	865	1	4
47	866	3	2
48	867	3	3
49	868	3	4
50	869	4	2
51	870	4	3
52	871	4	4
