INT	STRING	INT
INT	STRING	INT
3	嵩山	0
4	太湖	0
5	镜湖	0
6	无量山	0
7	剑阁	0
8	敦煌	0
9	少林寺	0
10	丐帮总舵	0
11	光明殿	0
12	武当山	0
13	天龙寺	0
14	凌波洞	0
15	峨嵋山	0
16	星宿海	0
17	天山	0
18	雁南	0
19	雁北	0
20	草原	0
21	辽西	0
22	长白山	0
23	黄龙府	0
24	洱海	0
25	苍山	0
26	石林	0
27	玉溪	0
28	南诏	0
29	苗疆	0
30	西湖	0
31	龙泉	0
32	武夷	0
33	梅岭	0
34	南海	0
35	琼州	0
39	玄武岛	0
41	玄武岛·镜	0
73	无量山2	0
74	无量山3	0
75	剑阁2	0
76	剑阁3	0
121	西湖	0
123	宝藏洞一层	0
126	宝藏洞二层	0
148	宝藏洞三层	0
149	宝藏洞四层	0
150	宝藏洞五层	0
156	大军草料场	0
157	苗人洞	0
158	圣兽山	0
159	燕王古墓一层	0
160	燕王古墓二层	0
161	燕王古墓三层	0
162	燕王古墓四层	0
163	燕王古墓五层	0
164	燕王古墓六层	0
165	燕王古墓七层	0
166	燕王古墓八层	0
167	燕王古墓九层	0
168	山洞船坞	0
169	剑冢	0
170	摩崖洞	0
171	野人沟	0
172	温泉洞	0
173	黄龙洞	0
174	水晶湖	0
175	先王坟	0
176	天坑树洞	0
177	桃花源	0
178	海贼洞	0
179	雪狼湖	0
180	凤凰古镇	0
188	银皑雪原	0
201	撒马尔罕	0
202	圣火宫	0
205	雁南正南	4
206	雁北正西	4
207	西湖正西	4
208	龙泉正北	4
209	苍山正西	4
210	洱海正西	4
211	草原正西	4
212	辽西西北	4
213	武夷正西	4
214	梅岭西北	4
215	石林正南	4
216	玉溪西南	4
217	长白山西北	4
218	黄龙府西北	4
219	南海正北	4
220	琼州正西	4
221	南诏西南	4
222	苗疆正东	4
223	雁南正南	4
224	雁北正西	4
225	西湖正西	4
226	龙泉正北	4
227	苍山正西	4
228	洱海正西	4
229	草原正西	4
230	辽西西北	4
231	武夷正西	4
232	梅岭西北	4
233	石林正南	4
234	玉溪西南	4
235	长白山西北	4
236	黄龙府西北	4
237	南海正北	4
238	琼州正西	4
239	南诏西南	4
240	苗疆正东	4
241	雁南正南	4
242	雁北正西	4
243	西湖正西	4
244	龙泉正北	4
245	苍山正西	4
246	洱海正西	4
247	草原正西	4
248	辽西西北	4
249	武夷正西	4
250	梅岭西北	4
251	石林正南	4
252	玉溪西南	4
253	长白山西北	4
254	黄龙府西北	4
255	南海正北	4
256	琼州正西	4
257	南诏西南	4
258	苗疆正东	4
259	雁南正南	4
260	雁北正西	4
261	西湖正西	4
262	龙泉正北	4
263	苍山正西	4
264	洱海正西	4
265	草原正西	4
266	辽西西北	4
267	武夷正西	4
268	梅岭西北	4
269	石林正南	4
270	玉溪西南	4
271	长白山西北	4
272	黄龙府西北	4
273	南海正北	4
274	琼州正西	4
275	南诏西南	4
276	苗疆正东	4
277	雁南正南	4
278	雁北正西	4
279	西湖正西	4
280	龙泉正北	4
281	苍山正西	4
282	洱海正西	4
283	草原正西	4
284	辽西西北	4
285	武夷正西	4
286	梅岭西北	4
287	石林正南	4
288	玉溪西南	4
289	长白山西北	4
290	黄龙府西北	4
291	南海正北	4
292	琼州正西	4
293	南诏西南	4
294	苗疆正东	4
295	雁南正南	4
296	雁北正西	4
297	西湖正西	4
298	龙泉正北	4
299	苍山正西	4
300	洱海正西	4
301	草原正西	4
302	辽西西北	4
303	武夷正西	4
304	梅岭西北	4
305	石林正南	4
306	玉溪西南	4
307	长白山西北	4
308	黄龙府西北	4
309	南海正北	4
310	琼州正西	4
311	南诏西南	4
312	苗疆正东	4
400	秦皇地宫一层	0
401	秦皇地宫二层	0
402	秦皇地宫三层	0
415	盐湖	0
420	束河古镇	0
423	火焰山	0
424	高昌	0
425	塔里木	0
427	塔克拉玛干	0
431	大宛	0
432	汗血岭	0
433	昆仑山	0
434	昆仑福地	0
443	凤凰平原	2
444	清源	0
445	清源山洞	0
517	白沙盐坑	0
519	火焰谷	0
520	高昌迷宫	0
597	雁南正南	4
598	雁北正西	4
599	西湖正西	4
600	龙泉正北	4
601	苍山正西	4
602	洱海正西	4
603	草原正西	4
604	辽西西北	4
605	武夷正西	4
606	梅岭西北	4
607	石林正南	4
608	玉溪西南	4
609	长白山西北	4
610	黄龙府西北	4
611	南海正北	4
612	琼州正西	4
613	南诏西南	4
614	苗疆正东	4
615	雁南正南	4
616	雁北正西	4
617	西湖正西	4
618	龙泉正北	4
619	苍山正西	4
620	洱海正西	4
621	草原正西	4
622	辽西西北	4
623	武夷正西	4
624	梅岭西北	4
625	石林正南	4
626	玉溪西南	4
627	长白山西北	4
628	黄龙府西北	4
629	南海正北	4
630	琼州正西	4
631	南诏西南	4
632	苗疆正东	4
633	雁南正南	4
634	雁北正西	4
635	西湖正西	4
636	龙泉正北	4
637	苍山正西	4
638	洱海正西	4
639	草原正西	4
640	辽西西北	4
641	武夷正西	4
642	梅岭西北	4
643	石林正南	4
644	玉溪西南	4
645	长白山西北	4
646	黄龙府西北	4
647	南海正北	4
648	琼州正西	4
649	南诏西南	4
650	苗疆正东	4
651	雁南正南	4
652	雁北正西	4
653	西湖正西	4
654	龙泉正北	4
655	苍山正西	4
656	洱海正西	4
657	草原正西	4
658	辽西西北	4
659	武夷正西	4
660	梅岭西北	4
661	石林正南	4
662	玉溪西南	4
663	长白山西北	4
664	黄龙府西北	4
665	南海正北	4
666	琼州正西	4
667	南诏西南	4
668	苗疆正东	4
669	雁南正南	4
670	雁北正西	4
671	西湖正西	4
672	龙泉正北	4
673	苍山正西	4
674	洱海正西	4
675	草原正西	4
676	辽西西北	4
677	武夷正西	4
678	梅岭西北	4
679	石林正南	4
680	玉溪西南	4
681	长白山西北	4
682	黄龙府西北	4
683	南海正北	4
684	琼州正西	4
685	南诏西南	4
686	苗疆正东	4
687	雁南正南	4
688	雁北正西	4
689	西湖正西	4
690	龙泉正北	4
691	苍山正西	4
692	洱海正西	4
693	草原正西	4
694	辽西西北	4
695	武夷正西	4
696	梅岭西北	4
697	石林正南	4
698	玉溪西南	4
699	长白山西北	4
700	黄龙府西北	4
701	南海正北	4
702	琼州正西	4
703	南诏西南	4
704	苗疆正东	4
1292	白溪湖	0
1293	蜀南竹海	0
1294	西凉枫林	0
1295	长春谷·横崖	0
1296	长春谷·乌衣巷	0
1297	不老殿	0
1308	秦宫秘境一层	0
1309	秦宫秘境二层	0
1310	秦宫秘境三层	0
1311	沉月岛	0
1312	地火岛	0
1313	繁林岛	0
1314	清湖蜃景	0
1315	密林蜃景	0
1316	熔岩蜃景	0
1317	清湖蜃景	0
1480	龙塔一层测试	0
1481	龙塔二层测试	0
1482	龙塔三层测试	0
1483	浮镜塔·妖塔一层测试	0
1484	浮镜塔·妖塔二层	0
1485	浮镜塔·妖塔三层	0
1486	浮镜塔·妖塔四层	0
1487	无烬岛·妖塔一层	0
1488	无烬岛·妖塔二层	0
1489	无烬岛·妖塔三层	0
1490	无烬岛·妖塔四层	0
1491	祀林岛·妖塔一层	0
1492	祀林岛·妖塔二层	0
1493	祀林岛·妖塔三层	0
1494	祀林岛·妖塔四层测试	0
16725	秦宫秘境四层	0
16726	秦宫秘境四层	0
16727	秦宫秘境四层	0
16728	秦宫秘境四层	0
16729	秦宫秘境四层	0
