INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING
10	-1	-1	0	1	0	0	-1	0	18	30	1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	0	-1	Kim cß½ng Phø Ma Khuyên Ðích thß½ng t±n
11	-1	-1	0	1	0	0	-1	13	0	10	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Kim cß½ng Phø Ma Khuyên Ðích Giäm Nµ
1	-1	-1	0	1	0	0	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	0	-1	T¤n công
20	-1	-1	0	1	0	0	-1	-1	-1	-1	-1	7	-1	15	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	8	-1	Sñ yên l£ng Chi Vû mµt l¥n Gia Huyªt hi®u quä
30	-1	-1	0	1	0	0	-1	4	-1	-1	-1	0	18	30	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	0	-1	Ðan Phßþng ánh sáng m£t tr¶i Ðích thß½ng t±n
40	-1	-1	0	1	0	900000	-1	-1	-1	-1	-1	1	7	20	1	1	10	20	1	1	13	20	1	1	16	20	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	8	-1	T× Hàng Phä Ðµ Gia Toàn Kháng Tính
50	-1	-1	0	1	0	0	-1	4	-1	-1	-1	0	18	50	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	0	-1	Thi¬u TrÕch Ti­n Ðích thß½ng t±n
60	-1	1	0	1	0	0	-1	7	-1	300	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Gia tång HP300
70	-1	1	0	1	0	0	-1	8	-1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Gia tång MP100
