INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
1	Liên tøc thß½ng t±n	20	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	0	0	0	0	0	0	0	0	0	0	
2	Phòng ngñ suy yªu	8	20	21	22	23	24	25	26	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	Khä bµ ph§n thao tác	4	28	29	30	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	Không th¬ thao tác	7	32	33	34	35	36	37	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	Phó Di®n trÕng thái	28	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	0	0	
6	Kh¯ng chª B¸ HÕn	11	28	29	30	31	32	33	34	35	36	37	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	Th¤t tinh LÕc tr¶i cao mi­n d¸ch	4	29	32	33	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	Hµ th¬ trÕng thái	2	41	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	Nga Mi chúc phúc	1	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	Nga Mi Gia Huyªt(Tø Khí)	2	357	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	Nga Mi công kích	5	351	352	353	354	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
