INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT							
INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT							
1	1	1000	Buff0_1				g01_buff2		ÉíÌåÊÜ»÷µã	0	1	1	0	0		Tê Li®t: Liên Tøc M¤t Hp	-1	0	1	1							
2	2	1000	Buff0_2				npc_buff_19		ÉíÌåÊÜ»÷µã	0	1	1	0	0		Trúng Ðµc: Liên Tøc M¤t Hp	-1	0	1	1							
3	3	1000	Buff0_3				g01_buff32		ÉíÌåÊÜ»÷µã	0	1	1	0	0		Nguy«n Rüa: Liên Tøc M¤t Hp	-1	0	1	1							
4	4	1000	Buff0_4				g01_buff106		ÉíÌåÊÜ»÷µã	0	1	1	0	0		Thiêu Ð¯t: Liên Tøc M¤t Hp	-1	0	1	1							
5	5	1000	Buff0_6				g01_buff46_01		ÉíÌåÊÜ»÷µã	0	1	1	0	0		Ph® Huyªt: Liên Tøc M¤t sinh lñc	-1	0	1	1							
6	6	1000	Buff0_5				npc_buff_19		ÉíÌåÊÜ»÷µã	0	1	1	0	0		Ån Mòn: Liên Tøc M¤t Hp	-1	0	1	1							
7	7	1000	Buff0_5							0	0	1	0	1	ÉíÌåÊÜ»÷µã	Tiªt Khí: Liên Tøc Giäm Khí	-1	0	1	1							
8	8	1000	Buff0_6							0	0	1	0	1	ÉíÌåÊÜ»÷µã	An Phü: Liên Tøc Giäm Cß¶ng Lñc	-1	0	1	1							
9	9	1000	Medicine2_5							0	0	0	1	0		H°i Hp: Liên Tøc H°i Hp	-1	0	1	1							
10	10	1000	Medicine2_6							0	0	0	1	0		H°i Khí: Liên Tøc H°i Khí	-1	0	1	1							
11	11	1000	Buff0_7		Skills\Common\rock_huge_1.wav		g01_buff12		½ÅÏÂ¹âÈ¦µã	0	1	1	0	0		Vây ch£t: Không th¬ di chuy¬n, không th¬ thao tác, không th¬ b¸ công kích	-1	0	1	1							
12	12	1000	Buff0_8							0	1	1	0	0		ThÕch hoá: Không th¬ di chuy¬n, không th¬ thao tác, không th¬ b¸ công kích	-1	0	1	1							
13	13	1000	Buff0_9	all_bj0000		ÉíÌåÊÜ»÷µã	buff_fengxue_01		ÉíÌåÊÜ»÷µã	0	1	1	0	0		Phong huy®t: Không th¬ di chuy¬n, không th¬ thao tác, có th¬ b¸ công kích, không có cách gì ðánh tïnh	-1	0	1	1							
