INT	INT	INT	INT	INT	INT	STRING	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
INT	INT	INT	INT	INT	INT	STRING	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
0	30027	-1	0	316	-1	#{WPKMC_190930_148}	爱嵩绝对礼匣	20191001		永久称号：旷世嵩迷	珍兽丹：嵩鼠	银丹葫芦	玉液净瓶						
1	30028	-1	0	317	-1	#{WPKMC_190930_148}	良驹锦囊	20191001		坐骑：巨猿（30天）1%	坐骑：白云（30天）1.5%	坐骑：黑土（30天）1.5%	坐骑：巴天虎（30天）1.5%	坐骑：巨猿（7天）24%	坐骑：白云（7天）23.5%	坐骑：黑土（7天）23.5%	坐骑：巴天虎（7天）23.5%		
2	30030	-1	0	318	-1	#{WPKMC_190930_148}	坐骑：天马（30天）	20191001		坐骑：天马（30天）									
3	30031	-1	0	319	-1	#{WPKMC_190930_148}	时装：万紫千红（7天）	20191001		时装：万紫千红（7天）									
4	30032	-1	0	320	-1	#{WPKMC_190930_148}	微博礼包	20191001		红宝石（3级）	土灵珠	天灵丹							
5	30033	-1	0	321	-1	#{WPKMC_190930_148}	论坛礼包	20191001		天灵丹	土灵珠	乾坤壶							
6	30034	-1	0	322	-1	#{WPKMC_190930_148}	媒体礼包	20191001		土灵珠	金蚕丝*10								
7	30061	-1	0	355	-1	#{WPKMC_190930_148}	媒介礼包	20191001		金刚砂	金蚕丝*10								
8	30062	-1	0	356	-1	#{WPKMC_190930_148}	虎扑礼包	20191001		金刚砂	金蚕丝*10								
9	30063	-1	0	357	-1	#{WPKMC_190930_148}	速绿天龙专属礼包	20191001		金刚砂	金蚕丝*10								
10	30150	-1	0	466	-1	#{WPKMC_190930_148}	天龙女神·守护骑士（30天）	20210902		称号：天龙女神·守护骑士（30天）									
11	30151	-1	0	467	-1	#{WPKMC_190930_148}	红宝石（3级）	20210902		红宝石（3级）									
12	30152	-1	0	468	-1	#{WPKMC_190930_148}	锦衣华裳礼包	20210902		锦衣华裳礼包									
13	30146	-1	0	469	-1	#{WPKMC_190930_148}	社区以及女神活动相关物品卡	20210902		回天神石*3									
14	30147	-1	0	470	-1	#{WPKMC_190930_148}	社区以及女神活动相关物品卡	20210902		功力丹*3									
15	30148	-1	0	471	-1	#{WPKMC_190930_148}	社区以及女神活动相关物品卡	20210902		金蚕丝*5									
16	30149	-1	0	472	-1	#{WPKMC_190930_148}	社区以及女神活动相关物品卡	20210902		虹耀石*3									
17	30142	-1	0	473	-1	#{WPKMC_190930_148}	新服专属卡	20210902		天灵丹*2	天罡强化露	金刚锉							
18	30165	-1	0	480	-1	#{WPKMC_190930_148}	复归江湖礼包	20210930		复归江湖礼包									
19	30166	-1	0	482	-1	#{WPKMC_190930_148}	再逢故人礼	20211015		再逢故人礼									
20	30167	-1	0	483	-1	#{WPKMC_190930_148}	时装：萧峰阿朱（7天）	20211015		时装：萧峰阿朱（7天）									
21	30168	-1	0	484	-1	#{WPKMC_190930_148}	坐骑：青麟白泽（30天）	20211015		坐骑：青麟白泽（30天）									
22	30189	-1	0	503	-1	#{WPKMC_190930_148}	天罡强化精华	20211125		天罡强化精华*3									
23	30190	-1	0	504	-1	#{WPKMC_190930_148}	金蚕丝	20211125		金蚕丝*5									
24	30191	-1	0	505	-1	#{WPKMC_190930_148}	虹耀石	20211125		虹耀石*2									
25	30194	-1	0	513	-1	#{WPKMC_190930_148}	畅秀阁年度盛典礼包	20211202		天灵丹100%	天罡强化精华35%	绘金尘35%	灵兽精魄24%	3级棉布3%	3级秘银3%	时装：蝶舞流芳（永久）0.5%			
26	30207	-1	0	562	-1	#{WPKMC_190930_148}	移动端礼包	20220127		复归江湖礼包									
27	30213	-1	0	581	-1	#{WPKMC_190930_148}	复归江湖礼包	20220317		复归江湖礼包									
28	30210	-1	0	582	-1	#{WPKMC_190930_148}	红宝石（3级）	20220317	55;56;57;58;59;60;61;62;63;64	红宝石(3级)									
29	30211	-1	0	583	-1	#{WPKMC_190930_148}	绘金尘*5	20220317	55;56;57;58;59;60;61;62;63;64	绘金尘*5									
30	30212	-1	0	584	-1	#{WPKMC_190930_148}	金蚕丝*10	20220317	55;56;57;58;59;60;61;62;63;64	金蚕丝*10									
31	30209	-1	0	-1	-1	#{WPKMC_190930_148}	天灵丹	20220317	55;56;57;58;59;60;61;62;63;64	天灵丹									
32	30215	-1	0	587	-1	#{WPKMC_190930_148}	直播礼包1	20220408		红宝石（3级）*2	晶石礼盒3级*2	金蚕丝*30	天罡强化露*2						
33	30216	-1	0	588	-1	#{WPKMC_190930_148}	直播礼包2	20220408		珍兽蛋：霓凰（95级）	超级珍兽还童天书*10	高级根骨丹*50	灵兽精魄*20						
34	30217	-1	0	589	-1	#{WPKMC_190930_148}	直播礼包3	20220408		仙羽霞翎（永久）	坐骑：翎月椅（90天）	虹耀石*20	黄金马鞍*2						
35	30227	-1	0	601	-1	#{WPKMC_190930_148}	时装：断桥残雪	20220512		时装：断桥残雪									
36	30228	-1	0	602	-1	#{WPKMC_190930_148}	超级珍兽笼：安琪儿	20220512		超级珍兽笼：安琪儿									
37	30229	-1	0	603	-1	#{WPKMC_190930_148}	超级珍兽笼：霓凰	20220512		超级珍兽笼：霓凰									
