INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT
0	Man –•u phØi phﬂΩng	30101001	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	0	0	16	3000	-1	30101001	Ng„ –i´n Li≠u	-1	-1
1	Tam –Ïnh Kh‰m –ao –∞ Tﬂ∂ng	10200011	1	4	1	20103001	25	20103061	10	20103097	12	20308001	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
2	DiÆp Li≠u B·t Phong –ao –∞ Tﬂ∂ng	10200012	1	4	2	20103002	30	20103062	15	20103097	15	20308002	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
3	NguyÆt Nha Khai SΩn Ph¸ –∞ Tﬂ∂ng	10200013	1	4	3	20103003	35	20103063	20	20103097	21	20308003	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
4	B‰o Quang Xa Lu‚n Ph¸ –∞ Tﬂ∂ng	10200014	1	4	4	20103004	40	20103064	25	20103098	24	20308004	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
5	Ng˚ H‡nh Nhßt NguyÆt S‰n –∞ Tﬂ∂ng	10200015	1	4	5	20103005	45	20103065	30	20103098	27	20308005	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
6	Kinh –Ônh T‰o DﬂΩng SÛc –∞ Tﬂ∂ng	10200016	1	4	6	20103006	50	20103066	35	20103098	33	20308006	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
7	Chu Tﬂæc L∏ch ThiÍn Ph¸ –∞ Tﬂ∂ng	10200017	1	4	7	20103007	55	20103067	40	20103099	48	20308007	1	-1	-1	80	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
8	Th¸ Ly –∞ Tﬂ∂ng	10200018	1	4	8	20103008	60	20103068	45	20103099	52	20308008	1	-1	-1	90	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
9	H˜a Ph˙c –∞ Tﬂ∂ng	10200019	1	4	9	20103009	65	20103069	50	20103099	60	20308009	1	-1	-1	100	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
10	B·ch Chi™n –∞ Tﬂ∂ng	10200020	1	4	10	20103010	70	20103070	55	20103099	64	20308010	1	-1	-1	110	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
11	Tam C± M„ng LÙi Xoa –∞ Tﬂ∂ng	10201011	1	4	1	20103001	25	20103061	10	20103097	12	20308011	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
