INT	INT	STRING	INT	INT	INT
INT	INT	STRING	INT	INT	INT
1	1238	Chª tác C¤p 60 8Tinh môn phái A Húc cái bao tay Thiªu Lâm	-1	0	10112113
2	1239	Chª tác C¤p 70 8Tinh môn phái A Húc cái bao tay Thiªu Lâm	-1	0	10112114
3	1240	Chª tác C¤p 80 8Tinh môn phái A Húc cái bao tay Thiªu Lâm	-1	0	10112115
4	1241	Chª tác C¤p 90 8Tinh môn phái A Húc cái bao tay Thiªu Lâm	-1	0	10112116
5	1238	Chª tác C¤p 60 8Tinh môn phái A Húc cái bao tay Minh Giáo	-1	1	10112117
6	1239	Chª tác C¤p 70 8Tinh môn phái A Húc cái bao tay Minh Giáo	-1	1	10112118
7	1240	Chª tác C¤p 80 8Tinh môn phái A Húc cái bao tay Minh Giáo	-1	1	10112119
8	1241	Chª tác C¤p 90 8Tinh môn phái A Húc cái bao tay Minh Giáo	-1	1	10112120
9	1238	Chª tác C¤p 60 8Tinh môn phái A Húc cái bao tay Cái Bang	-1	2	10112121
10	1239	Chª tác C¤p 70 8Tinh môn phái A Húc cái bao tay Cái Bang	-1	2	10112122
11	1240	Chª tác C¤p 80 8Tinh môn phái A Húc cái bao tay Cái Bang	-1	2	10112123
12	1241	Chª tác C¤p 90 8Tinh môn phái A Húc cái bao tay Cái Bang	-1	2	10112124
13	1238	Chª tác C¤p 60 8Tinh môn phái A Húc cái bao tay Võ Ðang	-1	3	10112125
14	1239	Chª tác C¤p 70 8Tinh môn phái A Húc cái bao tay Võ Ðang	-1	3	10112126
15	1240	Chª tác C¤p 80 8Tinh môn phái A Húc cái bao tay Võ Ðang	-1	3	10112127
16	1241	Chª tác C¤p 90 8Tinh môn phái A Húc cái bao tay Võ Ðang	-1	3	10112128
17	1238	Chª tác C¤p 60 8Tinh môn phái A Húc cái bao tay Nga Mi	-1	4	10112129
18	1239	Chª tác C¤p 70 8Tinh môn phái A Húc cái bao tay Nga Mi	-1	4	10112130
19	1240	Chª tác C¤p 80 8Tinh môn phái A Húc cái bao tay Nga Mi	-1	4	10112131
20	1241	Chª tác C¤p 90 8Tinh môn phái A Húc cái bao tay Nga Mi	-1	4	10112132
21	1238	Chª tác C¤p 60 8Tinh môn phái A Húc cái bao tay Tinh Túc	-1	5	10112133
22	1239	Chª tác C¤p 70 8Tinh môn phái A Húc cái bao tay Tinh Túc	-1	5	10112134
23	1240	Chª tác C¤p 80 8Tinh môn phái A Húc cái bao tay Tinh Túc	-1	5	10112135
24	1241	Chª tác C¤p 90 8Tinh môn phái A Húc cái bao tay Tinh Túc	-1	5	10112136
25	1238	Chª tác C¤p 60 8Tinh môn phái A Húc cái bao tay ÐÕi Lý	-1	6	10112137
26	1239	Chª tác C¤p 70 8Tinh môn phái A Húc cái bao tay ÐÕi Lý	-1	6	10112138
27	1240	Chª tác C¤p 80 8Tinh môn phái A Húc cái bao tay ÐÕi Lý	-1	6	10112139
28	1241	Chª tác C¤p 90 8Tinh môn phái A Húc cái bao tay ÐÕi Lý	-1	6	10112140
29	1238	Chª tác C¤p 60 8Tinh môn phái A Húc cái bao tay Thiên S½n	-1	7	10112141
30	1239	Chª tác C¤p 70 8Tinh môn phái A Húc cái bao tay Thiên S½n	-1	7	10112142
31	1240	Chª tác C¤p 80 8Tinh môn phái A Húc cái bao tay Thiên S½n	-1	7	10112143
32	1241	Chª tác C¤p 90 8Tinh môn phái A Húc cái bao tay Thiên S½n	-1	7	10112144
33	1238	Chª tác C¤p 60 8Tinh môn phái A Húc cái bao tay tiêu dao	-1	8	10112145
34	1239	Chª tác C¤p 70 8Tinh môn phái A Húc cái bao tay tiêu dao	-1	8	10112146
35	1240	Chª tác C¤p 80 8Tinh môn phái A Húc cái bao tay tiêu dao	-1	8	10112147
36	1241	Chª tác C¤p 90 8Tinh môn phái A Húc cái bao tay tiêu dao	-1	8	10112148
37	1238	Chª tác C¤p 60 8Tinh môn phái A Húc cái bao tay MÕn Ðà	-1	10	10112149
38	1239	Chª tác C¤p 70 8Tinh môn phái A Húc cái bao tay MÕn Ðà	-1	10	10112150
