INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
0	0	1109	-1	0	-1	0	-1	0	-1	-1	Lßu quang 3Ki®n Sáo
1	0	1952	-1	0	-1	0	-1	0	-1	-1	Lßu quang 3Ki®n Sáo
2	0	3150	-1	0	-1	0	-1	0	-1	-1	Lßu quang 3Ki®n Sáo
3	0	4438	-1	0	-1	0	-1	0	-1	-1	Lßu quang 3Ki®n Sáo
4	-1	-1	-1	-1	-1	-1	-1	-1	3759	45532	Lßu quang 6Ki®n Sáo
5	-1	-1	-1	-1	-1	-1	-1	-1	3760	45535	Lßu quang 6Ki®n Sáo
6	-1	-1	-1	-1	-1	-1	-1	-1	3761	45537	Lßu quang 6Ki®n Sáo
7	-1	-1	-1	-1	-1	-1	-1	-1	3762	45539	Lßu quang 6Ki®n Sáo
8	6	10	9	10	12	10	15	10	-1	-1	Mµ Vû 3Ki®n Sáo
9	6	17	9	17	12	17	15	17	-1	-1	Mµ Vû 3Ki®n Sáo
10	6	28	9	28	12	28	15	28	-1	-1	Mµ Vû 3Ki®n Sáo
11	6	40	9	40	12	40	15	40	-1	-1	Mµ Vû 3Ki®n Sáo
12	0	-1	-1	0	-1	0	-1	0	3763	-1	Mµ Vû 6Ki®n Sáo
13	0	-1	-1	0	-1	0	-1	0	3764	-1	Mµ Vû 6Ki®n Sáo
14	0	-1	-1	0	-1	0	-1	0	3765	-1	Mµ Vû 6Ki®n Sáo
15	0	-1	-1	0	-1	0	-1	0	3766	-1	Mµ Vû 6Ki®n Sáo
16	37	3	-1	0	-1	0	-1	0	-1	-1	Tinh Huy 3Ki®n Sáo
17	37	6	-1	0	-1	0	-1	0	-1	-1	Tinh Huy 3Ki®n Sáo
18	37	10	-1	0	-1	0	-1	0	-1	-1	Tinh Huy 3Ki®n Sáo
19	37	15	-1	0	-1	0	-1	0	-1	-1	Tinh Huy 3Ki®n Sáo
20	-1	-1	-1	-1	-1	-1	-1	-1	3767	-1	Tinh Huy 6Ki®n Sáo
21	-1	-1	-1	-1	-1	-1	-1	-1	3768	-1	Tinh Huy 6Ki®n Sáo
22	-1	-1	-1	-1	-1	-1	-1	-1	3769	-1	Tinh Huy 6Ki®n Sáo
23	-1	-1	-1	-1	-1	-1	-1	-1	3770	-1	Tinh Huy 6Ki®n Sáo
24	36	90	-1	0	-1	0	-1	0	-1	-1	Gió nh© 3Ki®n Sáo
25	36	158	-1	0	-1	0	-1	0	-1	-1	Gió nh© 3Ki®n Sáo
26	36	255	-1	0	-1	0	-1	0	-1	-1	Gió nh© 3Ki®n Sáo
27	36	360	-1	0	-1	0	-1	0	-1	-1	Gió nh© 3Ki®n Sáo
28	-1	-1	-1	-1	-1	-1	-1	-1	3771	-1	Gió nh© 6Ki®n Sáo
29	-1	-1	-1	-1	-1	-1	-1	-1	3772	-1	Gió nh© 6Ki®n Sáo
30	-1	-1	-1	-1	-1	-1	-1	-1	3773	-1	Gió nh© 6Ki®n Sáo
31	-1	-1	-1	-1	-1	-1	-1	-1	3774	-1	Gió nh© 6Ki®n Sáo
32	35	270	-1	0	-1	0	-1	0	-1	-1	DÕ Tuyªt 3Ki®n Sáo
33	35	475	-1	0	-1	0	-1	0	-1	-1	DÕ Tuyªt 3Ki®n Sáo
34	35	766	-1	0	-1	0	-1	0	-1	-1	DÕ Tuyªt 3Ki®n Sáo
35	35	1080	-1	0	-1	0	-1	0	-1	-1	DÕ Tuyªt 3Ki®n Sáo
36	-1	-1	-1	-1	-1	-1	-1	-1	3775	45554	DÕ Tuyªt 6Ki®n Sáo
37	-1	-1	-1	-1	-1	-1	-1	-1	3776	45555	DÕ Tuyªt 6Ki®n Sáo
38	-1	-1	-1	-1	-1	-1	-1	-1	3777	45556	DÕ Tuyªt 6Ki®n Sáo
39	-1	-1	-1	-1	-1	-1	-1	-1	3778	45557	DÕ Tuyªt 6Ki®n Sáo
40	48	5	-1	0	-1	0	-1	0	-1	-1	Ngñ Lôi 3Ki®n Sáo
41	48	8	-1	0	-1	0	-1	0	-1	-1	Ngñ Lôi 3Ki®n Sáo
42	48	13	-1	0	-1	0	-1	0	-1	-1	Ngñ Lôi 3Ki®n Sáo
43	48	20	-1	0	-1	0	-1	0	-1	-1	Ngñ Lôi 3Ki®n Sáo
44	-1	-1	-1	-1	-1	-1	-1	-1	3779	-1	Ngñ Lôi 6Ki®n Sáo
45	-1	-1	-1	-1	-1	-1	-1	-1	3780	-1	Ngñ Lôi 6Ki®n Sáo
46	-1	-1	-1	-1	-1	-1	-1	-1	3781	-1	Ngñ Lôi 6Ki®n Sáo
47	-1	-1	-1	-1	-1	-1	-1	-1	3782	-1	Ngñ Lôi 6Ki®n Sáo
