INT	INT	INT	INT	STRING	STRING	STRING
INT	INT	INT	INT	STRING	STRING	STRING
0	0	0	10100000	大刀1a.obj		武器(大刀)
1	0	1	10101000	mao1a.obj		武器(长枪)
2	0	2	10102000	单短1a.obj		武器(单短)
3	0	3	10103000	双短1A.obj		武器(双短)
4	0	4	10104000	扇子1A.obj		武器(扇类)
5	0	5	10105000	环1a.obj		武器(环类)
6	1	21	0			坐骑ID
7	2	0	7485	替模npc.obj	0	Monster
8	3	0	806	白兔.obj		Pet
9	5	61	0			时装替模
10	6	0	0	女主角头发02.mesh		女主角发型
11	6	1	0	男主角头发01.mesh		男主角发型
12	7	0	0	女主角脸02.mesh		女主角脸型
13	7	1	0	男主角脸01.mesh		男主角脸型
14	8	0	10101000	mao1a.obj		少林武器(长枪)
15	8	1	10100000	大刀1a.obj		明教武器(大刀)
16	8	2	10101000	mao1a.obj		丐帮武器(长枪)
17	8	3	10102000	单短1a.obj		武当武器(单短)
18	8	4	10103000	双短1A.obj		峨眉武器(双短)
19	8	5	10103000	双短1A.obj		星宿武器(双短)
20	8	6	10105000	环1a.obj		天龙武器(环类)
21	8	7	10105000	环1a.obj		天山武器(环类)
22	8	8	10104000	扇子1A.obj		逍遥武器(扇类)
23	8	9	10102000	单短1a.obj		无门派单短
24	0	6	10106000	武器220803普通白装一.obj		武器（琴）
25	8	10	10106000	武器220803普通白装一.obj		曼陀武器(琴类)
26	0	7	10107000	恶人谷门派高手武器.obj		武器（冷镰）
27	8	11	10107000	恶人谷门派高手武器.obj		恶人谷武器(冷镰类)
