INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING	STRING
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING	STRING
0	492	17	-1	0	0	1	1	31	6	葛光佩		代劳	-1	-1	-1	240	173			
1	493	17	-1	0	0	3	1	33	6	干光豪		蜂毒	-1	-1	-1	241	181			
2	503	18	-1	0	0	5	3	35	7	时迈		红色宝藏钥匙	-1	-1	-1	263	201			
3	504	18	-1	0	0	5	3	35	7	时迈		黄色宝藏钥匙	-1	-1	-1	263	201			
4	505	18	-1	0	0	5	3	35	7	时迈		蓝色宝藏钥匙	-1	-1	-1	263	201			
5	515	19	-1	0	0	13	11	43	8	朱王礼		夹击	514	-1	-1	63	81			
6	465	14	-1	0	0	18	16	48	3	陆凝霜		解铃人	903	-1	-1	181	81			
7	466	14	-1	0	0	18	16	48	3	陆凝霜		蛛丝马迹	465	-1	-1	181	81			
8	469	14	-1	0	0	20	18	50	3	陆松		嵩阳断肠草	904	-1	-1	182	81			
9	645	41	-1	0	0	23	21	53	30	苏飞		断桥花妖	644	-1	-1	164	262			
10	646	41	-1	0	0	23	21	53	30	苏飞		白堤柳鬼	644	-1	-1	164	262			
11	647	41	-1	0	0	23	21	53	30	苏飞		归风庄	644	-1	-1	164	262			
12	522	29	-1	0	0	30	28	60	18	寇封		秘密联络	-1	-1	-1	242	75			
13	524	29	-1	0	0	32	30	62	18	马承倩		完美的灰熊皮	-1	-1	-1	260	88			
14	530	30	-1	0	0	45	43	75	19	曲端		红寡妇	-1	-1	-1	232	192			
15	532	30	-1	0	0	45	43	75	19	曲端		红铁爪	-1	-1	-1	232	192			
16	600	37	-1	0	0	55	53	85	26	郑玄		过冬的准备	-1	-1	-1	183	164			
17	541	31	-1	0	0	60	58	90	20	阮老太太		黑蜂刺	-1	-1	-1	190	200			
18	544	31	-1	0	0	62	60	92	20	萧蔷		白马青牛	542	543	-1	164	158			
19	546	31	-1	0	0	62	60	92	20	萧蔷		勇气	545	-1	-1	164	158			
20	583	36	-1	0	0	25	23	55	24	刀琅玕		寻找草药	-1	-1	-1	57	73			
21	588	36	-1	0	0	30	28	60	24	萨宁		被缚的萨宁	-1	-1	-1	96	126			
22	591	35	-1	0	0	40	38	70	25	萨都		粮食的故事	-1	-1	-1	195	113			
23	593	35	-1	0	0	43	41	73	25	萨桑		神明的指示	-1	-1	-1	202	108			
24	667	43	-1	0	0	53	51	83	32	水仙		斩草除根	664	665	666	205	44			
25	656	42	-1	0	0	38	36	68	31	阿青		凡心似蝶	655	-1	-1	51	115			
