INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
3000	Th¯ TØ Trß·ng Thành	#BHUy«n Võ Ðäo#{_INFOAIM130, 86, 112, -1}#W	68	10000	10000	1250	500	361	1000	1000	1000	1000	1000	1000	500	361
3001	Th¯ TØ Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM130, 86, 112, -1}#W	100	0	0	0	0	0	1000	1000	1000	1000	1000	1000	0	0
3009	Th¯ TØ Bäo Bäo	#BHUy«n Võ Ðäo#{_INFOAIM130, 86, 112, -1}#W	250	0	0	0	0	0	1000	1000	1000	1000	1000	1000	0	0
3010	Yên TØ Trß·ng Thành	#BHUy«n Võ Ðäo#{_INFOAIM54, 65, 112, -1}#W	34	0	0	1250	500	357	1000	1000	1000	1000	1000	1000	500	357
3011	Yên TØ Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM54, 65, 112, -1}#W	50	0	0	0	0	0	1000	1000	1000	1000	1000	1000	0	0
3019	Yên TØ Bäo Bäo	#BHUy«n Võ Ðäo#{_INFOAIM54, 65, 112, -1}#W	250	0	0	0	0	0	1000	1000	1000	1000	1000	1000	0	0
3020	Ô Quân Trß·ng Thành	#BHUy«n Võ Ðäo#{_INFOAIM169, 66, 112, -1}#W	34	0	0	0	0	0	1000	1000	1000	1000	1000	1000	0	0
3021	Ô Quân Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM169, 66, 112, -1}#W	50	0	0	0	0	0	1000	1000	1000	1000	1000	1000	0	0
3029	Ô Quân Bäo Bäo	#BHUy«n Võ Ðäo#{_INFOAIM169, 66, 112, -1}#W	250	0	0	0	0	0	1000	1000	1000	1000	1000	1000	0	0
3030	C¦u Trß·ng Thành	#BHUy«n Võ Ðäo#{_INFOAIM234, 57, 112, -1}#W	68	0	0	1250	500	357	1000	1000	1000	1000	1000	1000	500	357
3031	C¦u Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM234, 57, 112, -1}#W	100	0	0	0	0	0	0	0	0	0	0	0	0	0
3039	C¦u Bäo Bäo	#BHUy«n Võ Ðäo#{_INFOAIM234, 57, 112, -1}#W	250	0	0	0	0	0	0	0	0	0	0	0	0	0
3040	Si V¸ Trß·ng Thành	#BHUy«n Võ Ðäo#{_INFOAIM139, 111, 112, -1}#W	34	0	0	1250	500	357	0	0	0	0	0	0	500	357
3041	Si V¸ Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM139, 111, 112, -1}#W	50	0	0	0	0	0	0	0	0	0	0	0	0	0
3049	Si V¸ Bäo Bäo	#BHUy«n Võ Ðäo#{_INFOAIM139, 111, 112, -1}#W	250	0	0	0	0	0	0	0	0	0	0	0	0	0
3050	H¥u TØ Trß·ng Thành	#BHUy«n Võ Ðäo#{_INFOAIM203, 69, 112, -1}#W	34	0	0	1250	500	357	0	0	0	0	0	0	500	357
3051	H¥u TØ Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM203, 69, 112, -1}#W	50	0	0	0	0	0	0	0	0	0	0	0	0	0
3059	H¥u TØ Bäo Bäo	#BHUy«n Võ Ðäo#{_INFOAIM203, 69, 112, -1}#W	250	0	0	0	0	0	0	0	0	0	0	0	0	0
3060	Tùng ThØ Trß·ng Thành	#BHUy«n Võ Ðäo#{_INFOAIM175, 128, 112, -1}#W	36	0	0	1250	500	357	0	0	0	0	0	0	500	357
3061	Tùng ThØ Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM175, 128, 112, -1}#W	25	0	0	0	0	0	0	0	0	0	0	0	0	0
3062	Tùng ThØ Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM175, 128, 112, -1}#W	25	0	0	0	0	0	0	0	0	0	0	0	0	0
3069	Tùng ThØ Bäo Bäo	#BHUy«n Võ Ðäo#{_INFOAIM175, 128, 112, -1}#W	250	0	0	0	0	0	0	0	0	0	0	0	0	0
3070	Cán Hùng Trß·ng Thành	#BHUy«n Võ Ðäo#{_INFOAIM115, 122, 112, -1}#W	34	0	0	1250	500	357	0	0	0	0	0	0	500	357
3071	Cán Hùng Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM115, 122, 112, -1}#W	25	0	0	0	0	0	0	0	0	0	0	0	0	0
3072	Cán Hùng Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM115, 122, 112, -1}#W	25	0	0	0	0	0	0	0	0	0	0	0	0	0
3079	Cán Hùng Bäo Bäo	#BHUy«n Võ Ðäo#{_INFOAIM115, 122, 112, -1}#W	250	0	0	0	0	0	0	0	0	0	0	0	0	0
3080	Anh Vû Trß·ng Thành	#BHUy«n Võ Ðäo#{_INFOAIM153, 157, 112, -1}#W	34	0	0	1250	500	357	0	0	0	0	0	0	500	357
3081	Anh Vû Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM153, 157, 112, -1}#W	25	0	0	0	0	0	0	0	0	0	0	0	0	0
3082	Anh Vû Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM153, 157, 112, -1}#W	25	0	0	0	0	0	0	0	0	0	0	0	0	0
3089	Anh Vû Bäo Bäo	#BHUy«n Võ Ðäo#{_INFOAIM153, 157, 112, -1}#W	250	0	0	0	0	0	0	0	0	0	0	0	0	0
3090	Tích D¸ch Trß·ng Thành	#BHUy«n Võ Ðäo#{_INFOAIM101, 155, 112, -1}#W	34	0	0	0	500	357	0	0	0	0	0	0	500	357
3091	Tích D¸ch Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM101, 155, 112, -1}#W	25	0	0	0	0	0	0	0	0	0	0	0	0	0
3092	Tích D¸ch Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM101, 155, 112, -1}#W	25	0	0	0	0	0	0	0	0	0	0	0	0	0
3099	Tích D¸ch Bäo Bäo	#BHUy«n Võ Ðäo#{_INFOAIM101, 155, 112, -1}#W	250	0	0	0	0	0	0	0	0	0	0	0	0	0
3100	Biên BÑc Trß·ng Thành	#BHUy«n Võ Ðäo#{_INFOAIM228, 166, 112, -1}#W	34	0	0	0	500	357	0	0	0	0	0	0	500	357
3101	Biên BÑc Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM228, 166, 112, -1}#W	25	0	0	0	0	0	0	0	0	0	0	0	0	0
3102	Biên BÑc Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM228, 166, 112, -1}#W	25	0	0	0	0	0	0	0	0	0	0	0	0	0
3109	Bi¬n BÑc Bäo Bäo	#BHUy«n Võ Ðäo#{_INFOAIM228, 166, 112, -1}#W	250	0	0	0	0	0	0	0	0	0	0	0	0	0
3110	ÐÕi Ðß¶ng Lang Trß·ng Thành	#BHUy«n Võ Ðäo#{_INFOAIM59, 151, 112, -1}#W	68	0	0	0	500	357	0	0	0	0	0	0	500	357
3111	ÐÕi Ðß¶ng Lang Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM59, 151, 112, -1}#W	50	0	0	0	0	0	0	0	0	0	0	0	0	0
3112	ÐÕi Ðß¶ng Lang Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM59, 151, 112, -1}#W	50	0	0	0	0	0	0	0	0	0	0	0	0	0
3119	Ðß¶ng Lang Bäo Bäo	#BHUy«n Võ Ðäo#{_INFOAIM59, 151, 112, -1}#W	250	0	0	0	0	0	0	0	0	0	0	0	0	0
3120	NgÕc Ngß Trß·ng Thành	#BHUy«n Võ Ðäo#{_INFOAIM68, 112, 112, -1}#W	68	0	0	0	500	357	0	0	0	0	0	0	500	357
3121	NgÕc Ngß Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM68, 112, 112, -1}#W	50	0	0	0	0	0	0	0	0	0	0	0	0	0
3122	NgÕc Ngß Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM68, 112, 112, -1}#W	50	0	0	0	0	0	0	0	0	0	0	0	0	0
3129	NgÕc Ngß Bäo Bäo	#BHUy«n Võ Ðäo#{_INFOAIM68, 112, 112, -1}#W	250	0	0	0	0	0	0	0	0	0	0	0	0	0
3130	Miêu Ð¥u ¿ng Trß·ng Thành	#BHUy«n Võ Ðäo#{_INFOAIM61, 218, 112, -1}#W	34	0	0	0	500	357	0	0	0	0	0	0	500	357
3131	Miêu Ð¥u ¿ng Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM61, 218, 112, -1}#W	16	0	0	0	0	0	0	0	0	0	0	0	0	0
3132	Miêu Ð¥u ¿ng Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM61, 218, 112, -1}#W	16	0	0	0	0	0	0	0	0	0	0	0	0	0
3133	Miêu Ð¥u ¿ng Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM61, 218, 112, -1}#W	16	0	0	0	0	0	0	0	0	0	0	0	0	0
3139	Miêu Ð¥u ¿ng Bäo Bäo	#BHUy«n Võ Ðäo#{_INFOAIM61, 218, 112, -1}#W	250	0	0	0	0	0	0	0	0	0	0	0	0	0
3140	Hoan Trß·ng Thành	#BHUy«n Võ Ðäo#{_INFOAIM62, 256, 112, -1}#W	36	0	0	0	500	357	0	0	0	0	0	0	500	357
3141	Hoan Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM62, 256, 112, -1}#W	16	0	0	0	0	0	0	0	0	0	0	0	0	0
3142	Hoan Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM62, 256, 112, -1}#W	16	0	0	0	0	0	0	0	0	0	0	0	0	0
3143	Hoan Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM62, 256, 112, -1}#W	16	0	0	0	0	0	0	0	0	0	0	0	0	0
3149	Ch°n Bäo Bäo	#BHUy«n Võ Ðäo#{_INFOAIM62, 256, 112, -1}#W	250	0	0	0	0	0	0	0	0	0	0	0	0	0
3150	Lão H± Trß·ng Thành	#BHUy«n Võ Ðäo#{_INFOAIM96, 254, 112, -1}#W	136	0	0	0	500	357	0	0	0	0	0	0	500	357
3151	Lão H± Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM96, 254, 112, -1}#W	64	0	0	0	0	0	0	0	0	0	0	0	0	0
