INT	INT	INT	INT	STRING	STRING	INT	STRING	STRING	STRING	STRING
INT	INT	INT	INT	STRING	STRING	INT	STRING	STRING	STRING	STRING
0	1	4	492	Làm thay	Cát Quang Bµi	6	[240&173]			
1	3	6	493	N÷c Ong	Can Quang Hào	6	[241&181]			
2	5	8	503	Chìa Khóa Bäo Tàng Màu H°ng	Th¶i MÕi	7	[263&201]			
3	5	8	504	Chìa Khóa Bäo Tàng Màu Vàng	Th¶i MÕi	7	[263&201]			
4	5	8	505	Chìa Khóa Bäo Tàng Màu Xanh	Th¶i MÕi	7	[263&201]			
5	13	16	515	Giáp kích	Chu Vß½ng L­	8	[63&81]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích nghî cách cÑu vi®n nhi®m vø m¾i có th¬.		
6	18	21	465	Ngß¶i c·i chuông	Løc Ngßng Sß½ng	3	[181&81]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích t× ch¯i nhi®m vø m¾i có th¬.		
7	18	21	466	D¤u vªt không rõ	Løc Ngßng Sß½ng	3	[181&81]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Giäi Linh Nhân nhi®m vø m¾i có th¬.		
8	20	23	469	Tung Dß½ng ÐoÕn Trß¶ng Thäo	Løc Tùng	3	[182&81]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Kim Ti Hß½ng Nang nhi®m vø m¾i có th¬.		
9	23	26	645	ÐoÕn Ki«u Hoa Yêu	Tô Phi	30	[164&262]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Tu La Thu§t nhi®m vø m¾i có th¬.		
10	23	26	646	BÕch Ðê Li­u QuÖ	Tô Phi	30	[164&262]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Tu La Thu§t nhi®m vø m¾i có th¬.		
11	23	26	647	Quy Phong Trang	Tô Phi	30	[164&262]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Tu La Thu§t nhi®m vø m¾i có th¬.		
12	30	33	522	Bí m§t liên lÕc	Chüng Thª Hoành	18	[242&75]			
13	32	35	524	Hoàn MÛ Khôi Hùng Bì	Mã Th×a Sänh	18	[260&88]			
