INT	STRING
INT	STRING
50009	Ği tìm#GĞ?i Hoàng#WĞích#RDß½ng Vån Quäng#W#{_INFOAIM252, 144, 8, Dß½ng Vån Quäng}tß¾ng quân.
50010	Ğánh chªt Nh¤t Ph¦m Ğß¶ng Ğích cao thü Ho£c ğ¥u møc.
50018	TÕi#GD? Tây H° lòng ta Tßşng „n Ğình#W#{_INFOAIM271, 185, 164, -1}châm ngòi'#YTrung Thu Khoái LÕc#W'.
50019	TÕi#GD? Tây H° lòng ta Tßşng „n Ğình#W#{_INFOAIM271, 185, 164, -1}châm ngòi'#YQu¯c Khánh Khoái LÕc#W'.
50061	Mua ğ° ån hàng tªt.
50072	Ği tìm#GĞ?i Lı#{_INFOAIM160, 157, 2, Tri®u Thiên Sß}#RTri®u Thiên Sß#Whöi mµt chút tình hu¯ng.
50073	Tìm ğßşc#GĞ?i Lı#{_INFOAIM265, 129, 2, Vân Phiêu Phiêu}#RVân Phiêu Phiêu#W, T¿¾ng#YTri®u Thiên Sß Ğích Thß Tín#Wgiao cho Tha.
50074	Tìm ğßşc#GTÔ Châu#{_INFOAIM87, 140, 1, Ngäi H±}#RNgäi H±#W, T¿¾ng#YVân Phiêu Phiêu Ğích tranh v¨#Wcho h¡n.
50075	Ğáo#GHUy«n Võ Ğäo#WC¤p#RNgäi H±#WTróc Nh¤t Chích#RTrân Thú#Wmang v« Lai, ho£c là trñc tiªp T¯ng Tha mµt cái#Gtân niên ti«n lì xì#W.
50076	Ği tìm#GĞ?i Lı#{_INFOAIM160, 108, 2, Long Ti¬u Soái}#RLong Ti¬u Soái#W, T¿¾ng#YNgäi H± Ğích Ğ¸a Ğ°#Wgiao cho Tha.
50077	L§p tÑc ği trß¾c#GĞ?i Lı#{_INFOAIM270, 270, 2, Th¯ Ti¬u Thông}#GNg÷c Nh¸ HÕng#Wtìm ğßşc#RTh¯ Ti¬u Thông#Whi¬u biªt manh m¯i, sau ğó phän h°i#GĞÕi Lı#{_INFOAIM160, 108, 2, Long Ti¬u Soái}#RLong Ti¬u Soái#WXØ.
50078	Cån cÑ#GnHi®m vø ğÕo cø Lan#WTrung Ğích#Ym£t nÕ Ğích chï dçn#Wtruy tung manh m¯i, hoàn thành H§u h°i phøc#GĞÕi Lı#{_INFOAIM160, 108, 2, Long Ti¬u Soái}#RLong Ti¬u Soái#W.
50100	#RTI«n H°ng Vû#W#{_INFOAIM62, 162, 1, Ti«n H°ng Vû}cho ngß½i TÕi#Y30Phút#WNµi giªt chªt#RDß Ğµc#W.
50101	#RHOa Kiªm Vû#W#{_INFOAIM251, 108, 1, Hoa Kiªm Vû}cho ngß½i giªt chªt 80Chích#RDã Hùng#WHoà#RH°ng Hùng Vß½ng#W.
50102	#RTI«n H°ng Vû#W#{_INFOAIM62, 162, 1, Ti«n H°ng Vû}cho ngß½i giªt chªt trùm th± phï#RCát Vinh#W.
50220	30Phút Nµi tiêu di®t Huy«n Lôi Pha t¤t cä th± phï Hoà Vß½ng Diêm, ğoÕt lÕi#YHOàng Kim Chi Li®m#W.
50221	30Phút Nµi tiêu di®t t¤t cä quái v§t Hoà H°ng CÑc Yêu Vß½ng, Tính tìm ğßşc#YHUy«n Ph§t Châu#W.
50222	30Phút Nµi tiêu di®t Dung Nham Chi Ğ¸a Trung Ğích Hoä Di®m Yêu Ma.
