INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	STRING	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	STRING	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1010000	491	17	0	1	0	0	240	179	L¤y v§t li®u tÕi ch²	#{MIS_TAR_ADD_013}	#{Mis_S_Wuliang_1010000}	1	#{RW_20080317_02}	#{RW_20080317_03}	6	Mã Ngû ÐÑc	6	Tä TØ Møc	6	Tä TØ Møc	0		1	-1	-1	-1	0	120	600	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002093	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010001	498	17	0	1	0	0	252	154	Bao vây Ðôn Hoàng	#{MIS_TAR_ADD_014}	#{Mis_S_Wuliang_1010001}	1	#{RW_20080317_02}	#{RW_20080317_04}	6	Tân Song Thanh	8	Dß½ng Vån Quäng	8	Dß½ng Vån Quäng	0		9	-1	-1	-1	0	205	900	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002094	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010010	502	18	0	1	0	0	263	201	Võ H¥u T×	#{MIS_TAR_ADD_016}	#{Mis_S_Jiange_1010010}	0		#{RW_20080317_05}	7	Khß½ng Quª Chi	7	Th¶i MÕi	7	Th¶i MÕi	0		1	-1	-1	-1	0	85	7200	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010011	507	18	0	1	0	0	279	194	Tam phân thiên hÕ	#{MIS_TAR_ADD_017}	#{Mis_S_Jiange_1010011}	1	#{RW_20080317_02}	#{RW_20080317_06}	7	Th¶i MÕi	7	Th¶i Thiên	7	Th¶i Thiên	0		8	503	504	505	0	65	1980	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10413061	1	10410061	1	10422101	1	0	0	0	0	0	0	0	0	0	0	1	40002106	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010012	509	18	0	1	0	0	252	154	CÑu vi®n	#{MIS_TAR_ADD_018}	#{Mis_S_Jiange_1010012}	1	#{RW_20080317_02}	#{RW_20080317_07}	7	Khß½ng Quª Chi	8	Dß½ng Vån Quäng	8	Dß½ng Vån Quäng	0		10	508	-1	-1	0	105	900	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002133	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010020	511	19	0	1	0	0	63	90	Mông Tr¥n	#{MIS_TAR_ADD_020}	#{Mis_S_DunHuang_1010020}	1	#{RW_20080317_02}	#{RW_20080317_08}	8	H°i C¯t Vß½ng Næ	8	Tri®u Hành ÐÑc	8	Tri®u Hành ÐÑc	0		10	900	-1	-1	0	132	3360	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002134	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1010021	6	-1	-1
1010021	514	19	0	1	0	0	63	81	Nghî cách cÑu vi®n	#{MIS_TAR_ADD_021}	#{Mis_S_DunHuang_1010021}	0		#{RW_20080317_09}	8	Tri®u Hành ÐÑc	8	Chu Vß½ng L­	8	Chu Vß½ng L­	0		13	511	-1	-1	0	114	4252	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1009400	6	-1	-1
1010022	516	19	0	1	0	0	63	81	Quay tr· lÕi	#{MIS_TAR_ADD_022}	#{Mis_S_DunHuang_1010022}	0		#{RW_20080317_10}	8	Dß½ng Vån Quäng	8	Chu Vß½ng L­	8	Chu Vß½ng L­	0		13	515	-1	-1	0	200	5628	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10410062	1	10400061	1	10411068	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010023	518	19	0	1	0	0	55	63	Chiªn tranh	#{MIS_TAR_ADD_023}	#{Mis_S_DunHuang_1010023}	0		#{RW_20080317_11}	8	Chu Vß½ng L­	8	Tào Diên Hu®	8	Tào Diên Hu®	0		18	-1	-1	-1	0	82	2856	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10413062	1	10403062	1	10421062	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1010321	6	-1	-1
