INT	INT	INT	STRING	INT	STRING	STRING	STRING	STRING	STRING
INT	INT	INT	STRING	INT	STRING	STRING	STRING	STRING	STRING
1	1040000	6	Can Quang Hào	1	Ta là Can Quang Hào, ðây là Ngã Ði«n Nh§p Bi¬u Trung Ðích Khuyªt Tïnh ð¯i bÕch, có hi®u lñc Li­u Nga! !				
2	1040001	6	Cát Quang Bµi	1					
3	1040002	6	Mã Ngû ÐÑc	1					
4	1040003	6	Vß½ng Khuê	1					
5	1040004	6	Vß½ng Ti¬u Nha	1					
6	1040005	6	Vô lßþng ð® tØ	1					
7	1040006	6	Tân Song Thanh	1					
8	1040007	6	Tiªt ðÕi nß½ng	1					
9	1040008	6	Tiªt V§n Lai	1					
10	1040009	6	Tä TØ Møc	1					
11	1040010	6	Chung Linh	1					
12	1040011	12	NPC12	1					
13	222345	13	NPC13	1					
14	222346	14	NPC14	1					
15	222347	15	NPC15	1					
16	222348	16	NPC16	1					
