INT	STRING	FLOAT	FLOAT
INT	STRING	FLOAT	FLOAT
0	Cam ch¸u(phäi Hæu Giá Hành)	0.95	5.4
1	Næ di­n viên	0.95	5.4
2	Næ di­n viên(Ğ¥u)	1.6	1.3
3	Nam di­n viên	1	6
4	Nam di­n viên(Ğ¥u)	1.8	1.6
5	Süng v§t: Miêu	0.3	3.05
6	Süng v§t: Th¯	0.4	3.25
7	Süng v§t: Kê	0.3	2.9
8	Süng v§t: C¦u	0.3	3.35
9	Süng v§t: S½n dß½ng	0.4	3.45
10	Süng v§t: V¸ chªt	0.3	3.15
11	Süng v§t: Trß	0.4	3.7
12	Süng v§t: Nga	0.5	4.3
13	Süng v§t: Con l×a	0.6	5.1
14	Süng v§t: Oa	0.3	3.6
15	Süng v§t: H¥u TØ	0.4	4.75
16	Süng v§t: Quân	0.3	3.6
17	Süng v§t: Biên BÑc	0.75	4.15
18	Süng v§t: Tùng ThØ	0.55	4.8
19	Süng v§t: Tích D¸ch	0.25	3.8
20	Süng v§t: Yên TØ	0.65	4.75
21	Süng v§t: Si V¸	0.5	5
22	Süng v§t: Cán Hùng	0.3	3.1
23	Süng v§t: Miêu Ğ¥u ¿ng	1.15	4.75
24	Süng v§t: Anh Vû	0.7	4.6
25	Süng v§t: Dã Trß	0.65	5.65
26	Süng v§t: Bång Tàm	1	7.45
27	Süng v§t: ¿ng	0.65	6
28	Süng v§t: Bác Mã	0.85	7.5
29	Süng v§t: Tuyªt Ğiêu	0.65	6.55
30	Süng v§t: Kh±ng Tß¾c	0.7	7.15
31	Süng v§t: Hoan	0.5	4.45
32	Süng v§t: Tê Ngßu	0.7	7.5
33	Süng v§t: Ti¬u Tßşng	0.65	7.85
34	Süng v§t: Hoàng Ği¬u	0.95	6.35
35	Süng v§t: Niên Thú	0.85	9.95
36	Süng v§t: Long Quân	0.6	7.3
37	Süng v§t: Anh Chiêu	0.8	9.5
38	Süng v§t: KÏ Lân	1.15	9.95
39	Süng v§t: Giao long	2.45	13.35
40	T÷a kÜ: H±	0.4	6.25
41	T÷a kÜ: Hoàng Phiêu Mã	0.9	7.4
42	T÷a kÜ: Khôi Lang	0.9	7.05
43	T÷a kÜ: Ğiêu	3.1	8.25
44	T÷a kÜ: Lµc	1.15	8
45	T÷a kÜ: HÕc	2.55	11.9
46	T÷a kÜ: Thanh Phßşng	2.8	15
47	T÷a kÜ: LÕc Ğà	1.05	7.91
48	T÷a kÜ: Mao Ngßu	1	7.35
49	T÷a kÜ: BÕch H±	0.5	6.1
50	T÷a kÜ: Thanh BÕch Thông Mã	1.75	10.8
51	T÷a kÜ: BÕch Lang	0.6	6.4
52	T÷a kÜ: BÕch Ğiêu	3	10
53	T÷a kÜ: BÕch Lµc	1.5	9
54	T÷a kÜ: Kim Dñc HÕc	2.75	12.3
55	T÷a kÜ: H°ng BÕch Phøng	3.05	14.5
56	T÷a kÜ: BÕch LÕc Ğà	1.1	7.91
57	T÷a kÜ: BÕch Mao Ngßu	1.05	8.95
58	Süng v§t: Chim cánh cøt	0.6	6
59	Süng v§t: Bá Vß½ng Long	0.9	8.1
60	Süng v§t: Ch°n bÕc	0.6	6.3
61	Süng v§t: B¡c Cñc Hùng	0.55	5.4
62	Süng v§t: Báo	0.6	6
63	Süng v§t: NgÕc Ngß	0.5	6.6
64	Süng v§t: H±	0.7	6.3
65	Süng v§t: Lang	0.55	5.4
66	Süng v§t: ĞÕi Ğß¶ng Lang	0.6	5.4
67	Süng v§t: ĞÕi Tinh Tinh	0.7	6.3
68	Süng v§t: ĞÕi ThØ	0.85	7.8
69	Süng v§t: Kiªm Xï H±	0.65	6.6
70	Süng v§t: Kiªm Long	0.8	9.6
71	Süng v§t: Ğà Ği¬u	1	8.4
72	Süng v§t: Thú mö v¸t	0.55	5
73	Süng v§t: Huy«n Dñc Thú	0.55	6.5
74	T÷a kÜ: Thiên sÑ cánh	2.4	7
75	Süng v§t: ĞÕi Giáp Trùng	0.5	4.75
76	Süng v§t: Con bß¾m	1.85	7
77	Süng v§t: Con cua	0.4	4
78	Süng v§t: Long Miêu	0.5	4.3
