INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
怪物编号	名称$1$	怪物性别	等级	基础经验获得	友好值	休闲间隔时间	基础AI	扩展AI	阵营	掉落分配半径(米)	掉落最大有效组	最小伤血百分比	是否可以交互	BOSS标记	物理攻击	物理防御	魔法攻击	魔法防御	HP上限	MP上限	HP回复	MP回复	命中率	闪避	会心率	会心防御	移动速度	步行速度	攻击速度	冰攻击	冰防御	降低目标冰抵抗	火攻击	火防御	降低目标火抵抗	电攻击	电防御	降低目标玄抵抗	毒攻击	毒防御	降低目标毒抵抗	瞬时效果免疫ID	持续效果免疫ID	外型ID	是否显示头顶信息板	转向模式	名字板高度	选中环大小	阴影大小	人物头像	攻击动作时间	攻击冷却时间	MaxLv	MaxExp	MaxAtt	MaxDef	MaxMag	MaxRes	MaxHP	是否在小地图上显示	势力ID	攻击特性ID	是否攻击NPC	是否播放融合，闪避，搁挡动作	外观类型	强度类型	交互方式	激活时间	战斗方式	交互技能ID
0	段誉	1	120	2023	0	10	3	-1	8	20	1	0.1	1	0	4174	1568	4174	1568	32384	3795	0	0	2431	231	10	10	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	12	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_3	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	15	10	0	0	2	1	0	0	0	-1
1	萧峰	1	120	2023	0	10	3	-1	8	20	1	0.1	1	0	4174	1568	4174	1568	32384	3795	0	0	2431	231	10	10	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	57	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	13	10	0	0	2	1	0	0	0	-1
2	虚竹	1	120	2023	0	10	3	-1	8	20	1	0.1	1	0	4174	1568	4174	1568	32384	3795	0	0	2431	231	10	10	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	226	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_1	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	8	10	0	0	2	1	0	0	0	-1
4	慕容复	1	114	1926	0	10	3	-1	8	20	1	0.1	1	0	3966	1490	3966	1490	30771	3606	0	0	2310	220	10	10	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	118	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_5	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	2	1	0	0	0	-1
5	阿朱	1	25	243	0	10	3	-1	8	20	1	0.1	1	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	121	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_11	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	2	1	0	0	0	-1
6	阿紫	1	25	243	0	10	3	-1	8	20	1	0.1	1	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	95	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_10	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	6	10	0	0	2	1	0	0	0	-1
7	游坦之	1	105	1765	0	10	3	-1	8	20	1	0.1	1	0	3654	1373	3654	1373	26580	3322	0	0	2129	202	9	9	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	72	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_4	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	2	1	0	0	0	-1
8	丁春秋	1	109	1830	0	10	3	-1	8	20	1	0.1	1	0	3793	1425	3793	1425	27588	3448	0	0	2210	210	9	9	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	11	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_5	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	6	10	0	0	2	1	0	0	0	-1
9	段正明	1	120	2023	0	10	3	-1	8	20	1	0.1	1	0	4174	1568	4174	1568	32384	3795	0	0	2431	231	10	10	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	125	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_6	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	15	10	0	0	2	1	0	0	0	-1
10	段正淳	1	81	1326	0	10	3	-1	8	20	1	0.1	1	0	2371	1060	2371	1060	17794	2566	0	0	1645	156	7	7	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	124	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_7	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	15	10	0	0	2	1	0	0	0	-1
11	苏轼	1	55	708	0	10	3	-1	8	20	1	0.1	1	0	1614	722	1614	722	9320	1747	0	0	784	106	5	5	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	117	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	10	10	0	0	2	1	0	0	0	-1
12	王安石	1	58	744	0	10	3	-1	8	20	1	0.1	1	0	1702	761	1702	761	9824	1842	0	0	827	112	5	5	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	116	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_9	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	10	10	0	0	2	1	0	0	0	-1
14	韩世忠	1	94	1564	0	10	3	-1	8	20	1	0.1	1	0	3011	1230	3011	1230	22220	2976	0	0	1907	181	8	8	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	131	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_11	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	6	10	0	0	2	1	0	0	0	-1
