INT	INT	INT	INT	STRING	STRING	INT	STRING	STRING	STRING
INT	INT	INT	INT	STRING	STRING	INT	STRING	STRING	STRING
0	1	4	0	Cao S½n BÕch Viên(1-C¤p 2)	91&153	6	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
1	1	4	0	Thøc ÐÕo BÕch Viên(1-C¤p 2)	65&252	7	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
2	1	6	0	ÐÕi Hoàng Phong(3-C¤p 4)	54&250	6	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
3	1	6	0	Thøc ÐÕo H¡c Viên(3-C¤p 4)	67&133	7	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
4	2	8	0	Thi¬m Ði®n Báo(5-C¤p 6)	164&70	6	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
5	2	8	0	BÕch Mao Thäo Nhân(5-C¤p 6)	197&216	7	#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
6	4	10	0	S½n Thù(7-C¤p 8)	108&190	6	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
7	4	10	0	QuÖ Di®n Thù Nho(7-C¤p 8)	209&146	7	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
8	6	12	0	Du Mµc ‘i LuÛ(9-C¤p 10)	223&216	8	#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
9	6	12	0	Du Mµc ‘i LuÛ(9-C¤p 10)	223&216	8	#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
10	8	14	0	Phøc Thù ºa H¥u(11-C¤p 13 bän sao Quái)	92&152	10	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
11	8	14	0	Sa Pha Lang(11-C¤p 12)	250&182	8	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
12	9	15	0	Tàn Phá Binh Dõng(12-C¤p 13)	157&184	8	#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
13	10	16	0	Hoang Nguyên Báo(13-C¤p 14)	171&101	8	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
14	11	17	0	Cß¶ng Tráng ºa H¥u(14-C¤p 16 bän sao Quái)	53&109	10	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
15	12	18	0	ºa Viên(15-C¤p 16)	64&98	3	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
16	12	18	0	ÐÕo MÕc Ti¬u T£c(17-C¤p 18)	38&82	166	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
17	12	18	0	ºa Viên(15-C¤p 16)	64&98	3	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
18	13	19	0	BÕch NgÕch H±(16-C¤p 17)	50&179	3	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
19	14	20	0	D¸ Khí Mµc Nhân(17-C¤p 18)	89&74	3	#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
20	14	20	0	Tinh Tráng ºa H¥u(17-C¤p 20 bän sao Quái)	91&102	10	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
21	15	21	0	Sa MÕc Mã Phï(14-C¤p 15)	101&140	169	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
22	15	21	0	Dînh ThuÖ Lang(18-C¤p 19)	196&193	3	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
23	15	21	0	Sa MÕc Mã Phï(14-C¤p 15)	101&140	169	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
24	16	22	0	D¸ Khí Ð°ng Nhân(19-C¤p 20)	246&239	3	#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
25	17	23	0	Hoa Cäng Ðµc Phong(20-C¤p 21)	86&53	30	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
26	17	23	0	Lô Nhai Ð°ng Nhân(20-C¤p 21)	280&202	3	#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
27	18	24	0	Nga Mi BÕch Mi ºa Viên(21-C¤p 23)	137&153	15	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
28	18	24	0	Hµ Bäo Ð°ng Nhân(23-C¤p 24)	94&69	191	#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
29	18	24	0	ThuÖ QuÖ Thám TØ(21-C¤p 22)	200&133	30	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
30	19	25	0	ÐoÕn Ki«u Hoa Yêu(22-C¤p 23)	242&121	30	#rB±n quái v§t thuµc loÕi Yêu Hình Quái, Tha Hµi r½i xu¯ng v§t ph¦m trang sÑc tài li®u, thu¯c tài li®u.		
31	20	26	0	BÕch Ðê Li­u QuÖ(23-C¤p 24)	101&221	30	#rB±n quái v§t thuµc loÕi Yêu Hình Quái, Tha Hµi r½i xu¯ng v§t ph¦m trang sÑc tài li®u, thu¯c tài li®u.		
32	21	27	0	T¥m Bäo Hào Ki®t(26-C¤p 27)	179&239	192	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
33	21	27	0	Nga Mi Lþi Träo ºa Viên(24-C¤p 26)	144&39	15	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
34	21	27	0	Quy Phong Trang Trang Khách(24-C¤p 25)	72&191	30	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
35	22	28	0	Hoa Ban Báo(25-C¤p 26)	225&77	24	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
36	22	28	0	Long Tïnh ThuÖ T£c(25-C¤p 26)	241&251	30	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
37	23	29	0	Xích Cß¾c Dã Nhân(26-C¤p 27)	153&127	24	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
38	24	30	0	Lang Tµc Thám TØ(27-C¤p 28)	229&146	24	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
39	24	30	0	Nga Mi Hung Nao(27-C¤p 30)	58&151	15	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
