INT	STRING	STRING	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT
INT	STRING	STRING	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT
320301	Tung S½n tinh anh quái v§t	[ð¥u møc]ºa Viên	4	64	98	0	58	105	0	86	138	0	92	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320302	Tung S½n tinh anh quái v§t	[ð¥u møc]BÕch NgÕch H±	4	50	179	0	56	216	0	86	199	0	109	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320303	Tung S½n tinh anh quái v§t	[ð¥u møc]D¸ Khí Mµc Nhân	4	89	74	0	77	67	0	104	41	0	124	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320304	Tung S½n tinh anh quái v§t	[ð¥u møc]Dînh ThuÖ Lang	4	196	193	0	166	157	0	129	199	0	173	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320305	Tung S½n tinh anh quái v§t	[ð¥u møc]D¸ Khí Ð°ng Nhân	4	246	239	0	237	274	0	207	260	0	239	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320306	Tung S½n tinh anh quái v§t	[ð¥u møc]Lô Nhai Ð°ng Nhân	4	280	202	0	255	214	0	278	233	0	258	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320601	Vô Lßþng S½n tinh anh quái v§t	[thü lînh]Cao S½n BÕch Viên	2	91	153	0	66	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320602	Vô Lßþng S½n tinh anh quái v§t	[thü lînh]ÐÕi Hoàng Phong	2	54	250	0	58	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320603	Vô Lßþng S½n tinh anh quái v§t	[thü lînh]Thi¬m Ði®n Báo	2	164	70	0	154	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320604	Vô Lßþng S½n tinh anh quái v§t	[thü lînh]S½n Thù	2	108	190	0	152	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320605	Vô Lßþng S½n cøc cßng quái v§t	[ð¥u møc]Cao S½n BÕch Viên	2	91	153	0	66	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320606	Vô Lßþng S½n cøc cßng quái v§t	[ð¥u møc]ÐÕi Hoàng Phong	2	54	250	0	58	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320607	Vô Lßþng S½n cøc cßng quái v§t	[ð¥u møc]Thi¬m Ði®n Báo	2	164	70	0	154	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
