INT	STRING	STRING	STRING	INT	INT	INT	INT
INT	STRING	STRING	STRING	INT	INT	INT	INT
0	Ð£c thù cß¶ng ði®u Hình		MsgBall_BigInfo	37	60000	-1	-1
1	Ngß¶i ch½i lçn nhau Hình		MsgBall_Interact	37	30000	-1	-1
2	Bang hµi ð°ng minh Hình		MsgBall_League	37	30000	-1	-1
3	H® th¯ng nêu lên Hình		MsgBall_System	36	30000	-1	-1
4	Thí nghi®m 5	Thí nghi®m Døng Ðích tin tÑc C¥u 5	MessageBallYellow	5	40000	-1	-1
5	Thí nghi®m 6	Thí nghi®m Døng Ðích tin tÑc C¥u 6	MessageBallYellow	6	50000	-1	-1
6	Thí nghi®m 7	Thí nghi®m Døng Ðích tin tÑc C¥u 7	MessageBallRed	7	60000	-1	-1
7	Thí nghi®m 8	Thí nghi®m Døng Ðích tin tÑc C¥u 8	MessageBallRed	8	70000	-1	-1
8	Thí nghi®m 9	Thí nghi®m Døng Ðích tin tÑc C¥u 9	MessageBallRed	9	80000	-1	-1
