INT	INT	INT	STRING	STRING
INT	INT	INT	STRING	STRING
0	1	1	Các\u0020hÕ t¯t thång c¤p	Nhçm th§t là t¯t Hæu#R%S#Wğã Tß¾ng cá nhân c¤p b§c tång lên Chí#Y%sC¤p#W. Các ngß½i là Phü có th¬ sóng vai chiªn ğ¤u Li­u Ni? #r #r#Ghæu tình nêu lên#W: #r c¤p b§c l¾n h½n#Y10C¤p#WĞích ngß¶i ch½i cùng nhau t± ğµi là có th¬ tham gia'Trân Lung KÏ Cøc'. #r c¤p b§c l¾n h½n#Y20C¤p#WĞích ngß¶i ch½i cùng nhau t± ğµi có th¬ tham gia'ğánh lén môn phái', 'T£c Binh xâm l¤n'hoÕt ğµng. #r c¤p b§c l¾n h½n#Y30C¤p#WĞích ngß¶i ch½i cùng nhau t± ğµi có th¬ tham gia'liên hoàn bän sao: Mµt cái cûng không Nång Bào'. #r c¤p b§c l¾n h½n#Y60C¤p#WĞích ngß¶i ch½i cùng nhau t± ğµi có th¬ tham gia'thäo phÕt Yªn TØ ‘'. #r c¤p b§c l¾n h½n#Y75C¤p#WĞích ngß¶i ch½i cùng nhau t± ğµi có th¬ tham gia'Lâu Lan t¥m bäo', 'liên hoàn bän sao: Hoàng Kim Chi Li®m'.
1	1	1	Kiªn Bang l§p phái	Giang h° ğ°n ğãi, Nhçm th§t là t¯t Hæu#R%S#Wthành l§p Li­u#Y%s#Wbang hµi, mµt cái tân sinh Ğích thª lñc ğang · qu§t kh·i. #r #r#Ghæu tình nêu lên#W: #r mu¯n gia nh§p bang hµi Ğích ngß¶i ch½i c¥n Ğáo#GLÕc Dß½ng(140, 95)#RPhÕm Thu¥n Nhân#W, #GTô Châu(224, 184)#RPhÕm Thu¥n Tuı#W, #GĞÕi Lı(182, 118)#RPhÕm Thu¥n L­#WXØ, Ği¬m Kích xem xét bang hµi Li®t Bi¬u; Lña ch÷n mu¯n gia nh§p Ğích bang hµi tên, ğ® trình xin H§u, ch¶ ğşi Cai bang hµi Ğích Quan Viên thông qua xin có th¬ chính thÑc gia nh§p Cai bang hµi Li­u.
2	1	1	Nhö nhoi	TÕi Nhçm th§t là t¯t Hæu#R%S#WĞích dçn d¡t HÕ, bang hµi#Y%s#Wthành công Ğích TÕi#G%s#WTháp Thßşng Li­u bang hµi ğÕi kÏ, thành l§p Li­u chính mình Ğích bang hµi thành th¸. #r #r#Ghæu tình nêu lên#W: #r TÕi bang hµi lãnh ğ¸a Nång mua ğßşc#Y6C¤p#Wğã ngoài(Hàm C¤p 6) Ğích công ngh® bän v¨, ğúc bän v¨, may bän v¨, n¤u nß¾ng sách dÕy n¤u ån Hoà Chª Dßşc phß½ng thu¯c, còn có th¬ h÷c ğßşc tång lên sÑc s¯ng Ğích Cß¶ng Thân Hoà tång lên tinh lñc Ğích ki®n th¬. TÕi bang hµi lãnh ğ¸a Nång nh§n ğßşc kiªn thiªt, khuªch trß½ng, phát tri¬n, công trình, khoa h÷c kÛ thu§t, Th¸ T§p, nghiên cÑu, thß½ng nhân ĞÆng nhi®m vø. Ngß¶i ch½i M²i Chu Nång Thung#Gbang hµi lãnh ğ¸a(134, 50)#RVõ ĞÕi Uy#WXØ lînh Ğáo#G4gi¶#WĞích Song Bµi kinh nghi®m th¶i gian. Nªu thành l§p Li­u Thß½ng Tuyªn, bang hµi Ğích#Gbang chü, Phó bang chü, nµi vø SÑ, Ho¢ng Hoá SÑ, Công Vø SÑ#Wcùng v¾i#Gthß½ng nhân#W, cÓ th¬ TÕi#Gbang hµi thành th¸#RTi«n làm mµt#G(148, 56)#WXØ lînh Ngân Phiªu, tiªn hành Bào Thß½ng hoÕt ğµng.
3	1	1	Vån Võ TrÕng Nguyên	Nhçm th§t là t¯t Hæu#R%S#WTÕi hôm nay Ğích#G%shoÕt ğµng#WTrung quá ngû quan, träm løc tß¾ng, cu¯i cùng l¤y ğßşc Li­u#Y%s#W. Chúc m×ng mµt chút? Ho£c là Nhçm Dã t¾i tham gia hoÕt ğµng, Hß¾ng Tha kh·i xß¾ng khiêu chiªn Ba! #r #r#Ghæu tình nêu lên#W: #r #Wtham gia khoa cØ cuµc thi, trä l¶i Ğ¯i v¤n ğ« Ğích th¶i ği¬m có th¬ nh§n ğßşc ğÕi lßşng kinh nghi®m. Nªu Nhçm Nång xâm nh§p ğşt thÑ hai trong l¶i nói, Tam Giáp Tß¾ng nh§n ğßşc'#GTrÕng Nguyên#W', '#Gbäng nhãn#W', '#GThám Hoa#W'danh hi®u C§p#GHÕn lúc nào cûng Trang: Kim Bäng Ğ« Danh#W. #r#W lu§n võ ğÕi hµi vòng thÑ nh¤t tr§n ğ¤u s¨ ·#GM²i Chu Tam Hoà Chu Løc bu±i chi«u Ğích 15: 00#Wb¡t ğ¥u dña theo ngß¶i ch½i Ğích khác nhau c¤p b§c tiªn hành phân t± tiªn hành báo danh. Tham gia lu§n võ ğÕi hµi lúc sau, s¨ TuÏ C½ rút ra hai cái ngß¶i ch½i t×ng ğôi chém giªt, ngß¶i th¡ng s¨ tiªn vào tiªp theo Luân. Nh§n ğßşc M²i T± Ğích quán quân chÆng nhæng Hæu ğ£c thù v§t ph¦m thß·ng cho, nhßng lÕi có th¬ nh§n ğßşc'#Glu§n võ ğÕi hµi TrÕng Nguyên#W'Ğích danh hi®u.
4	1	1	Tiªu ngÕo giang h°	B·i vì Nhçm th§t là t¯t Hæu#R%S#WTÕi hoÕt ğµng bà con cô c§u hi®n ra S¡c, nh§n ğßşc Li­u#G%s#Wdanh hi®u. TÕi xông xáo giang h° Ğích kiªp s¯ng Trung ğ¬ lÕi N°ng M£c màu ğ§m Ğích Nh¤t Bút.
5	1	1	CØa hàng khai trß½ng	Cån cÑ tin c§y tin tÑc, Nhçm th§t là t¯t Hæu#R%S#WTÕi CØu Châu thß½ng hµi m· Li­u mµt gian#Y%s#W, cÒn không mau KhÑ B±ng c± ğµng! #r #r#Ghæu tình nêu lên#W: #r ngß¶i ch½i cØa hàng vô lu§n là · Tuyªn Dß Phü, Ğô Khä Mãi các loÕi có th¬ giao d¸ch Ğích v§t ph¦m Dß Trân Thú, còn có th¬ m¶i ngß½i các\u0020hÕ t¯t cùng ngß½i cùng nhau quän lı cØa hàng. #r #Wsáng tÕo ngß¶i ch½i cØa hàng ği«u ki®n: #Gc¤p b§c =C¤p 50#W. #Gc¥n mµt quy¬n'Chß·ng Cñ Yêu Quyªt'Hoà nh¤t ğ¸nh phí døng#W. #r ngß¶i ch½i cØa hàng hşp tác ğ°ng b÷n công nång: #WĞi¬m Kích#GNgã mu¯n xen vào Lı chính mình Ğích cØa hàng#W. Ho£c là TÕi#GcØa hàng Li®t Bi¬u#WTrung Tá Khai chính mình cØa hàng H§u, Ği¬m Kích#Gquän lı#W, tiªn vào Ğáo quän lı m£t biên, · trong này Ğích Hæu HÕ Giác Ğích ğßa vào Khuông Trung, ğßa vào Li­u các\u0020hÕ t¯t Ğích ID, nªu v¸ này các\u0020hÕ t¯t TÕi Tuyªn, nhß v§y Tha s¨ tr· thành cüa ngß½i hşp tác ğ°ng b÷n Li­u. Cùng ngß½i Ğích ğ°ng b÷n cùng nhau quän lı Häo cüa ngß½i cØa hàng, Nhßşng Hoàng Kim cu°n cuµn không ng×ng Ğích chäy vào lşi nhu§n tài chính Ba!
6	1	1	HÖ Kªt Lß½ng Duyên	Nhçm th§t là t¯t Hæu#R%S#Wğã Dß#R%s#WTÕi Nguy®t Lão XØ Hï Kªt Lß½ng Duyên. Trên giang h° lÕi, v×a nhi«u Li­u mµt ğôi th¥n tiên quyªn læ! #r #r #RKhiên Vân Lµng Xäo, Phi Tinh Truy«n H§n, ngân hà xa xôi Ám Ğµ. #r #RKim Phong Ng÷c Lµ Nh¤t g£p lÕi, Ti®n Thång Khß¾c, nhân gian vô s¯. #r #r#Ghæu tình nêu lên#W: #r nªu Nhî cûng có Li­u ı trung nhân, Na Khoái cùng h¡n(Tha) KhÑ#GLÕc Dß½ng#WTräo#GNguy®t Lão(46, 62)#Wkªt hôn Ba!
7	1	1	Ğào viên kªt nghîa	Tøc ngæ nói xu¤t môn Kháo b¢ng hæu, Nhçm th§t là t¯t Hæu#R%S#WDî Hoà m£t khác#G%sV¸#WHuynh Ğ® kªt làm anh em kªt nghîa. #r #r #RXuân Vinh ai không Mµ, #r #RTuª Hàn Lß½ng Ğµc Hi; #r #RĞ¥u Phân Kı ThÕch Hæu, #r #Rngß¶i già Ğ°ng S· Quy. #r #r#Ghæu tình nêu lên#W: #r kªt bái#GchÆng phân bi®t ğßşc nam næ#WNga! Chï c¥n Nhî cäm th¤y ğßşc có th¬, Ğô có th¬ kªt bái. Kªt bái lúc sau#Gğµi trß·ng#Wcó th¬ ği Vi anh em kªt nghîa/tÖ muµi lînh#Gkªt bái danh hi®u#W. Nªu qua mµt ğoÕn th¶i gian lúc sau, Hæu Tân Ğích ğ°ng b÷n gia nh§p Dã không quan h®, chï c¥n t¤t cä Yêu kªt bái Ğích Huynh Ğ® b÷n tÖ muµi cùng nhau t± ğµi KhÑ#Gmµt l¥n næa kªt bái#Wcó th¬.
8	1	1	Kªt các\u0020hÕ các\u0020hÕ t¯t	Ngß¶i ch½i#R%S#Wğã xem Nhî tång thêm cho thöa ğáng Hæu. '#Gmµt cái ly ba ba Trang#W, #Gmµt cái häo hán ba Bang#W', b¢ng hæu th§t là t¯t XØ là ngß½i không ng¶ Ğích. #r #r#Ghæu tình nêu lên#W: #r mu¯n biªt nhß thª nào Gia các\u0020hÕ t¯t Ma? Ğ¯i v¾i ngß½i bên ngß¶i Ğích ngß¶i ch½i, Ho£c ğàm ğÕo bi¬u hi®n Khuông Trung ngß¶i ch½i tên, sØ døng ThØ Tiêu Hæu Ki®n Tá Khai thái ğ½n, Tä Ki®n Ği¬m Kích'#YGia cho thöa ğáng Hæu#W'thì t¯t r°i.
