INT	INT	INT	INT	STRING
INT	INT	INT	INT	STRING
0	1	4811528	50331	秦陆黑气
1	1	4811529	50332	谢尚黑气
2	1	4811530	50333	梁道士黑气
3	1	4811531	50334	左季高黑气
4	1	4811532	50335	薛烛黑气
5	1	4811533	50336	于倩倩黑气
6	1	4811534	50337	张择端黑气
7	1	4811535	50338	王夫人黑气
8	1	4811536	50339	楚衍黑气
9	1	4811537	50340	雪竹莲黑气
10	1	4811538	50341	林朝雄黑气
11	1	4811539	50342	文彦博黑气
12	1	4811540	50343	李乘风黑气
13	1	4811541	50344	沈澄黑气
14	1	4811542	50345	朱锋黑气
15	1	6031068	51087	谢尚红丝
16	1	6031069	51088	苏剑岭红丝
17	1	6031070	51089	于倩倩红丝
18	1	6031071	51090	文彦博红丝
19	1	6031072	51091	谢云亭红丝
20	1	6031073	51092	秦陆银丝
21	1	6031074	51093	张择端银丝
22	1	6031075	51094	雪竹莲银丝
23	1	6031076	51095	梁道士银丝
24	1	6031077	51096	智化银丝
25	1	6031078	51097	包世荣金丝
26	1	6031079	51098	苏小河金丝
27	1	6031080	51099	王夫人金丝
28	1	6031081	51100	楚衍金丝
29	1	6031082	51101	韦大叔金丝
30	9	13027120	51320	红色雾气
31	3	2947197	51656	萧家刀
32	1	6032079	51852	苏州
33	1	6032080	51853	苏州
34	1	6032081	51854	苏州
35	1	6032082	51855	苏州
36	1	6032083	51856	苏州
37	1	6032084	51857	苏州
38	1	6032085	51858	苏州
39	1	6032086	51859	苏州
40	1	6032087	51860	苏州
41	1	6032088	51861	苏州
42	1	6032089	51862	苏州
43	1	6032090	51863	苏州
44	0	6032079	51864	洛阳
45	0	6032080	51865	洛阳
46	0	6032081	51866	洛阳
47	0	6032082	51867	洛阳
48	0	6032083	51868	洛阳
49	0	6032084	51869	洛阳
50	0	6032085	51870	洛阳
51	0	6032086	51871	洛阳
52	0	6032087	51872	洛阳
53	0	6032088	51873	洛阳
54	0	6032089	51874	洛阳
55	0	6032090	51875	洛阳
56	2	6032070	51876	大理
57	2	6032071	51877	大理
58	2	6032072	51878	大理
59	2	6032073	51879	大理
60	2	6032074	51880	大理
61	2	6032075	51881	大理
62	2	6032076	51882	大理
63	2	6032077	51883	大理
64	2	6032078	51884	大理
65	2	6032079	51885	大理
66	2	6032080	51886	大理
67	2	6032081	51887	大理
68	1	6032119	50467	柳金蟾特效
69	1	6032132	50480	周敦颐特效
70	1	6032121	50469	包世荣特效
71	1	6032134	50482	智化特效
72	1	6032123	50471	谢尚特效
73	1	6032124	50472	于倩倩特效
74	1	6032137	50485	雨墨特效
75	1	6032138	50486	颜查散特效
76	1	6032127	50475	朱防风特效
77	1	6032128	50476	小高特效
78	1	6032129	50477	王珪特效
79	1	6032130	50478	楚衍特效
80	1	6032131	50479	苏陶特效
81	1	6032126	50474	秦陆特效
82	1	6032139	50487	包不同特效
83	1	6032140	50488	贺铸特效
84	1	6032135	50483	韦大叔特效
85	1	6032136	50484	苏小河特效
86	1	6032125	50473	张择端特效
87	1	6032120	50468	庞葱特效
88	1	6032133	50481	雪竹莲特效
89	1	6032122	50470	文彦博特效
90	1	6032141	50489	孙山特效
91	1	6032142	50490	风波恶特效
92	0	60310291	53508	吴此仁特效
93	0	60310292	53509	窦梧桐特效
94	0	60310293	53510	芮福详特效
95	0	60310294	53511	范统特效
96	0	60310295	53512	陈寿庭特效
97	0	60310296	53513	乔清盛特效
98	0	60310297	53514	单正特效
99	0	60310298	53515	怀丙特效
100	0	60310299	53516	春儿特效
101	0	60310300	53517	徐惊雷特效
102	0	60310301	53518	乔飞飞特效
103	0	60310302	53519	司马光特效
104	0	60310303	53520	薛和特效
105	0	60310304	53521	吕惠卿特效
106	0	60310305	53522	杨时特效
107	0	60310306	53523	程安特效
108	0	60310307	53524	程颐特效
109	0	60310308	53525	毕晟特效
110	0	60310309	53526	龚彩丽特效
111	0	60310310	53527	盖千鸣特效
