INT	INT	INT	INT	INT	INT
INT	INT	INT	INT	INT	INT
1	20231204	20231211	20231218	20231225	20231231
2	20240101	20240108	20240115	20240122	20240128
3	20240129	20240205	20240212	20240219	20240225
4	20240226	20240304	20240311	20240318	20240324
5	20240325	20240401	20240408	20240415	20240421
6	20240422	20240429	20240506	20240513	20240519
7	20240520	20240527	20240603	20240610	20240616
8	20240617	20240624	20240701	20240708	20240714
9	20240715	20240722	20240729	20240805	20240811
10	20240812	20240819	20240826	20240902	20240908
11	20240909	20240916	20240923	20240930	20241006
12	20241007	20241014	20241021	20241028	20241103
13	20241104	20241111	20241118	20241125	20241201
14	20241202	20241209	20241216	20241223	20241229
15	20241230	20250106	20250113	20250120	20250126
16	20250127	20250203	20250210	20250217	20250223
17	20250224	20250303	20250310	20250317	20250323
18	20250324	20250331	20250407	20250414	20250420
19	20250421	20250428	20250505	20250512	20250518
20	20250519	20250526	20250602	20250609	20250615
21	20250616	20250623	20250630	20250707	20250713
22	20250714	20250721	20250728	20250804	20250810
23	20250811	20250818	20250825	20250901	20250907
24	20250908	20250915	20250922	20250929	20251005
25	20251006	20251013	20251020	20251027	20251102
26	20251103	20251110	20251117	20251124	20251130
27	20251201	20251208	20251215	20251222	20251228
28	20251229	20260105	20260112	20260119	20260125
29	20260126	20260202	20260209	20260216	20260222
30	20260223	20260302	20260309	20260316	20260322
31	20260323	20260330	20260406	20260413	20260419
32	20260420	20260427	20260504	20260511	20260517
33	20260518	20260525	20260601	20260608	20260614
34	20260615	20260622	20260629	20260706	20260712
35	20260713	20260720	20260727	20260803	20260809
36	20260810	20260817	20260824	20260831	20260906
37	20260907	20260914	20260921	20260928	20261004
38	20261005	20261012	20261019	20261026	20261101
39	20261102	20261109	20261116	20261123	20261129
40	20261130	20261207	20261214	20261221	20261227
41	20261228	20270104	20270111	20270118	20270124
