INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT
INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT
0	9018	20201016	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
1	9020	20201016	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
2	10	20201016	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
3	11	20201016	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
4	12	20201016	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
5	13	20201016	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
6	14	20201016	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
7	15	20201016	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
8	16	20201016	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
9	17	20201016	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
10	18	20201016	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
11	19	20201016	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
12	20	20201017	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
13	22	20201023	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
14	21	20201021	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
15	23	20201026	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
16	24	20201030	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
17	25	20201102	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
18	26	20201106	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
19	27	20201120	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
20	28	20201128	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
21	29	20201211	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
22	30	20201218	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
23	31	20210101	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
24	32	20210115	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
25	33	20210220	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
26	34	20210222	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
27	35	20210312	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
28	36	20210326	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
29	37	20210122	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
30	38	20210416	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
31	39	20210416	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
32	40	20210508	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
33	41	20210604	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
34	42	20210625	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
35	43	20210910	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
36	44	20211119	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
37	45	20210730	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
38	46	20210820	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
39	47	20211015	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
40	48	20211015	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
41	51	20210930	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
42	52	20211217	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
43	53	20220208	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
44	54	20220211	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
45	55	20220408	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	1	0	0	0
46	56	20220408	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
47	57	20220408	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
48	58	20220408	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
49	59	20220408	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	1	0	0	0
50	60	20220408	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
51	61	20220520	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
52	62	20220520	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	1	0	0	0
53	63	20220624	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
54	64	20220624	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	1	0	0	0
55	65	20220729	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
56	66	20220803	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	1	0	0	0
57	49	20220909	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
58	67	20221028	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
59	68	20221028	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	1	0	0	0
60	69	20221028	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	1	0	0	0
61	50	20221216	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
62	70	20230130	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
63	73	20230130	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
64	71	20230317	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
65	74	20230317	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
66	75	20230414	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	1	0	0	0
67	72	20230519	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	1	0	0	0
68	76	20230616	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	1	0	0	0
69	78	20230728	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
70	79	20230728	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
