INT	INT	STRING	STRING	STRING
INT	INT	STRING	STRING	STRING
0	1	Thân ái Ðích ngß¶i ch½i: Hoan nghênh Nhî tiªn vào#RTHiên Long Bát Bµ#Wtrò ch½i thª gi¾i! Nhî không ngÕi ði tìm#GThành ÐÕi Lý#WÐích#RTri®u Thiên Sß#W[160, 156], Tha Hµi nói cho Nhî r¤t nhi«u chuy®n Nga! H½n næa nói cho Nhî mµt cái tin tÑc t¯t Nhî có th¬ H÷c T§p#Bn¤u nß¾ng kÛ nång#WLi­u, ði tìm#GÐÕi Lý#WÐích n¤u nß¾ng ðÕi sß#RÐ² TØ Phi#W [112, 169]Ba!		
1	2	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 2! #GTHành ÐÕi Lý#WÐích#RTri®u Thiên Sß#W[160, 156]ðang · tìm ngß½i! Tß·ng mau chóng thång c¤p Ma? T¯ tân thü nhi®m vø Th¸ hiªm có Ðích lña ch÷n Nga! ChÆng nhæng có th¬ trþ giúp Nhî r¤t nhanh thång c¤p, còn có th¬ trþ giúp Nhî quen thuµc trò ch½i thao tác! M£t khác, Nhî hi®n tÕi ðã Hæu Tân trang b¸ Khä thay ð±i Nga!		
2	3	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 3! #GTHành ÐÕi Lý#WÐích#RTri®u Thiên Sß#W[160, 156]ðang · tìm ngß½i! M£t khác, nh¾ rõ ð±i m¾i cüa ngß½i trang b¸!		
3	4	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 4! #GTHành ÐÕi Lý#WÐích#RTri®u Thiên Sß#W[160, 156]ðang · tìm ngß½i! Còn có, Tá Quái có th¬ ðßþc Ðáo tu luy®n#Bcuµc s¯ng kÛ nång#WÐích tài li®u, có th¬ Tß¾ng chúng nó bán cho c¥n Ðích ngß¶i ch½i! M£t khác, Nhî hi®n tÕi Hñu có th¬ Hoán Tân trang b¸ Li­u Nga!		
4	5	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 5! #GTHành ÐÕi Lý#WÐích#RTri®u Thiên Sß#W[160, 156]ðang · tìm ngß½i! M£t khác, Nhî trên ngß¶i Ðích trang b¸ cûng nên thay ð±i Ba!		
5	6	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 6! #GTHành ÐÕi Lý#WÐích#RTri®u Thiên Sß#W[160, 156]ðang · tìm ngß½i! Ðúng r°i, nªu Ð¯i trong thành Ðích lµ tuyªn không quen T¤t, #RTu¥n Thành C¤m V®#WHoà#Rv® binh#Wcó th¬ cho ngß½i Chï Lµ. M£t khác, Nhî hi®n tÕi ðã có th¬ Hoán Tân trang b¸ Li­u Nga!		
6	7	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 7! #GTHành ÐÕi Lý#WÐích#RTri®u Thiên Sß#W[160, 156]ðang · tìm ngß½i! Nói cho Nhî Cá bí quyªt, Tá Khai thª gi¾i bän ð° H§u, Ði¬m Kích t×ng khu có th¬ nh§n ðßþc này khu Ðích quái v§t tin tÑc. M£t khác, nh¾ rõ ð±i m¾i cüa ngß½i trang b¸!		
7	8	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 8! #GTHành ÐÕi Lý#WÐích#RTri®u Thiên Sß#W[160, 156]ðang · tìm ngß½i! M£t khác, Nhî hi®n tÕi Hñu có th¬ Hoán Tân trang b¸ Li­u Nga! Thu§n ti®n nói cho Nhî Cá ðß¶ng nhö tin tÑc, thông qua trÕm d¸ch có th¬ r¤t nhanh Ðích lui t¾i Dß khu trong lúc ðó, h½n næa Th¸ mi­n phí Ðích.		
8	9	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 9! #GTHành ÐÕi Lý#WÐích#RTri®u Thiên Sß#W[160, 156]ðang · tìm ngß½i! Ðúng r°i, Nhî trên ngß¶i Ðích trang b¸ cûng nên thay ð±i Ba! Còn có, Nhî hi®n tÕi không b¢ng Ðáo#GÐµi Hoàng#Wnhìn xem, n½i ðó hÆn là Canh thích hþp này C¤p B§c Ðích Nhî luy®n c¤p Nga!		
9	10	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 10! Hi®n tÕi Nhî có th¬ gia nh§p môn phái Li­u(thông qua các thành th¸ Ðích trÕm d¸ch có th¬ truy«n t¯ng Ðáo cØu ðÕi môn phái)! H½n næa, lÕi có Tân trang b¸ Khä Hoán! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên! M£t khác, Nhî còn có th¬ ði tìm#GÐ?i Lý#RMøc TØ Lång#W [107, 169]H÷c T§p#Bcâu cá kÛ nång#W!		
10	11	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 11! Ðã quen thuµc trò ch½i Ðích Nhî, TÕi thång c¤p Ðích ð°ng th¶i hay không Tß·ng bày ra mµt chút chính mình Ðích tài hoa Ni? T¾i tham gia khoa cØ hoÕt ðµng Ba! Th¬ hi®n Nhî bao hàm toàn di®n tri thÑc Ðích th¶i ði¬m t¾i r°i! Ðúng r°i, Bách Mang bên trong cûng ð×ng quên Hoán Tân trang b¸!		
11	12	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 12! Nªu mu¯n kiªm Ði¬m ti«n tiêu v£t có th¬ Ðáo#GL?c Dß½ng#WTräo#RKhâu Hành LÕc#W [135, 185]giúp h¡n truy«n tin! Ðúng r°i, nh¾ rõ Hoán Tân trang b¸ Nga!		
12	13	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 13! Tiên Bä Tân trang b¸ thay, sau ðó còn kém không nhi«u l¡m nên ði Tróc#RTRân Thú#WLi­u, có chính mình Ðích#RTrân Thú#W, cHÆng nhæng Canh uy phong, h½n næa ngån ð¸ch Canh phß½ng ti®n, phß½ng xa Hæu mµt tòa#GHuy«n Võ Ðäo#W, n½i ðó Hæu ðü loÕi Ðích#RTrân Thú#Wðang ch¶ Nhî!		
13	14	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 14! Dî TÕi trong ch¯n giang h° bµc lµ tài nång Ðích Nhî có l¨ Hæu Ti mê ho£c, có l¨ Hæu Ti bàng hoàng, v§y Lai#GÐ?i Lý#RNhiªp Chính#W [142, 134]XØ höi nhß thª nào bái sß Ba! Danh sß xu¤t cao ð°, tin tß·ng mµt cái quang minh Ðích tß½ng lai ðang ch¶ Nhî! Cao t¾i ðâu Ðích võ công cûng mu¯n chú ý mình bäo hµ, nh¾ rõ Hoán Tân trang b¸ Nga!		
14	15	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 15! Hi®n tÕi Nhî có th¬ Ðáo#GTUng S½n#Wnhìn xem. H½n næa Nhî ðã có th¬ gia nh§p bang phái Li­u, mau t¾i Ba! Có l¨ Nhî gia nh§p Ðích s¨ này ðây H§u Ðích giang h° thÑ nh¤t ðÕi bang Nga! Ðúng r°i, cho dù Bách Mang bên trong cûng không có th¬ quên Hoán Tân trang b¸ Nha!		
15	16	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 16! Hi®n tÕi Nhî Hæu Tân trang b¸ Khä thay ð±i! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
16	17	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 17! Cai Hoán Thân Tân trang b¸ Li­u Nga! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
