INT	INT	INT	STRING	STRING	STRING
INT	INT	INT	STRING	STRING	STRING
0	0	0	#GL?c Dß½ng#WĞích#RKhâu Hành LÕc#W[136, 184], #RTri®u Minh Thành#W[228, 175], #RVân Hàm Nhi#W[183, 154]XØ s¨ có nhi®m vø.		
1	1	1	#GTÔ Châu#WĞích#RVß½ng Phu Nhân#W[94, 177], #RNgô ?#W[127, 133], #RHô Diên Báo#W[244, 215], #RTi«n H°ng Vû#W[62, 162]XØ s¨ có nhi®m vø.		
2	2	2	#GĞ?i Lı#WĞích#RTri®u Thiên Sß#W[160, 156], #RB° Lß½ng#W[216, 133], #RĞ² TØ Ğ¢ng#W[110, 159], #RLô Tam Th¤t#W[102, 131], #RTi«n Long#W[145, 138], #RTôn Bát Gia#W[173, 147], #RVân Phiêu Phiêu#W[265, 128], #RHoàng Mi Tång#W[275, 49], #RĞoàn Duyên Khánh#W[215, 284], #RLí Công Bµ#W[160, 127]XØ s¨ có nhi®m vø.		
3	3	3	#GTUng S½n#WĞích#RSài Tiªn#W[200, 66], #RTiêu Nhßşng#W[209, 79], #RLøc Tùng#W[203, 68], #RLøc Ngßng Sß½ng#W[182, 81]XØ s¨ có nhi®m vø. Bän ğ¸a sän xu¤t#YĞ°ng Khoáng, BÕch Anh, B° Hoàng, Thäo Ngß, Thanh Ngß#W. Bän ğ¸a quái v§t Hæu: #Rºa Viên#W, c„p b§c 12~C¤p 18 t÷a ğµ Vi[64, 98]. #Rºa Viên#W, c¤p b§c 12~C¤p 18 t÷a ğµ Vi[64, 98]. #RBÕch NgÕch H±#W, c¤p b§c 13~C¤p 19 t÷a ğµ Vi[50, 179]. #RD¸ Khí Mµc Nhân#W, c¤p b§c 14~C¤p 20 t÷a ğµ Vi[89, 74]. #RDînh ThuÖ Lang#W, c¤p b§c 15~C¤p 21 t÷a ğµ Vi[196, 193]. #RD¸ Khí Ğ°ng Nhân#W, c¤p b§c 16~C¤p 22 t÷a ğµ Vi[246, 239]. #RLô Nhai Ğ°ng Nhân#W, c¤p b§c 17~C¤p 23 t÷a ğµ Vi[280, 202].		
4	4	4	Bän ğ¸a sän xu¤t#YĞng Khoáng, BÕch Anh, B° Hoàng, Thäo Ngß, Thanh Ngß#W.		
5	5	5	Bän ğ¸a sän xu¤t#YĞng Khoáng, BÕch Anh, B° Hoàng, Thäo Ngß, Thanh Ngß#W.		
6	6	6	#GVÔ Lßşng S½n#WĞích#RMã Ngû ĞÑc#W[92, 128], #RCát Quang Bµi#W[240, 173], #RCan Quang Hào#W[240, 181], #RTân Song Thanh#W[240, 175]XØ s¨ có nhi®m vø. Bän ğ¸a sän xu¤t#YĞ°ng Khoáng, BÕch Anh, B° Hoàng, Thäo Ngß, Thanh Ngß#W. Bän ğ¸a quái v§t Hæu: #RCao S½n BÕch Viên#W, c„p b§c 1~C¤p 4 t÷a ğµ Vi[91, 153]. #RĞÕi Hoàng Phong#W, c¤p b§c 1~C¤p 6 t÷a ğµ Vi[54, 250]. #RThi¬m Ği®n Báo#W, c¤p b§c 2~C¤p 8 t÷a ğµ Vi[164, 70]. #RS½n Thù#W, c¤p b§c 4~C¤p 10 t÷a ğµ Vi[108, 190].		
7	7	7	Bän ğ¸a sän xu¤t#YĞng Khoáng, BÕch Anh, B° Hoàng, Thäo Ngß, Thanh Ngß#W. Bän ğ¸a quái v§t Hæu: #RThøc ĞÕo BÕch Viên#W, c„p b§c 1~C¤p 4 t÷a ğµ Vi[65, 252]. #RBÕch Mao Thäo Nhân#W, c¤p b§c 2~C¤p 8 t÷a ğµ Vi[197, 216]. #RQuÖ Di®n Thù Nho#W, c¤p b§c 4~C¤p 10 t÷a ğµ Vi[209, 146]. #RThøc ĞÕo H¡c Viên#W, c¤p b§c 1~C¤p 6 t÷a ğµ Vi[67, 133].		
8	8	8	#GĞ?i Hoàng#WĞích#RTào Diên Hu®#W[55, 63], #RChu Vß½ng L­#W[63, 81], #RH°i C¯t Vß½ng Næ#W[220, 99], #RTri®u Hành ĞÑc#W[63, 90], #RDß½ng Vån Quäng#W[252, 144]s¨ có nhi®m vø. Bän ğ¸a sän xu¤t#YĞ°ng Khoáng, BÕch Anh, B° Hoàng, Thäo Ngß, Thanh Ngß#W. Bän ğ¸a quái v§t Hæu: #RSa Pha Lang#W, c„p b§c 8~C¤p 14 t÷a ğµ Vi[250, 182]. #RTàn Phá Binh Dõng#W, c¤p b§c 9~C¤p 15 t÷a ğµ Vi[157, 184]. #RHoang Nguyên Báo#W, c¤p b§c 10~C¤p 16 t÷a ğµ Vi[171, 101]. #RDu Mµc ‘i LuÛ#W, c¤p b§c 6~C¤p 12 t÷a ğµ Vi[223, 216].		
9	9	9	Bän ğ¸a quái v§t Hæu: #RM?c Nhân Lâu La#W, c„p b§c 38~C¤p 44 t÷a ğµ Vi[95, 129]. #RMµc Nhân Tinh Anh#W, c¤p b§c 41~C¤p 47 t÷a ğµ Vi[128, 84]. #RMµc Nhân Võ Sî#W, c¤p b§c 44~C¤p 50 t÷a ğµ Vi[154, 52].		
10	10	10	Bän ğ¸a quái v§t Hæu: #RPHøc Thù ºa H¥u#W, c„p b§c 8~C¤p 14 t÷a ğµ Vi[42, 147]. #RTinh Tráng ºa H¥u#W, c¤p b§c 14~C¤p 20 t÷a ğµ Vi[91, 102]. #RCß¶ng Tráng ºa H¥u#W, c¤p b§c 11~C¤p 17 t÷a ğµ Vi[53, 109].		
11	11	11	Bän ğ¸a quái v§t Hæu: #RM?t Thám Tiên Phong#W, c„p b§c 28~C¤p 34 t÷a ğµ Vi[97, 143]. #RThanh KÏ Thám Mã#W, c¤p b§c 31~C¤p 37 t÷a ğµ Vi[157, 138]. #RLam KÏ Thám Mã#W, c¤p b§c 34~C¤p 40 t÷a ğµ Vi[29, 51].		
12	12	12	Bän ğ¸a quái v§t Hæu: #RYÊu D¸ Tâm Ma#W, c„p b§c 68~C¤p 74 t÷a ğµ Vi[109, 164]. #RPhá Sân Tâm Ma#W, c¤p b§c 71~C¤p 77 t÷a ğµ Vi[75, 135]. #RSát Døc Tâm Ma#W, c¤p b§c 74~C¤p 80 t÷a ğµ Vi[86, 85].		
13	13	13	Bän ğ¸a quái v§t Hæu: #RDI®t Yêu ‘i LuÛ#W, c„p b§c 88~C¤p 94 t÷a ğµ Vi[65, 144]. #RChu Tiên ‘i LuÛ#W, c¤p b§c 91~C¤p 97 t÷a ğµ Vi[147, 149]. #RThí Th¥n ‘i LuÛ#W, c¤p b§c 94~C¤p 100 t÷a ğµ Vi[36, 78].		
14	14	14	Bän ğ¸a quái v§t Hæu: #RHœ Th¬ ‘i LuÛ#W, c„p b§c 78~C¤p 84 t÷a ğµ Vi[49, 148]. #RThñc Tâm ‘i LuÛ#W, c¤p b§c 81~C¤p 87 t÷a ğµ Vi[118, 147]. #RHoá Phách ‘i LuÛ#W, c¤p b§c 84~C¤p 90 t÷a ğµ Vi[151, 150].		
15	15	15	Bän ğ¸a quái v§t Hæu: #RNGa Mi BÕch Mi ºa Viên#W, c„p b§c 18~C¤p 24 t÷a ğµ Vi[137, 153]. #RNga Mi Lşi Träo ºa Viên#W, c¤p b§c 21~C¤p 27 t÷a ğµ Vi[144, 39]. #RNga Mi Hung Nao#W, c¤p b§c 24~C¤p 30 t÷a ğµ Vi[58, 151].		
16	16	16	Bän ğ¸a quái v§t Hæu: #RM?c Vß½ng Tri Thù#W, c„p b§c 48~C¤p 54 t÷a ğµ Vi[70, 147]. #RThuÖ Vß½ng Tri Thù#W, c¤p b§c 51~C¤p 57 t÷a ğµ Vi[138, 95]. #RHoä Vß½ng Tri Thù#W, c¤p b§c 54~C¤p 60 t÷a ğµ Vi[48, 50].		
17	17	17	Bän ğ¸a quái v§t Hæu: #RTHiên S½n Ti¬u Tuyªt Quái#W, c„p b§c 58~C¤p 64 t÷a ğµ Vi[41, 146]. #RThiên S½n ĞÕi Tuyªt Quái#W, c¤p b§c 61~C¤p 67 t÷a ğµ Vi[151, 40]. #RThiên S½n Tuyªt Quái Vß½ng#W, c¤p b§c 64~C¤p 70 t÷a ğµ Vi[124, 48].		
18	18	18	#GNHÕn Nam#WĞích#RChu Vô Uı#W[242, 73], #RKh¤u Phong#W[241, 75], #RXung Thª Hành#W[262, 46], #RMã Th×a Sänh#W[260, 88]XØ s¨ có nhi®m vø. Bän ğ¸a sän xu¤t#YNgân Khoáng, Hàn qu£ng s¡t, Hoàng C¥m, Câu Kh·i, Tr¥m Hß½ng, Bình Ngß, Bi¬n Ğ¥u Ngß#W. #GMa Nhai Ğµng#WĞích t÷a ğµ Th¸[46, 46]. Bän ğ¸a quái v§t Hæu: #RTây B¡c Lang#W, c„p b§c 27~C¤p 33 t÷a ğµ Vi[281, 224]. #RKim Ti«n Báo#W, c¤p b§c 28~C¤p 34 t÷a ğµ Vi[249, 191]. #RKhôi Hùng#W, c¤p b§c 29~C¤p 35 t÷a ğµ Vi[213, 75]. #RT¥n Gia TrÕi Thám TØ#W, c¤p b§c 30~C¤p 36 t÷a ğµ Vi[127, 200]. #RT¥n Gia TrÕi Lâu LÕc#W, c¤p b§c 31~C¤p 37 t÷a ğµ Vi[91, 162]. #RT¥n Gia TrÕi Thân Binh#W, c¤p b§c 32~C¤p 38 t÷a ğµ Vi[64, 202].		
19	19	19	#GNHÕn B¡c#WĞích#RKhúc Ğoan#W[233, 192], #RGia Lu§t Dß Ğ±#W[195, 41], #RMiêu Khánh#W[231, 203], #RL² Bình#W[271, 50]XØ s¨ có nhi®m vø. Bän ğ¸a sän xu¤t#Yhuy«n thiªt Khoáng, ThuÖ Tinh Khoáng, Ğang Quy, Quª Tâm, Hß½ng Phø, Ğ¦u Ngß, Thoa Ngß#W. #GĞÕi Quân Thäo Li®u Trß¶ng#WĞích t÷a ğµ Th¸[50, 64]. Bän ğ¸a quái v§t Hæu: #RH°ng Phong Tri Thù#W, c„p b§c 42~C¤p 48 t÷a ğµ Vi[159, 203]. #RH°ng Phong Hùng#W, c¤p b§c 43~C¤p 49 t÷a ğµ Vi[253, 131]. #RT¥n Gia TrÕi Kiªp Phï#W, c¤p b§c 44~C¤p 50 t÷a ğµ Vi[117, 142]. #RT¥n Gia TrÕi Hµ V®#W, c¤p b§c 45~C¤p 51 t÷a ğµ Vi[43, 166]. #RT¥n Gia TrÕi Giáo Ğ¥u#W, c¤p b§c 46~C¤p 52 t÷a ğµ Vi[107, 226]. #RTá Thäo C¯c Liêu Binh#W, c¤p b§c 47~C¤p 53 t÷a ğµ Vi[205, 67].		
20	20	20	#GTHäo Nguyên#WĞích#RNguy­n Thñc#W[197, 202], #RNguy­n Lão Thái Thái#W[190, 200], #RTiêu Tß¶ng#W[163, 158], #RNguy­n Thành#W[138, 53]XØ s¨ có nhi®m vø. Bän ğ¸a sän xu¤t#YChân Vû Khoáng, Long Huyªt Khoáng, Tßşng B¯i, Nhân Tham, Quê Ngß, Bài KÏ Ngß#W. #GThuÖ Tinh H°#WĞích t÷a ğµ Th¸[75, 193]. Bän ğ¸a quái v§t Hæu: #RThäo Nguyên Lang#W, c„p b§c 57~C¤p 63 t÷a ğµ Vi[177, 250]. #RMông C± H¡c Phong#W, c¤p b§c 58~C¤p 64 t÷a ğµ Vi[275, 269]. #RThi¬m Ği®n Mã Phï#W, c¤p b§c 59~C¤p 65 t÷a ğµ Vi[65, 156]. #RTruy Phong Mã Phï#W, c¤p b§c 60~C¤p 66 t÷a ğµ Vi[198, 104]. #RLoan Ğao Mã Phï#W, c¤p b§c 61~C¤p 67 t÷a ğµ Vi[273, 156]. #RTá Thäo C¯c T¯ng Binh#W, c¤p b§c 62~C¤p 68 t÷a ğµ Vi[40, 45].		
21	21	21	#GLIêu Tây#WĞích#RBa Ğ°#W[158, 195], #RBá Nhan#W[164, 199], #RBác Nhî Luân#W[163, 191], #RGia Lu§t Kim#W[170, 206]XØ s¨ có nhi®m vø. Bän ğ¸a sän xu¤t#YNæ Oa Khoáng, Liên TØ, Khô Mµc Xuân, Løc Tuyªn Ngß, Vån Xß½ng Ngß#W. #GTiên Vß½ng Ph¥n#WĞích t÷a ğµ Th¸[50, 217]. Bän ğ¸a quái v§t Hæu: #RBÕch Lang Vß½ng#W, c„p b§c 72~C¤p 78 t÷a ğµ Vi[170, 256]. #RĞÕi H¡c Phong#W, c¤p b§c 73~C¤p 79 t÷a ğµ Vi[100, 232]. #RH¡c Y Mã Phï#W, c¤p b§c 74~C¤p 80 t÷a ğµ Vi[87, 122]. #RH°ng Y Mã Phï#W, c¤p b§c 75~C¤p 81 t÷a ğµ Vi[134, 86]. #RNh¤t Ph¦m Ğß¶ng Si Khách#W, c¤p b§c 76~C¤p 82 t÷a ğµ Vi[249, 127]. #RKhinh Giáp Mãng Cái#W, c¤p b§c 77~C¤p 83 t÷a ğµ Vi[271, 262].		
