INT	STRING	STRING	STRING	INT	INT	INT
INT	STRING	STRING	STRING	INT	INT	INT
1	宋军统帅	#{XSLDZ_180521_239}	set:NPCHead02 image:NPCHead02_2	8000	0	0
2	辽军统帅	#{XSLDZ_180521_240}	set:NPCHead02 image:NPCHead02_1	8000	0	0
3	宋军统帅	#{XSLDZ_180521_241}	set:NPCHead02 image:NPCHead02_2	8000	0	0
4	辽军统帅	#{XSLDZ_180521_241}	set:NPCHead02 image:NPCHead02_1	8000	0	0
5	宋军统帅	#{XSLDZ_180521_247}	set:NPCHead02 image:NPCHead02_2	8000	0	0
6	辽军统帅	#{XSLDZ_180521_248}	set:NPCHead02 image:NPCHead02_1	8000	0	0
7	宋军统帅	#{XSLDZ_180521_255}	set:NPCHead02 image:NPCHead02_2	8000	0	0
8	辽军统帅	#{XSLDZ_180521_255}	set:NPCHead02 image:NPCHead02_1	8000	0	0
9	宋军统帅	#{XSLDZ_180521_256}	set:NPCHead02 image:NPCHead02_2	8000	0	0
10	辽军统帅	#{XSLDZ_180521_256}	set:NPCHead02 image:NPCHead02_1	8000	0	0
11	宋军统帅	#{XSLDZ_180521_257}	set:NPCHead02 image:NPCHead02_2	8000	0	0
12	辽军统帅	#{XSLDZ_180521_257}	set:NPCHead02 image:NPCHead02_1	8000	0	0
13	宋军统帅	#{XSLDZ_180521_258}	set:NPCHead02 image:NPCHead02_2	8000	0	0
14	辽军统帅	#{XSLDZ_180521_258}	set:NPCHead02 image:NPCHead02_1	8000	0	0
15	宋军统帅	#{XSLDZ_180521_259}	set:NPCHead02 image:NPCHead02_2	8000	0	0
16	辽军统帅	#{XSLDZ_180521_259}	set:NPCHead02 image:NPCHead02_1	8000	0	0
17	宋军统帅	#{XSLDZ_180521_260}	set:NPCHead02 image:NPCHead02_2	8000	0	0
18	辽军统帅	#{XSLDZ_180521_260}	set:NPCHead02 image:NPCHead02_1	8000	0	0
19	宋军统帅	#{XSLDZ_180521_261}	set:NPCHead02 image:NPCHead02_2	8000	0	0
20	辽军统帅	#{XSLDZ_180521_261}	set:NPCHead02 image:NPCHead02_1	8000	0	0
21	宋军统帅	#{XSLDZ_180521_262}	set:NPCHead02 image:NPCHead02_2	8000	0	0
22	辽军统帅	#{XSLDZ_180521_262}	set:NPCHead02 image:NPCHead02_1	8000	0	0
23	宋军统帅	#{XSLDZ_180521_263}	set:NPCHead02 image:NPCHead02_2	8000	0	0
24	辽军统帅	#{XSLDZ_180521_263}	set:NPCHead02 image:NPCHead02_1	8000	0	0
25	宋军统帅	#{XSLDZ_180521_264}	set:NPCHead02 image:NPCHead02_2	8000	0	0
26	辽军统帅	#{XSLDZ_180521_264}	set:NPCHead02 image:NPCHead02_1	8000	0	0
27	宋军统帅	#{XSLDZ_180521_265}	set:NPCHead02 image:NPCHead02_2	8000	0	0
28	辽军统帅	#{XSLDZ_180521_265}	set:NPCHead02 image:NPCHead02_1	8000	0	0
29	宋军统帅	#{XSLDZ_180521_315}	set:NPCHead02 image:NPCHead02_2	8000	0	0
30	辽军统帅	#{XSLDZ_180521_315}	set:NPCHead02 image:NPCHead02_1	8000	0	0
101	十三	#{SYSZNT_20210205_1}	set:NPCHead01 image:NPCHead01_1	6000	0	0
102	梵无救	#{SYSZNT_20210205_2}	set:NPCHead01 image:NPCHead01_4	6000	0	0
103	阿莺	#{SYSZNT_20210205_3}	set:NPCHead01 image:NPCHead01_2	6000	0	0
104	耶律泓佑	#{SYSZNT_20210205_4}	set:NPCHead01 image:NPCHead01_3	6000	0	0
105	沈夜雨	#{SYSZNT_20210205_5}	set:NPCHead01 image:NPCHead01_5	6000	0	0
106	十三	#{SYSZNT_20210205_6}	set:NPCHead01 image:NPCHead01_1	6000	0	0
107	沈夜雨	#{SYSZNT_20210205_7}	set:NPCHead01 image:NPCHead01_5	6000	0	0
108	梵无救	#{SYSZNT_20210205_8}	set:NPCHead01 image:NPCHead01_4	6000	0	0
109	沈夜雨	#{SYSZNT_20210205_9}	set:NPCHead01 image:NPCHead01_5	6000	0	0
110	沈夜雨	#{SYSZNT_20210205_10}	set:NPCHead01 image:NPCHead01_5	6000	0	0
111	阿莺	#{SYSZNT_20210205_11}	set:NPCHead01 image:NPCHead01_2	6000	0	0
112	阿莺	#{SYSZNT_20210205_12}	set:NPCHead01 image:NPCHead01_2	6000	0	0
113	耶律泓佑	#{SYSZNT_20210205_13}	set:NPCHead01 image:NPCHead01_3	6000	0	0
114	沈夜雨	#{SYSZNT_20210205_14}	set:NPCHead01 image:NPCHead01_5	6000	0	0
115	十三	#{YXDHYD_20210304_05}	set:NPCHead01 image:NPCHead01_1	6000	0	0
116	沈夜雨	#{YXDHYD_20210304_06}	set:NPCHead01 image:NPCHead01_5	6000	0	0
