INT	INT	INT	STRING
Index	ItemId	特殊编号	背景页签
1	10125382	1	set:CommonFrame29 image:DressBack1
2	10125383	2	set:CommonFrame29 image:DressBack1
3	10125384	3	set:CommonFrame29 image:DressBack1
4	10125385	4	set:CommonFrame29 image:DressBack1
5	10125386	5	set:CommonFrame29 image:DressBack1
6	10125387	6	set:CommonFrame29 image:DressBack1
7	10125388	7	set:CommonFrame29 image:DressBack1
8	10125389	8	set:CommonFrame29 image:DressBack1
9	10125390	9	set:CommonFrame29 image:DressBack1
10	10125391	10	set:CommonFrame29 image:DressBack1
11	10125392	11	set:CommonFrame29 image:DressBack1
12	10125393	12	set:CommonFrame29 image:DressBack1
13	10125394	13	set:CommonFrame29 image:DressBack1
14	10125395	14	set:CommonFrame29 image:DressBack1
15	10125396	15	set:CommonFrame29 image:DressBack1
16	10125397	16	set:CommonFrame29 image:DressBack1
17	10125398	17	set:CommonFrame29 image:DressBack1
18	10125399	18	set:CommonFrame29 image:DressBack1
19	10125400	19	set:CommonFrame29 image:DressBack1
20	10125401	20	set:CommonFrame29 image:DressBack1
21	10125402	21	set:CommonFrame29 image:DressBack1
22	10125403	22	set:CommonFrame29 image:DressBack1
23	10125404	23	set:CommonFrame29 image:DressBack1
24	10125405	24	set:CommonFrame29 image:DressBack1
25	10125406	25	set:CommonFrame29 image:DressBack1
26	10125407	26	set:CommonFrame29 image:DressBack1
27	10125408	27	set:CommonFrame29 image:DressBack1
28	10125409	28	set:CommonFrame29 image:DressBack1
29	10125410	29	set:CommonFrame29 image:DressBack1
30	10125411	30	set:CommonFrame29 image:DressBack1
31	10125412	31	set:CommonFrame29 image:DressBack1
32	10125413	32	set:CommonFrame29 image:DressBack1
33	10125414	33	set:CommonFrame29 image:DressBack1
34	10125415	34	set:CommonFrame29 image:DressBack1
35	10125416	35	set:CommonFrame29 image:DressBack1
36	10125417	36	set:CommonFrame29 image:DressBack1
37	10125418	37	set:CommonFrame29 image:DressBack1
38	10125419	38	set:CommonFrame29 image:DressBack1
39	10125420	39	set:CommonFrame29 image:DressBack1
40	10125421	40	set:CommonFrame29 image:DressBack1
41	10125422	41	set:CommonFrame29 image:DressBack1
42	10125423	42	set:CommonFrame29 image:DressBack1
43	10125424	43	set:CommonFrame29 image:DressBack1
44	10125425	44	set:CommonFrame29 image:DressBack1
45	10125426	45	set:CommonFrame29 image:DressBack1
46	10125427	46	set:CommonFrame29 image:DressBack1
47	10125428	47	set:CommonFrame29 image:DressBack1
48	10125429	48	set:CommonFrame29 image:DressBack1
49	10125430	49	set:CommonFrame29 image:DressBack1
50	10125431	50	set:CommonFrame29 image:DressBack1
51	10125432	51	set:CommonFrame29 image:DressBack1
52	10125433	52	set:CommonFrame29 image:DressBack1
53	10125434	53	set:CommonFrame29 image:DressBack1
54	10125435	54	set:CommonFrame29 image:DressBack1
55	10125436	55	set:CommonFrame29 image:DressBack1
56	10125437	56	set:CommonFrame29 image:DressBack1
57	10125438	57	set:CommonFrame29 image:DressBack1
58	10125439	58	set:CommonFrame29 image:DressBack1
59	10125440	59	set:CommonFrame29 image:DressBack1
60	10125441	60	set:CommonFrame29 image:DressBack1
61	10125442	61	set:CommonFrame29 image:DressBack1
62	10125443	62	set:CommonFrame29 image:DressBack1
63	10125444	63	set:CommonFrame29 image:DressBack1
