INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1	38002811	#gFF0FA0tñ do L­ HÕp	#c993333Khä Thung dß¾i 5Xung ðÕo cø trúng tuy¬n TrÕch 1Cá:		1	0	-1	1	5	1	38002525	1	-1	-1	38002526	1	-1	-1	38002527	1	-1	-1	38002528	1	-1	-1	38002529	1	-1	-1
2	38002140	#gFF0FA0Kim Lû Vân Thß¶ng L­ HÕp	#c993333Khä Thung nhß sau 3Ki®n trang phøc m¯t trúng tuy¬n Thü thÑ nh¤t:		1	0	-1	1	3	1	10125498	1	-1	-1	10125499	1	-1	-1	10125500	1	-1	-1	0	0	0	0	0	0	0	0
3	38002141	#gFF0FA0Kim Lû Vân Thß¶ng L­ HÕp	#c993333Khä Thung nhß sau 3Ki®n trang phøc m¯t trúng tuy¬n Thü thÑ nh¤t:		1	0	-1	1	3	1	10125501	1	-1	-1	10125502	1	-1	-1	10125503	1	-1	-1	0	0	0	0	0	0	0	0
4	38002142	#gFF0FA0Kim Lû Vân Thß¶ng L­ HÕp	#c993333Khä Thung nhß sau 3Ki®n trang phøc m¯t trúng tuy¬n Thü thÑ nh¤t:		1	0	-1	1	3	1	10125504	1	-1	-1	10125505	1	-1	-1	10125506	1	-1	-1	0	0	0	0	0	0	0	0
5	38002143	#gFF0FA0Kim Lû Vân Thß¶ng L­ HÕp	#c993333Khä Thung nhß sau 3Ki®n trang phøc m¯t trúng tuy¬n Thü thÑ nh¤t:		1	0	-1	1	3	1	10125507	1	-1	-1	10125508	1	-1	-1	10125509	1	-1	-1	0	0	0	0	0	0	0	0
6	38002144	#gFF0FA0Kim Lû Vân Thß¶ng L­ HÕp	#c993333Khä Thung nhß sau 3Ki®n trang phøc m¯t trúng tuy¬n Thü thÑ nh¤t:		1	0	-1	1	3	1	10125510	1	-1	-1	10125511	1	-1	-1	10125512	1	-1	-1	0	0	0	0	0	0	0	0
7	38003104	#gFF0FA0Thiên Châu tinh höa HÕp	#c993333Khä Thung nhß sau 2Xung tài li®u trúng tuy¬n Thü thÑ nh¤t:		0	1	-1	0	2	1	21000044	1	-1	-1	21000045	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0
8	38003105	#gFF0FA0Thiên Châu Li®t Di®m HÕp	#c993333Khä Thung nhß sau 4Xung tài li®u trúng tuy¬n Thü thÑ nh¤t:		0	1	-1	0	4	1	21000044	2	-1	-1	21000045	2	-1	-1	21000046	1	-1	-1	21000047	1	-1	-1	0	0	0	0
9	38003106	#gFF0FA0Thiên Châu Thiên Viêm HÕp	#c993333Khä Thung nhß sau 5Xung tài li®u trúng tuy¬n Thü thÑ nh¤t:		0	1	-1	0	5	1	21000044	4	-1	-1	21000045	4	-1	-1	21000046	2	-1	-1	21000047	2	-1	-1	21000048	1	-1	-1
10	38003167	#gFF0FA0Kim Lû Vân Thß¶ng L­ HÕp	#c993333Khä Thung nhß sau 3Ki®n trang phøc m¯t trúng tuy¬n Thü thÑ nh¤t:		1	0	-1	1	3	1	10125708	1	-1	-1	10125709	1	-1	-1	10125710	1	-1	-1	0	0	0	0	0	0	0	0
11	38003168	#gFF0FA0Kim Lû Vân Thß¶ng L­ HÕp	#c993333Khä Thung nhß sau 3Ki®n trang phøc m¯t trúng tuy¬n Thü thÑ nh¤t:		1	0	-1	1	3	1	10125711	1	-1	-1	10125712	1	-1	-1	10125713	1	-1	-1	0	0	0	0	0	0	0	0
12	38003169	#gFF0FA0Kim Lû Vân Thß¶ng L­ HÕp	#c993333Khä Thung nhß sau 3Ki®n trang phøc m¯t trúng tuy¬n Thü thÑ nh¤t:		1	0	-1	1	3	1	10125714	1	-1	-1	10125715	1	-1	-1	10125716	1	-1	-1	0	0	0	0	0	0	0	0
13	38003170	#gFF0FA0Kim Lû Vân Thß¶ng L­ HÕp	#c993333Khä Thung nhß sau 3Ki®n trang phøc m¯t trúng tuy¬n Thü thÑ nh¤t:		1	0	-1	1	3	1	10125717	1	-1	-1	10125718	1	-1	-1	10125719	1	-1	-1	0	0	0	0	0	0	0	0
