INT	INT	INT	STRING	INT	STRING	STRING	STRING	STRING
INT	INT	INT	STRING	INT	STRING	STRING	STRING	STRING
0	4	10	Nhß thª nào Träo Y Sinh Tr¸ Li®u	0	#YnHß thª nào Träo Y Sinh Tr¸ Li®u? #r #r#WTÕi#gfff0f0ÐÕi Lý gì ðó cØa thành#g000000#WXØ Hæu#gfff0f0Giang H° Du Y mi­n phí#g000000#WC¤p#gfff0f010C¤p dß¾i#g000000#WÐích tân thü Tr¸ Li®u.			
1	10	11	Làm sao gia nh§p môn phái?	25	#YnHß thª nào gia nh§p môn phái? #r #r #Wthông qua#GÐÕi Lý(241, 136)#RD¸ch TrÕm Lão Bän Thôi Phùng CØu#W, #GCØu Châu thß½ng hµi(236, 131)#RTruy«n T¯ng Nhân Uông Hán#W(Dã có th¬ Án TabKi®n Tá Khai thành th¸ bän ð° Träo'D¸ch'Ðích chæ) có th¬ truy«n t¯ng Chí các môn phái, sau ðó Träo t×ng môn phái Ðích chß·ng môn có th¬ bái sß Nh§p Phái. #rnªu Nhçm suy nghî Giäi các môn phái Ðích ð£c s¡c có th¬ ði#GÐÕi Lý#WTräo#G(160, 156)#RTri®u Thiên Sß#Whöi, Tha s¨ cho Nhçm mµt cái v×a lòng Ðích ðáp án. #r #Wm£t khác, gia nh§p môn phái H§u, Träo môn phái Trung Ðích#gfff0f0nhi®m vø tuyên b¯ Nhân#g000000#W, có th¬ lînh#gfff0f0môn phái nhi®m vø#g000000#W, nh¾ rõ#gfff0f0m²i ngày Ðích Ti«n mµt vòng#g000000#Wnhi®m vø(mµt vòng cån cÑ c¤p b§c khác nhau Nhi khác nhau, ß¾c ch×ng Vi 10~20Cá nhi®m vø)#gfff0f0thß·ng cho Phiên Bµi#g000000#WNga! #r#Wcòn có, Träo chính mình môn phái giæa Ðích#gfff0f0kÛ nång truy«n thø Nhân#g000000#W, tiêu phí nh¤t ð¸nh Ðích#gfff0f0kinh nghi®m Hoà ti«n tài#g000000#Wcó th¬ H÷c T§p#gfff0f0b±n môn ðµc hæu chính là kÛ nång#g000000#W.			
2	10	30	Nhß thª nào H°i chính mình môn phái	0	#YnHß thª nào H°i chính mình môn phái? #r #r #Wthông qua#GTô Châu, LÕc Dß½ng, ÐÕi Lý#g000000#WHoà#GLâu Lan#g000000#WÐích#gfff0f0D¸ch TrÕm Lão Bän#g000000#WÐô có th¬ H°i chính mình Ðích môn phái. #gfff0f0Án TabKi®n#g000000#WTá Khai bän ð°, có th¬ ðè lÕi ThØ Tiêu Hæu Ki®n Ðà Ðµng tìm#gfff0f0 'D¸ch'chæ#g000000#WÐích ð¸a phß½ng. #r#GÐÕi Lý#g000000#WtrÕm d¸ch t÷a ðµ: #G(241, 136)#g000000#W. #r#GTô Châu#g000000#WtrÕm d¸ch t÷a ðµ: #G(111, 160)#g000000#W, #G(239, 128)#g000000#W. #r#r#GLÕc Dß½ng#g000000#WtrÕm d¸ch t÷a ðµ: #G(139, 182)#g000000#W, #G(236, 131)#g000000#W. #r#GLâu Lan#g000000#WtrÕm d¸ch t÷a ðµ: #G(285, 130)#g000000#W. #r			
3	10	20	Nhß thª nào H÷c T§p môn phái kÛ nång	28	#YnHß thª nào H÷c T§p môn phái kÛ nång? #r #rTräo chính mình môn phái giæa Ðích#gfff0f0kÛ nång truy«n thø Nhân#g000000#W, tIêu phí nh¤t ð¸nh Ðích#gfff0f0kinh nghi®m Hoà ti«n tài#g000000#Wcó th¬ H÷c T§p#gfff0f0b±n môn ðµc hæu chính là kÛ nång#g000000#W.			
4	1	20	Kinh nghi®m Ði«u Mãn H§u nhß thª nào thång c¤p	0	#YtH§p c¤p v« sau kinh nghi®m Ði«u Mãn H§u nhß thª nào thång c¤p? #r #r #WÐang Nhçm phát hi®n Nhçm mau l© Lan bên trên Ðích#gfff0f0kinh nghi®m Ði«u#g000000#WMãn H§u, Ði¬m Kích màn hình Tä HÕ Giác Ðích#gfff0f0nhân v§t#g000000#Wcái nút(ho£c là Án#gfff0f0ALT+CKi®n#g000000#WTá Khai), tiªn vào nhân v§t m£t biên H§u, xem xét#gfff0f0có ðßþc kinh nghi®m#g000000#WHoà#gfff0f0thång c¤p kinh nghi®m#g000000#WLßþng HÕng, nªu#gfff0f0có ðßþc kinh nghi®m#g000000#Wðã#gfff0f0tß½ng ðß½ng ho£c là#gfff0f0l¾n h½n thång c¤p kinh nghi®m#g000000#W, NHi Nhçm Hñu hy v÷ng#gfff0f0sØ døng kinh nghi®m thång c¤p#g000000#Wtrong l¶i nói(kinh nghi®m Dã có th¬ dùng ð¬ H÷c T§p cuµc s¯ng kÛ nång), Ði¬m Kích B±n m£t biên#gfff0f0Hæu HÕ Giác Sß TØ Ð¥u#g000000#W(kinh nghi®m Mãn H§u Sß TØ Ð¥u Hµi bi¬u hi®n#gfff0f0thång c¤p#g000000#Whai chæ) tiªn hành thång c¤p.			
5	11	120	Nhß thª nào gia nh§p bang phái	26	#YnHß thª nào gia nh§p bang phái? #r #r#WNhçm có th¬ Ðáo#GLÕc Dß½ng(140, 95)#RPhÕm Thu¥n Nhân#W, #GTô Châu(226, 185)#RPhÕm Thu¥n Tuý#W, #GÐÕi Lý(181, 119)#RPhÕm Thu¥n L­#WXØ(Dã có th¬ Án TabKi®n Tá Khai Nhçm ch², n½i thành th¸ Ðích bän ð° Träo'#GBang#W'Ðích chæ), Ði¬m Kích Ki Dß Chi ð¯i thoÕi, TÕi b¡n ra Ðích bang phái Li®t Bi¬u giæa có th¬ lña ch÷n mµt bang phái gia nh§p, gia nh§p bang phái có th¬ SÑ Nhçm Ðích trò ch½i cuµc s¯ng càng thêm muôn màu muôn vë!			
6	30	35	Nhß thª nào H÷c T§p b±n môn chï có cuµc s¯ng kÛ nång	4	#YnHß thª nào H÷c T§p b±n môn chï có cuµc s¯ng kÛ nång? #WTräo#G(128, 86)#RHuy«n Ðµ #Wcó th¬ H÷c T§p Thiªu Lâm ðµc hæu chính là#gfff0f0cuµc s¯ng kÛ nång#g000000#W, TRäo#G(135, 90)#RHuy«n Minh#Wcó th¬ H÷c T§p#gfff0f0phø trþ kÛ nång#g000000#W. #r #r#Yphát ra ánh sáng Vi Phái Thiªu Lâm ðµc môn M§t KÛ, sØ døng H§u có th¬ cho ngß½i mang ðªn mµt ít ð£c bi®t Ðích v§t ph¦m Nga! #r #r#cfabf8fphát ra ánh sáng kÛ nång: #r#WThi¬u Lâm Ð® TØ Ðáo#G(128, 86)#RHuy«n Ðµ#Wn½i ðó, có th¬ H÷c T§p#gfff0f0phát ra ánh sáng kÛ nång#g000000#W! #r #r#cfabf8fH÷c T§p phát ra ánh sáng kÛ nång Ðích ði«u ki®n Th¸: #r#Wngß¶i ch½i Ðích c¤p b§c ðÕt t¾i#gfff0f030C¤p#g000000#W, cûng vì#gfff0f0Thi¬u Lâm Ð® TØ#g000000#Wcó th¬. #r #rphát ra ánh sáng kÛ nång có th¬ sinh sän mµt ít ð£c bi®t Ðích v§t ph¦m. Ðß½ng nhiên m² ta th¶i ði¬m có chút nhi®m vø cûng s¨ ngçu nhiên Ðích Yêu mµt ít nhß v§y Ðích v§t ph¦m. Dßþc li®u có th¬ TÕi Ph§t „n Ðích thêm vào HÕ tr· nên th¥n kÏ, mµt ít dßþc li®u Gia mµt cái Ph§t „n, có th¬ chª tÕo ra Lai ph§t giáo Ðích ðµc môn Bí Dßþc. Này ðó Bí Dßþc là · NPCXØ mua không ðßþc Ðích Nga. B±n kÛ nång Khä tiêu phí kinh nghi®m Hoà ti«n tài H÷c T§p h½n næa thång c¤p. #r #r#Yph§t hi®u Vi phát ra ánh sáng Ðích phø trþ M§t KÛ, nªu H÷c T§p Li­u phát ra ánh sáng, không b¢ng H÷c T§p ph§t hi®u nh¡c t¾i Cao phát ra ánh sáng Ðích nång lñc! #r #r#cfabf8fph§t hi®u kÛ nång: #r#WThi¬u Lâm Ð® TØ Ðáo#G(135, 90)#RHuy«n Minh#Wn½i ðó, có th¬ H÷c T§p#gfff0f0phát ra ánh sáng kÛ nång#g000000#W! #r #r#cfabf8fH÷c T§p ph§t hi®u kÛ nång Ðích ði«u ki®n Th¸: #r#Wngß¶i ch½i Vi#gfff0f0Thi¬u Lâm Ð® TØ#g000000#Wcó th¬. #r #rphø trþ phát ra ánh sáng Ðích kÛ nång, ð« cao phát ra ánh sáng Ðích xác xu¤t thành công, Thiªu Lâm ðµc hæu chính là cuµc s¯ng kÛ nång. Khä tiêu phí kinh nghi®m Hoà ti«n tài H÷c T§p h½n næa thång c¤p. H÷c T§p ph§t hi®u có th¬ r½i ch§m lÕi phát ra ánh sáng Th¶i S· yêu c¥u Ðích sÑc s¯ng, ph§t hi®u Ðích c¤p b§c càng cao, m²i l¥n phát ra ánh sáng S· Yêu hao phí Ðích sÑc s¯ng càng ít.			
7	30	35	Nhß thª nào H÷c T§p b±n môn chï có cuµc s¯ng kÛ nång	5	#YnHß thª nào H÷c T§p b±n môn chï có cuµc s¯ng kÛ nång? #WTräo#G(87, 61)#RThù ÐÕo Nhân #Wcó th¬ H÷c T§p Minh Giáo ðµc hæu chính là#gfff0f0cuµc s¯ng kÛ nång#g000000#W, TRäo#G(87, 58)#RPhß½ng Thiên Ð¸nh #Wcó th¬ H÷c T§p#gfff0f0phø trþ kÛ nång#g000000#W. #r #r#YThánh Hoä Thu§t Vi Minh Giáo ðµc môn M§t KÛ, thi tri¬n H§u Khä luy®n Xu¤t Canh th¥n kÏ Ðích v§t ph¦m! #r #r#cfabf8fThánh Hoä Thu§t: #r#WMinh Giáo Ð® TØ Ðáo#G(87, 61)#RThù ÐÕo Nhân#Wn½i ðó, có th¬ H÷c T§p#gfff0f0Thánh Hoä Thu§t#g000000#W! #r #r#cfabf8fH÷c T§p Thánh Hoä Thu§t Ðích ði«u ki®n Th¸: #r#Wngß¶i ch½i Ðích c¤p b§c ðÕt t¾i#gfff0f030C¤p#g000000#W, cûng vì#gfff0f0Minh Giáo Ð® TØ#g000000#Wcó th¬. #r #rMinh Giáo ðµc hæu chính là môn phái cuµc s¯ng kÛ nång, lþi døng#gfff0f0Hoä Ðan#g000000#Wcó th¬ Tß¾ng dßþc thäo luy®n Thành h½n th¥n kÏ Ðích v§t ph¦m. Ðß½ng nhiên m² ta th¶i ði¬m có chút nhi®m vø cûng s¨ ngçu nhiên Ðích Yêu mµt ít nhß v§y Ðích v§t ph¦m. B±n kÛ nång Khä tiêu phí kinh nghi®m Hoà ti«n tài H÷c T§p h½n næa thång c¤p. #r #r#YThái Hoä Thu§t Vi Thánh Hoä Thu§t Ðích phø trþ M§t KÛ, nªu H÷c T§p Li­u Thánh Hoä Thu§t, không b¢ng H÷c T§p Thái Hoä Thu§t nh¡c t¾i Cao Thánh Hoä Thu§t Ðích nång lñc! #r #r#cfabf8fThái Hoä Thu§t: #r#WMinh Giáo Ð® TØ Ðáo#G(87, 58)#RPhß½ng Thiên Ð¸nh #Wn½i ðó, có th¬ H÷c T§p#gfff0f0Thái Hoä Thu§t#g000000#W! #r #r#cfabf8fH÷c T§p Thái Hoä Thu§t Ðích ði«u ki®n Th¸: #r#Wngß¶i ch½i Vi#gfff0f0Minh Giáo Ð® TØ#g000000#Wcó th¬. #r #rH÷c T§p Thái Hoä Thu§t có th¬ r½i ch§m lÕi sØ døng Thánh Hoä Thu§t S· yêu c¥u Ðích sÑc s¯ng, Thái Hoä Thu§t Ðích c¤p b§c càng cao, m²i l¥n sØ døng Thánh Hoä Thu§t Th¶i S· Yêu hao phí Ðích sÑc s¯ng càng ít. M£t khác còn có th¬ tång lên nh¤t ð¸nh Ðích xác xu¤t thành công. B±n kÛ nång Khä tiêu phí kinh nghi®m Hoà ti«n tài H÷c T§p h½n næa thång c¤p.			
8	30	35	Nhß thª nào H÷c T§p b±n môn chï có cuµc s¯ng kÛ nång	6	#YnHß thª nào H÷c T§p b±n môn chï có cuµc s¯ng kÛ nång? #WTräo#G(114, 91)#RNgô Trß¶ng Phong#Wcó th¬ H÷c T§p Cái Bang ðµc hæu chính là#gfff0f0cuµc s¯ng kÛ nång#g000000#W, TRäo#G(131, 83)#RThßþng Quan Trß¶ng Vû#Wcó th¬ H÷c T§p#gfff0f0phø trþ kÛ nång#g000000#W. #r #r#YNhßÞng TØu Vi Cái Bang ðµc môn M§t KÛ, sØ døng Cai kÛ nång có th¬ sän xu¤t xu¤t th¥n C½ Ðích Dßþc TØu! #r #r#cfabf8fNhßÞng TØu: #r#WCái Bang Ð® TØ KhÑ#G(114, 91)#RNgô Trß¶ng Phong#Wn½i ðó, có th¬ H÷c T§p#gfff0f0NhßÞng TØu#g000000#W! #r #r#cfabf8fH÷c T§p NhßÞng TØu Ðích ði«u ki®n Th¸: #r#Wngß¶i ch½i Ðích c¤p b§c ðÕt t¾i#gfff0f030C¤p#g000000#W, cûng vì#gfff0f0Cái Bang Ð® TØ#g000000#Wcó th¬. #r #rCái Bang ðµc hæu chính là môn phái cuµc s¯ng kÛ nång, Dî TØu Vi nguyên li®u, gia nh§p mµt ít thäo dßþc Hoà mµt ít sâu, có th¬ sän xu¤t xu¤t th¥n C½ Ðích Dßþc TØu Lai. Dßþc TØu Tuy Häo, cûng không th¬ mê rßþu Nga. M² ta th¶i ði¬m có chút nhi®m vø cûng s¨ ngçu nhiên Ðích Yêu mµt ít nhß v§y Ðích v§t ph¦m. B±n kÛ nång Khä tiêu phí kinh nghi®m Hoà ti«n tài H÷c T§p h½n næa thång c¤p. #r #r#Ylàn ði®u 'hoa sen røng' Vi NhßÞng TØu Ðích phø trþ M§t KÛ, nªu H÷c T§p Li­u NhßÞng TØu, không b¢ng H÷c T§p làn ði®u 'hoa sen røng' nh¡c t¾i Cao NhßÞng TØu Ðích nång lñc! #r #r#cfabf8flàn ði®u 'hoa sen røng': #r#WCái Bang Ð® TØ KhÑ#G(131, 83)#RThßþng Quan Trß¶ng Vû#Wn½i ðó, có th¬ H÷c T§p#gfff0f0làn ði®u 'hoa sen røng'#g000000#W! #r #r#cfabf8fH÷c T§p làn ði®u 'hoa sen røng' Ðích ði«u ki®n Th¸: #r#Wngß¶i ch½i Vi#gfff0f0Cái Bang Ð® TØ#g000000#Wcó th¬. #r #rH÷c T§p làn ði®u 'hoa sen røng' có th¬ r½i ch§m lÕi NhßÞng TØu Th¶i S· yêu c¥u Ðích sÑc s¯ng, làn ði®u 'hoa sen røng' Ðích c¤p b§c càng cao, m²i l¥n NhßÞng TØu Th¶i S· Yêu hao phí Ðích sÑc s¯ng càng ít. M£t khác còn có th¬ tång lên nh¤t ð¸nh Ðích xác xu¤t thành công. B±n kÛ nång Khä tiêu phí kinh nghi®m Hoà ti«n tài H÷c T§p h½n næa thång c¤p.			
