INT	INT	INT	INT	STRING
INT	INT	INT	INT	STRING
1	18123	100	0	Ngû NhÕc Cänh phòng nghï
2	18124	101	0	Ngû NhÕc Cänh phòng nghï
3	18125	102	0	Ngû NhÕc Cänh phòng nghï
4	18126	103	0	Ngû NhÕc Cänh phòng nghï
5	18127	104	0	Ngû NhÕc Cänh phòng nghï
6	18128	105	0	Ngû NhÕc Cänh phòng nghï
7	18129	106	0	Ngû NhÕc Cänh phòng nghï
8	18130	107	0	Ngû NhÕc Cänh phòng nghï
9	18131	108	0	Ngû NhÕc Cänh phòng nghï
10	18132	109	0	Ngû NhÕc Cänh phòng nghï
11	18133	110	0	Ngû NhÕc Cänh phòng nghï
12	18134	111	0	Ngû NhÕc Cänh phòng nghï
13	18135	112	0	Ngû NhÕc Cänh phòng nghï
14	18136	113	0	Ngû NhÕc Cänh phòng nghï
15	18137	114	0	Ngû NhÕc Cänh phòng nghï
16	18138	115	0	Ngû NhÕc Cänh phòng nghï
17	18139	116	0	Ngû NhÕc Cänh phòng nghï
18	18140	117	0	Ngû NhÕc Cänh phòng nghï
19	18141	118	0	Ngû NhÕc Cänh phòng nghï
20	18142	119	0	Ngû NhÕc Cänh phòng nghï
21	18143	100	1	Ngû NhÕc Cänh phòng nghï
22	18144	101	1	Ngû NhÕc Cänh phòng nghï
23	18145	102	1	Ngû NhÕc Cänh phòng nghï
24	18146	103	1	Ngû NhÕc Cänh phòng nghï
25	18147	104	1	Ngû NhÕc Cänh phòng nghï
26	18148	105	1	Ngû NhÕc Cänh phòng nghï
27	18149	106	1	Ngû NhÕc Cänh phòng nghï
28	18150	107	1	Ngû NhÕc Cänh phòng nghï
29	18151	108	1	Ngû NhÕc Cänh phòng nghï
30	18152	109	1	Ngû NhÕc Cänh phòng nghï
31	18153	110	1	Ngû NhÕc Cänh phòng nghï
32	18154	111	1	Ngû NhÕc Cänh phòng nghï
33	18155	112	1	Ngû NhÕc Cänh phòng nghï
34	18156	113	1	Ngû NhÕc Cänh phòng nghï
35	18157	114	1	Ngû NhÕc Cänh phòng nghï
36	18158	115	1	Ngû NhÕc Cänh phòng nghï
37	18159	116	1	Ngû NhÕc Cänh phòng nghï
38	18160	117	1	Ngû NhÕc Cänh phòng nghï
39	18161	118	1	Ngû NhÕc Cänh phòng nghï
40	18162	119	1	Ngû NhÕc Cänh phòng nghï
