INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
0	0	40005077	11700	11115	9945	7	14625	40005051	8000	7680	7040	2	11200	40005052	5500	5335	4950	4	6325
1	3	40005053	12500	11875	10625	8	15625	40005054	8800	8448	7744	5	12320	40005055	7000	6790	6300	4	7140
2	4	40005059	12800	12160	10880	8	19200	40005060	8500	8160	7480	6	11900	40005061	5500	5335	4950	1	5610
3	1	40005056	11700	11115	9945	8	14625	40005057	7500	7200	6600	0	10500	40005058	4500	4365	4050	5	4590
4	5	40005062	14500	13775	12325	4	18125	40005063	11000	10560	9680	6	11220	40005064	9500	9215	8550	0	14250
5	6	40005065	13600	12920	11560	4	17000	40005066	10000	9600	8800	8	14000	40005067	8500	8245	7650	2	8670
6	2	40005068	11700	11115	9945	5	14625	40005069	7000	6720	6160	1	9800	40005070	4500	4365	4050	7	4590
7	7	40005071	12500	11875	10625	6	15625	40005072	8000	7680	7040	5	11200	40005073	5500	5335	4950	3	7150
8	8	40005074	12000	11400	10200	2	15000	40005075	7500	7200	6600	7	7650	40005076	5500	5335	4950	0	5610
