INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING
INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING
0	苍狼啸月·勇	5	-1	-1	-1	-1	-1	19	332	-1	35	430	-1	42	17	-1	100	32448	猛击技能释放时额外增加外功攻击（1星套装效果）
1	苍狼啸月·勇	5	-1	-1	-1	-1	-1	19	664	-1	35	859	-1	42	33	-1	100	32449	猛击技能释放时额外增加外功攻击（2星套装效果）
2	苍狼啸月·勇	5	-1	-1	-1	-1	-1	19	996	-1	35	1288	-1	42	49	-1	100	32450	猛击技能释放时额外增加外功攻击（3星套装效果）
3	苍狼啸月·勇	5	-1	-1	-1	-1	-1	19	1327	-1	35	1717	-1	42	66	-1	100	32451	猛击技能释放时额外增加外功攻击（4星套装效果）
4	苍狼啸月·勇	5	-1	-1	-1	-1	-1	19	1659	-1	35	2146	-1	42	82	-1	100	32452	猛击技能释放时额外增加外功攻击（5星套装效果）
5	苍狼啸月·狡	5	-1	-1	-1	-1	-1	35	430	-1	0	609	-1	42	17	-1	100	32538	增加摔绊技能对目标的生效几率（1星套装效果）
6	苍狼啸月·狡	5	-1	-1	-1	-1	-1	35	859	-1	0	1217	-1	42	33	-1	100	32539	增加摔绊技能对目标的生效几率（2星套装效果）
7	苍狼啸月·狡	5	-1	-1	-1	-1	-1	35	1288	-1	0	1825	-1	42	49	-1	100	32540	增加摔绊技能对目标的生效几率（3星套装效果）
8	苍狼啸月·狡	5	-1	-1	-1	-1	-1	35	1717	-1	0	2434	-1	42	66	-1	100	32541	增加摔绊技能对目标的生效几率（4星套装效果）
9	苍狼啸月·狡	5	-1	-1	-1	-1	-1	35	2146	-1	0	3042	-1	42	82	-1	100	32542	增加摔绊技能对目标的生效几率（5星套装效果）
10	苍狼啸月·慎	5	-1	-1	-1	-1	-1	35	430	-1	0	609	-1	42	17	-1	100	32556	增加虚弱技能对目标的生效几率（1星套装效果）
11	苍狼啸月·慎	5	-1	-1	-1	-1	-1	35	859	-1	0	1217	-1	42	33	-1	100	32557	增加虚弱技能对目标的生效几率（2星套装效果）
12	苍狼啸月·慎	5	-1	-1	-1	-1	-1	35	1288	-1	0	1825	-1	42	49	-1	100	32558	增加虚弱技能对目标的生效几率（3星套装效果）
13	苍狼啸月·慎	5	-1	-1	-1	-1	-1	35	1717	-1	0	2434	-1	42	66	-1	100	32559	增加虚弱技能对目标的生效几率（4星套装效果）
14	苍狼啸月·慎	5	-1	-1	-1	-1	-1	35	2146	-1	0	3042	-1	42	82	-1	100	32560	增加虚弱技能对目标的生效几率（5星套装效果）
15	黄雀戏水·怯	5	-1	-1	-1	-1	-1	26	332	-1	35	430	-1	43	17	-1	100	32484	烈火咒、玄雷咒、血毒咒、寒冰咒释放时额外增加对应的属性攻击（1星套装效果）
16	黄雀戏水·怯	5	-1	-1	-1	-1	-1	26	664	-1	35	859	-1	43	33	-1	100	32485	烈火咒、玄雷咒、血毒咒、寒冰咒释放时额外增加对应的属性攻击（2星套装效果）
17	黄雀戏水·怯	5	-1	-1	-1	-1	-1	26	996	-1	35	1288	-1	43	49	-1	100	32486	烈火咒、玄雷咒、血毒咒、寒冰咒释放时额外增加对应的属性攻击（3星套装效果）
18	黄雀戏水·怯	5	-1	-1	-1	-1	-1	26	1327	-1	35	1717	-1	43	66	-1	100	32487	烈火咒、玄雷咒、血毒咒、寒冰咒释放时额外增加对应的属性攻击（4星套装效果）
19	黄雀戏水·怯	5	-1	-1	-1	-1	-1	26	1659	-1	35	2146	-1	43	82	-1	100	32488	烈火咒、玄雷咒、血毒咒、寒冰咒释放时额外增加对应的属性攻击（5星套装效果）
20	黄雀戏水·狡	5	-1	-1	-1	-1	-1	35	430	-1	0	609	-1	43	17	-1	100	32538	增加摔绊技能对目标的生效几率（1星套装效果）
21	黄雀戏水·狡	5	-1	-1	-1	-1	-1	35	859	-1	0	1217	-1	43	33	-1	100	32539	增加摔绊技能对目标的生效几率（2星套装效果）
22	黄雀戏水·狡	5	-1	-1	-1	-1	-1	35	1288	-1	0	1825	-1	43	49	-1	100	32540	增加摔绊技能对目标的生效几率（3星套装效果）
23	黄雀戏水·狡	5	-1	-1	-1	-1	-1	35	1717	-1	0	2434	-1	43	66	-1	100	32541	增加摔绊技能对目标的生效几率（4星套装效果）
24	黄雀戏水·狡	5	-1	-1	-1	-1	-1	35	2146	-1	0	3042	-1	43	82	-1	100	32542	增加摔绊技能对目标的生效几率（5星套装效果）
25	黄雀戏水·慎	5	-1	-1	-1	-1	-1	35	430	-1	0	609	-1	43	17	-1	100	32556	增加虚弱技能对目标的生效几率（1星套装效果）
26	黄雀戏水·慎	5	-1	-1	-1	-1	-1	35	859	-1	0	1217	-1	43	33	-1	100	32557	增加虚弱技能对目标的生效几率（2星套装效果）
27	黄雀戏水·慎	5	-1	-1	-1	-1	-1	35	1288	-1	0	1825	-1	43	49	-1	100	32558	增加虚弱技能对目标的生效几率（3星套装效果）
28	黄雀戏水·慎	5	-1	-1	-1	-1	-1	35	1717	-1	0	2434	-1	43	66	-1	100	32559	增加虚弱技能对目标的生效几率（4星套装效果）
29	黄雀戏水·慎	5	-1	-1	-1	-1	-1	35	2146	-1	0	3042	-1	43	82	-1	100	32560	增加虚弱技能对目标的生效几率（5星套装效果）
30	乌豚望日·忠	5	-1	-1	-1	-1	-1	22	328	-1	29	328	-1	0	609	-1	100	32493	增加灵动技能对珍兽自己的生效几率（1星套装效果）
31	乌豚望日·忠	5	-1	-1	-1	-1	-1	22	656	-1	29	656	-1	0	1217	-1	100	32494	增加灵动技能对珍兽自己的生效几率（2星套装效果）
32	乌豚望日·忠	5	-1	-1	-1	-1	-1	22	983	-1	29	983	-1	0	1825	-1	100	32495	增加灵动技能对珍兽自己的生效几率（3星套装效果）
33	乌豚望日·忠	5	-1	-1	-1	-1	-1	22	1311	-1	29	1311	-1	0	2434	-1	100	32496	增加灵动技能对珍兽自己的生效几率（4星套装效果）
34	乌豚望日·忠	5	-1	-1	-1	-1	-1	22	1638	-1	29	1638	-1	0	3042	-1	100	32497	增加灵动技能对珍兽自己的生效几率（5星套装效果）
35	乌豚望日·慎	5	-1	-1	-1	-1	-1	46	17	-1	35	430	-1	0	609	-1	100	32556	增加虚弱技能对目标的生效几率（1星套装效果）
36	乌豚望日·慎	5	-1	-1	-1	-1	-1	46	33	-1	35	859	-1	0	1217	-1	100	32557	增加虚弱技能对目标的生效几率（2星套装效果）
37	乌豚望日·慎	5	-1	-1	-1	-1	-1	46	49	-1	35	1288	-1	0	1825	-1	100	32558	增加虚弱技能对目标的生效几率（3星套装效果）
38	乌豚望日·慎	5	-1	-1	-1	-1	-1	46	66	-1	35	1717	-1	0	2434	-1	100	32559	增加虚弱技能对目标的生效几率（4星套装效果）
39	乌豚望日·慎	5	-1	-1	-1	-1	-1	46	82	-1	35	2146	-1	0	3042	-1	100	32560	增加虚弱技能对目标的生效几率（5星套装效果）
40	白兔隐林·慎	5	-1	-1	-1	-1	-1	35	430	-1	46	17	-1	0	609	-1	100	32556	增加虚弱技能对目标的生效几率（1星套装效果）
41	白兔隐林·慎	5	-1	-1	-1	-1	-1	35	859	-1	46	33	-1	0	1217	-1	100	32557	增加虚弱技能对目标的生效几率（2星套装效果）
42	白兔隐林·慎	5	-1	-1	-1	-1	-1	35	1288	-1	46	49	-1	0	1825	-1	100	32558	增加虚弱技能对目标的生效几率（3星套装效果）
43	白兔隐林·慎	5	-1	-1	-1	-1	-1	35	1717	-1	46	66	-1	0	2434	-1	100	32559	增加虚弱技能对目标的生效几率（4星套装效果）
44	白兔隐林·慎	5	-1	-1	-1	-1	-1	35	2146	-1	46	82	-1	0	3042	-1	100	32560	增加虚弱技能对目标的生效几率（5星套装效果）
45	猛虎撼山·勇	5	-1	-1	-1	-1	-1	19	374	-1	35	483	-1	42	19	-1	100	32439	增加猛击技能的释放几率（1星套装效果）
46	猛虎撼山·勇	5	-1	-1	-1	-1	-1	19	748	-1	35	965	-1	42	37	-1	100	32440	增加猛击技能的释放几率（2星套装效果）
47	猛虎撼山·勇	5	-1	-1	-1	-1	-1	19	1122	-1	35	1447	-1	42	55	-1	100	32441	增加猛击技能的释放几率（3星套装效果）
48	猛虎撼山·勇	5	-1	-1	-1	-1	-1	19	1495	-1	35	1929	-1	42	74	-1	100	32442	增加猛击技能的释放几率（4星套装效果）
49	猛虎撼山·勇	5	-1	-1	-1	-1	-1	19	1869	-1	35	2411	-1	42	92	-1	100	32443	增加猛击技能的释放几率（5星套装效果）
50	猛虎撼山·狡	5	-1	-1	-1	-1	-1	35	483	-1	0	687	-1	42	19	-1	100	32520	增加反震技能对目标的生效几率（1星套装效果）
51	猛虎撼山·狡	5	-1	-1	-1	-1	-1	35	965	-1	0	1373	-1	42	37	-1	100	32521	增加反震技能对目标的生效几率（2星套装效果）
52	猛虎撼山·狡	5	-1	-1	-1	-1	-1	35	1447	-1	0	2059	-1	42	55	-1	100	32522	增加反震技能对目标的生效几率（3星套装效果）
53	猛虎撼山·狡	5	-1	-1	-1	-1	-1	35	1929	-1	0	2745	-1	42	74	-1	100	32523	增加反震技能对目标的生效几率（4星套装效果）
54	猛虎撼山·狡	5	-1	-1	-1	-1	-1	35	2411	-1	0	3431	-1	42	92	-1	100	32524	增加反震技能对目标的生效几率（5星套装效果）
55	猛虎撼山·慎	5	-1	-1	-1	-1	-1	35	483	-1	0	687	-1	42	19	-1	100	32574	增加吸气技能对目标的生效几率（1星套装效果）
56	猛虎撼山·慎	5	-1	-1	-1	-1	-1	35	965	-1	0	1373	-1	42	37	-1	100	32575	增加吸气技能对目标的生效几率（2星套装效果）
57	猛虎撼山·慎	5	-1	-1	-1	-1	-1	35	1447	-1	0	2059	-1	42	55	-1	100	32576	增加吸气技能对目标的生效几率（3星套装效果）
58	猛虎撼山·慎	5	-1	-1	-1	-1	-1	35	1929	-1	0	2745	-1	42	74	-1	100	32577	增加吸气技能对目标的生效几率（4星套装效果）
59	猛虎撼山·慎	5	-1	-1	-1	-1	-1	35	2411	-1	0	3431	-1	42	92	-1	100	32578	增加吸气技能对目标的生效几率（5星套装效果）
60	飞鹰翔空·怯	5	-1	-1	-1	-1	-1	26	374	-1	35	483	-1	43	19	-1	100	32475	痛击技能释放时额外增加内功攻击（1星套装效果）
61	飞鹰翔空·怯	5	-1	-1	-1	-1	-1	26	748	-1	35	965	-1	43	37	-1	100	32476	痛击技能释放时额外增加内功攻击（2星套装效果）
62	飞鹰翔空·怯	5	-1	-1	-1	-1	-1	26	1122	-1	35	1447	-1	43	55	-1	100	32477	痛击技能释放时额外增加内功攻击（3星套装效果）
63	飞鹰翔空·怯	5	-1	-1	-1	-1	-1	26	1495	-1	35	1929	-1	43	74	-1	100	32478	痛击技能释放时额外增加内功攻击（4星套装效果）
64	飞鹰翔空·怯	5	-1	-1	-1	-1	-1	26	1869	-1	35	2411	-1	43	92	-1	100	32479	痛击技能释放时额外增加内功攻击（5星套装效果）
65	飞鹰翔空·狡	5	-1	-1	-1	-1	-1	35	483	-1	0	687	-1	43	19	-1	100	32520	增加反震技能对目标的生效几率（1星套装效果）
66	飞鹰翔空·狡	5	-1	-1	-1	-1	-1	35	965	-1	0	1373	-1	43	37	-1	100	32521	增加反震技能对目标的生效几率（2星套装效果）
67	飞鹰翔空·狡	5	-1	-1	-1	-1	-1	35	1447	-1	0	2059	-1	43	55	-1	100	32522	增加反震技能对目标的生效几率（3星套装效果）
68	飞鹰翔空·狡	5	-1	-1	-1	-1	-1	35	1929	-1	0	2745	-1	43	74	-1	100	32523	增加反震技能对目标的生效几率（4星套装效果）
69	飞鹰翔空·狡	5	-1	-1	-1	-1	-1	35	2411	-1	0	3431	-1	43	92	-1	100	32524	增加反震技能对目标的生效几率（5星套装效果）
70	飞鹰翔空·慎	5	-1	-1	-1	-1	-1	35	483	-1	0	687	-1	43	19	-1	100	32574	增加吸气技能对目标的生效几率（1星套装效果）
71	飞鹰翔空·慎	5	-1	-1	-1	-1	-1	35	965	-1	0	1373	-1	43	37	-1	100	32575	增加吸气技能对目标的生效几率（2星套装效果）
72	飞鹰翔空·慎	5	-1	-1	-1	-1	-1	35	1447	-1	0	2059	-1	43	55	-1	100	32576	增加吸气技能对目标的生效几率（3星套装效果）
73	飞鹰翔空·慎	5	-1	-1	-1	-1	-1	35	1929	-1	0	2745	-1	43	74	-1	100	32577	增加吸气技能对目标的生效几率（4星套装效果）
74	飞鹰翔空·慎	5	-1	-1	-1	-1	-1	35	2411	-1	0	3431	-1	43	92	-1	100	32578	增加吸气技能对目标的生效几率（5星套装效果）
75	巨熊哮路·忠	5	-1	-1	-1	-1	-1	22	369	-1	29	369	-1	0	687	-1	100	32511	增加忠心技能对玩家的生效几率（1星套装效果）
76	巨熊哮路·忠	5	-1	-1	-1	-1	-1	22	738	-1	29	738	-1	0	1373	-1	100	32512	增加忠心技能对玩家的生效几率（2星套装效果）
77	巨熊哮路·忠	5	-1	-1	-1	-1	-1	22	1107	-1	29	1107	-1	0	2059	-1	100	32513	增加忠心技能对玩家的生效几率（3星套装效果）
78	巨熊哮路·忠	5	-1	-1	-1	-1	-1	22	1476	-1	29	1476	-1	0	2745	-1	100	32514	增加忠心技能对玩家的生效几率（4星套装效果）
79	巨熊哮路·忠	5	-1	-1	-1	-1	-1	22	1845	-1	29	1845	-1	0	3431	-1	100	32515	增加忠心技能对玩家的生效几率（5星套装效果）
80	巨熊哮路·慎	5	-1	-1	-1	-1	-1	46	19	-1	35	483	-1	0	687	-1	100	32574	增加吸气技能对目标的生效几率（1星套装效果）
81	巨熊哮路·慎	5	-1	-1	-1	-1	-1	46	37	-1	35	965	-1	0	1373	-1	100	32575	增加吸气技能对目标的生效几率（2星套装效果）
82	巨熊哮路·慎	5	-1	-1	-1	-1	-1	46	55	-1	35	1447	-1	0	2059	-1	100	32576	增加吸气技能对目标的生效几率（3星套装效果）
83	巨熊哮路·慎	5	-1	-1	-1	-1	-1	46	74	-1	35	1929	-1	0	2745	-1	100	32577	增加吸气技能对目标的生效几率（4星套装效果）
84	巨熊哮路·慎	5	-1	-1	-1	-1	-1	46	92	-1	35	2411	-1	0	3431	-1	100	32578	增加吸气技能对目标的生效几率（5星套装效果）
85	奔马逐风·慎	5	-1	-1	-1	-1	-1	35	483	-1	46	19	-1	0	687	-1	100	32574	增加吸气技能对目标的生效几率（1星套装效果）
86	奔马逐风·慎	5	-1	-1	-1	-1	-1	35	965	-1	46	37	-1	0	1373	-1	100	32575	增加吸气技能对目标的生效几率（2星套装效果）
87	奔马逐风·慎	5	-1	-1	-1	-1	-1	35	1447	-1	46	55	-1	0	2059	-1	100	32576	增加吸气技能对目标的生效几率（3星套装效果）
88	奔马逐风·慎	5	-1	-1	-1	-1	-1	35	1929	-1	46	74	-1	0	2745	-1	100	32577	增加吸气技能对目标的生效几率（4星套装效果）
89	奔马逐风·慎	5	-1	-1	-1	-1	-1	35	2411	-1	46	92	-1	0	3431	-1	100	32578	增加吸气技能对目标的生效几率（5星套装效果）
90	雄狮逆鳞·勇	5	-1	-1	-1	-1	-1	19	416	-1	35	536	-1	42	21	-1	100	32430	增加连击技能的释放几率（1星套装效果）
91	雄狮逆鳞·勇	5	-1	-1	-1	-1	-1	19	832	-1	35	1071	-1	42	41	-1	100	32431	增加连击技能的释放几率（2星套装效果）
92	雄狮逆鳞·勇	5	-1	-1	-1	-1	-1	19	1248	-1	35	1606	-1	42	61	-1	100	32432	增加连击技能的释放几率（3星套装效果）
93	雄狮逆鳞·勇	5	-1	-1	-1	-1	-1	19	1663	-1	35	2141	-1	42	82	-1	100	32433	增加连击技能的释放几率（4星套装效果）
94	雄狮逆鳞·勇	5	-1	-1	-1	-1	-1	19	2079	-1	35	2676	-1	42	102	-1	100	32434	增加连击技能的释放几率（5星套装效果）
95	雄狮逆鳞·狡	5	-1	-1	-1	-1	-1	35	536	-1	0	764	-1	42	21	-1	100	32529	增加反击技能对目标的生效几率（1星套装效果）
96	雄狮逆鳞·狡	5	-1	-1	-1	-1	-1	35	1071	-1	0	1528	-1	42	41	-1	100	32530	增加反击技能对目标的生效几率（2星套装效果）
97	雄狮逆鳞·狡	5	-1	-1	-1	-1	-1	35	1606	-1	0	2292	-1	42	61	-1	100	32531	增加反击技能对目标的生效几率（3星套装效果）
98	雄狮逆鳞·狡	5	-1	-1	-1	-1	-1	35	2141	-1	0	3056	-1	42	82	-1	100	32532	增加反击技能对目标的生效几率（4星套装效果）
99	雄狮逆鳞·狡	5	-1	-1	-1	-1	-1	35	2676	-1	0	3820	-1	42	102	-1	100	32533	增加反击技能对目标的生效几率（5星套装效果）
100	雄狮逆鳞·慎	5	-1	-1	-1	-1	-1	35	536	-1	0	764	-1	42	21	-1	100	32565	增加打怒技能对目标的生效几率（1星套装效果）
101	雄狮逆鳞·慎	5	-1	-1	-1	-1	-1	35	1071	-1	0	1528	-1	42	41	-1	100	32566	增加打怒技能对目标的生效几率（2星套装效果）
102	雄狮逆鳞·慎	5	-1	-1	-1	-1	-1	35	1606	-1	0	2292	-1	42	61	-1	100	32567	增加打怒技能对目标的生效几率（3星套装效果）
103	雄狮逆鳞·慎	5	-1	-1	-1	-1	-1	35	2141	-1	0	3056	-1	42	82	-1	100	32568	增加打怒技能对目标的生效几率（4星套装效果）
