INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
0	70500000	20301009	3	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500001	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công công kích +664#W; #GM®nh Trung +859#W; #Glñc lßþng +33#W; #GMãnh Kích kÛ nång phóng thích Th¶i thêm vào gia tång ngoÕi công công kích(2Tinh sáo trang hi®u quä)#W.
1	70500001	20301009	5	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500002	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công công kích +996#W; #GM®nh Trung +1288#W; #Glñc lßþng +49#W; #GMãnh Kích kÛ nång phóng thích Th¶i thêm vào gia tång ngoÕi công công kích(3Tinh sáo trang hi®u quä)#W.
2	70500002	20301009	7	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500003	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công công kích +1327#W; #GM®nh Trung +1717#W; #Glñc lßþng +66#W; #GMãnh Kích kÛ nång phóng thích Th¶i thêm vào gia tång ngoÕi công công kích(4Tinh sáo trang hi®u quä)#W.
3	70500003	20301009	11	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500004	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công công kích +1659#W; #GM®nh Trung +2146#W; #Glñc lßþng +82#W; #GMãnh Kích kÛ nång phóng thích Th¶i thêm vào gia tång ngoÕi công công kích(5Tinh sáo trang hi®u quä)#W.
4	70500005	20301009	3	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500006	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +859#W; #GHuyªt Thßþng HÕn +1217#W; #Glñc lßþng +33#W; #Ggia tång Su¤t Các\u0020hÕ kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(2Tinh sáo trang hi®u quä)#W.
5	70500006	20301009	5	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500007	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1288#W; #GHuyªt Thßþng HÕn +1825#W; #Glñc lßþng +49#W; #Ggia tång Su¤t Các\u0020hÕ kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(3Tinh sáo trang hi®u quä)#W.
6	70500007	20301009	7	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500008	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1717#W; #GHuyªt Thßþng HÕn +2434#W; #Glñc lßþng +66#W; #Ggia tång Su¤t Các\u0020hÕ kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(4Tinh sáo trang hi®u quä)#W.
7	70500008	20301009	11	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500009	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +2146#W; #GHuyªt Thßþng HÕn +3042#W; #Glñc lßþng +82#W; #Ggia tång Su¤t Các\u0020hÕ kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(5Tinh sáo trang hi®u quä)#W.
8	70500010	20301009	3	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500011	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +859#W; #GHuyªt Thßþng HÕn +1217#W; #Glñc lßþng +33#W; #Ggia tång Hß Nhßþc kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(2Tinh sáo trang hi®u quä)#W.
