INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT
70600000	2	300	0	600	1500	4000	9000	20000	20000	0	7318	7318	7328	7328	7328	7338	795	795	796	796	796	780	38002515	3	#YnH§n ðßþc cách: #G#rThanh Khâu Thí Luy®n#Wbän sao r½i xu¯ng#r#GÐÕi Lý#RTh¥n Bí Thß½ng Nhân#{_INFOAIM131, 57, 2, Th¥n Bí Thß½ng Nhân}#WXØ mua#YTh¥n H°n Ðàn Tß½ng#r#GTô Châu#RVân Quyªt Quyªt#{_INFOAIM91, 144, 1, Vân Quyªt Quyªt}#WXØ tiªn hành H°n Tr¥n Hoán Ng÷c#rðánh bÕi#GHuy«n Võ Ðäo·Kính#WThßþng TuÏ C½ näy sinh cái m¾i Ðích#RThanh Long Thú H°n#WBOSS#W#rsØ døng#YH°n Th¥n Chi Quy¬n#Wtiªn vào#GHuy«n Võ Ðäo·Kính#WTrung ðánh bÕi#Rkhông kh¯ng chª ðßþc Ðích Thanh Long Thú H°n	set:CommonNPCHeader36 image:CommonNPCHeader36_12	15
70600001	2	300	0	600	1500	4000	9000	20000	20000	1	7321	7321	7331	7331	7331	7341	787	787	788	788	788	789	38002516	3	#YnH§n ðßþc cách: #G#rThanh Khâu Thí Luy®n#Wbän sao r½i xu¯ng#r#GÐÕi Lý#RTh¥n Bí Thß½ng Nhân#{_INFOAIM131, 57, 2, Th¥n Bí Thß½ng Nhân}#WXØ mua#YTh¥n H°n Ðàn Tß½ng#r#GTô Châu#RVân Quyªt Quyªt#{_INFOAIM91, 144, 1, Vân Quyªt Quyªt}#WXØ tiªn hành H°n Tr¥n Hoán Ng÷c#rðánh bÕi#GHuy«n Võ Ðäo·Kính#WThßþng TuÏ C½ näy sinh cái m¾i Ðích#RHuy«n Vû Thú H°n#WBOSS#W#rsØ døng#YH°n Th¥n Chi Quy¬n#Wtiªn vào#GHuy«n Võ Ðäo·Kính#WTrung ðánh bÕi#Rkhông kh¯ng chª ðßþc Ðích Huy«n Vû Thú H°n	set:CommonNPCHeader36 image:CommonNPCHeader36_14	14
70600002	2	300	0	600	1500	4000	9000	20000	20000	2	7315	7315	7325	7325	7325	7335	773	773	774	774	774	768	38002517	3	#YnH§n ðßþc cách: #G#rThanh Khâu Thí Luy®n#Wbän sao r½i xu¯ng#r#GÐÕi Lý#RTh¥n Bí Thß½ng Nhân#{_INFOAIM131, 57, 2, Th¥n Bí Thß½ng Nhân}#WXØ mua#YTh¥n H°n Ðàn Tß½ng#r#GTô Châu#RVân Quyªt Quyªt#{_INFOAIM91, 144, 1, Vân Quyªt Quyªt}#WXØ tiªn hành H°n Tr¥n Hoán Ng÷c#rðánh bÕi#GHuy«n Võ Ðäo·Kính#WThßþng TuÏ C½ näy sinh cái m¾i Ðích#RBÕch H± Thú H°n#WBOSS#W#rsØ døng#YH°n Th¥n Chi Quy¬n#Wtiªn vào#GHuy«n Võ Ðäo·Kính#WTrung ðánh bÕi#Rkhông kh¯ng chª ðßþc Ðích BÕch H± Thú H°n	set:PetHeader11 image:PetHeader11_5	13
70600003	2	300	0	600	1500	4000	9000	20000	20000	3	7314	7314	7324	7324	7324	7334	770	770	771	771	771	772	38002518	3	#YnH§n ðßþc cách: #G#rThanh Khâu Thí Luy®n#Wbän sao r½i xu¯ng#r#GÐÕi Lý#RTh¥n Bí Thß½ng Nhân#{_INFOAIM131, 57, 2, Th¥n Bí Thß½ng Nhân}#WXØ mua#YTh¥n H°n Ðàn Tß½ng#r#GTô Châu#RVân Quyªt Quyªt#{_INFOAIM91, 144, 1, Vân Quyªt Quyªt}#WXØ tiªn hành H°n Tr¥n Hoán Ng÷c#rðánh bÕi#GHuy«n Võ Ðäo·Kính#WThßþng TuÏ C½ näy sinh cái m¾i Ðích#RChu Tß¾c Thú H°n#WBOSS#W#rsØ døng#YH°n Th¥n Chi Quy¬n#Wtiªn vào#GHuy«n Võ Ðäo·Kính#WTrung ðánh bÕi#Rkhông kh¯ng chª ðßþc Ðích Chu Tß¾c Thú H°n	set:PetHeader11 image:PetHeader11_4	12
70600004	2	300	0	600	1500	4000	9000	20000	20000	4	7319	7319	7329	7329	7329	7339	781	781	782	782	782	783	38002519	3	#YnH§n ðßþc cách: #G#rThanh Khâu Thí Luy®n#Wbän sao r½i xu¯ng#r#GÐÕi Lý#RTh¥n Bí Thß½ng Nhân#{_INFOAIM131, 57, 2, Th¥n Bí Thß½ng Nhân}#WXØ mua#YTh¥n H°n Ðàn Tß½ng#r#GTô Châu#RVân Quyªt Quyªt#{_INFOAIM91, 144, 1, Vân Quyªt Quyªt}#WXØ tiªn hành H°n Tr¥n Hoán Ng÷c#rðánh bÕi#GHuy«n Võ Ðäo·Kính#WThßþng TuÏ C½ näy sinh cái m¾i Ðích#RcØu vî Thú H°n#WBOSS#W#rsØ døng#YH°n Th¥n Chi Quy¬n#Wtiªn vào#GHuy«n Võ Ðäo·Kính#WTrung ðánh bÕi#Rkhông kh¯ng chª ðßþc Ðích cØu vî Thú H°n	set:CommonNPCHeader36 image:CommonNPCHeader36_13	11
70600005	1	300	0	450	1120	3000	6750	15000	15000	5	7322	7322	7332	7332	7332	7342	790	790	791	791	791	769	38002520	2	#YnH§n ðßþc cách: #G#rThanh Khâu Thí Luy®n#Wbän sao r½i xu¯ng#r#GÐÕi Lý#RTh¥n Bí Thß½ng Nhân#{_INFOAIM131, 57, 2, Th¥n Bí Thß½ng Nhân}#WXØ mua#YHoang H°n Ðàn Tß½ng#W#r#GTô Châu#RVân Quyªt Quyªt#{_INFOAIM91, 144, 1, Vân Quyªt Quyªt}#WXØ tiªn hành H°n Tr¥n Hoán Ng÷c#rðánh bÕi#GHuy«n Võ Ðäo·Kính#WThßþng TuÏ C½ näy sinh cái m¾i Ðích#RC¦m Lân Thú H°n#WBOSS	set:PetHeader11 image:PetHeader11_1	10
70600006	1	300	0	450	1120	3000	6750	15000	15000	6	7316	7316	7326	7326	7326	7336	775	775	776	776	776	767	38002521	2	#YnH§n ðßþc cách: #G#rThanh Khâu Thí Luy®n#Wbän sao r½i xu¯ng#r#GÐÕi Lý#RTh¥n Bí Thß½ng Nhân#{_INFOAIM131, 57, 2, Th¥n Bí Thß½ng Nhân}#WXØ mua#YHoang H°n Ðàn Tß½ng#W#r#GTô Châu#RVân Quyªt Quyªt#{_INFOAIM91, 144, 1, Vân Quyªt Quyªt}#WXØ tiªn hành H°n Tr¥n Hoán Ng÷c#rðánh bÕi#GHuy«n Võ Ðäo·Kính#WThßþng TuÏ C½ näy sinh cái m¾i Ðích#RHuy­n Ði®p Thú H°n#WBOSS	set:PetHeader11 image:PetHeader11_6	9
70600007	1	300	0	450	1120	3000	6750	15000	15000	7	7320	7320	7330	7330	7330	7340	784	784	785	785	785	786	38002522	2	#YnH§n ðßþc cách: #G#rThanh Khâu Thí Luy®n#Wbän sao r½i xu¯ng#r#GÐÕi Lý#RTh¥n Bí Thß½ng Nhân#{_INFOAIM131, 57, 2, Th¥n Bí Thß½ng Nhân}#WXØ mua#YHoang H°n Ðàn Tß½ng#W#r#GTô Châu#RVân Quyªt Quyªt#{_INFOAIM91, 144, 1, Vân Quyªt Quyªt}#WXØ tiªn hành H°n Tr¥n Hoán Ng÷c#rðánh bÕi#GHuy«n Võ Ðäo·Kính#WThßþng TuÏ C½ näy sinh cái m¾i Ðích#RSß½ng HÕc Thú H°n#WBOSS	set:PetHeader11 image:PetHeader11_3	8
70600008	1	300	0	450	1120	3000	6750	15000	15000	8	7317	7317	7327	7327	7327	7337	777	777	778	778	778	779	38002523	2	#YnH§n ðßþc cách: #G#rThanh Khâu Thí Luy®n#Wbän sao r½i xu¯ng#rTÑ Tßþng vinh dñ cØa hàng ð±i#r#GÐÕi Lý#RTh¥n Bí Thß½ng Nhân#{_INFOAIM131, 57, 2, Th¥n Bí Thß½ng Nhân}#WXØ mua#YHoang H°n Ðàn Tß½ng#W#r#GTô Châu#RVân Quyªt Quyªt#{_INFOAIM91, 144, 1, Vân Quyªt Quyªt}#WXØ tiªn hành H°n Tr¥n Hoán Ng÷c#rðánh bÕi#GHuy«n Võ Ðäo·Kính#WThßþng TuÏ C½ näy sinh cái m¾i Ðích#Rkim ô Thú H°n#WBOSS	set:PetHeader11 image:PetHeader11_7	7
