INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING
0	10	2000	4500	4501	7000	7001	9500	9501	12000	12001	15000	15001	18000	Trân Thú Xu¤t Chiªn Th¶i, gia tång Huyªt Thßþng HÕn%sÐi¬m	Trân Thú Dung H°n Th¶i, C¤p ngß¶i ch½i Tång Huyªt Thßþng HÕn%sÐi¬m, gia tång Ðích Huyªt Thßþng HÕn tr¸ s¯ Cân ThØ Ði«u m· rµng thuµc tính tr¸ s¯, Trân Thú Ðích cao nh¤t tß ch¤t, l¾n d¥n Su¤t tß½ng quan	Gia tång Huyªt Thßþng HÕn%sÐi¬m
1	30	35	90	91	140	141	190	191	240	241	300	301	360	Trân Thú Xu¤t Chiªn Th¶i, gia tång lñc lßþng%sÐi¬m	Trân Thú Dung H°n Th¶i, C¤p ngß¶i ch½i gia tång lñc lßþng%sÐi¬m, gia tång Ðích lñc lßþng tr¸ s¯ Cân ThØ Ði«u m· rµng thuµc tính tr¸ s¯, Trân Thú Ðích lñc lßþng tß ch¤t, l¾n d¥n Su¤t tß½ng quan	Gia tång lñc lßþng%sÐi¬m
2	30	35	90	91	140	141	190	191	240	241	300	301	360	Trân Thú Xu¤t Chiªn Th¶i, gia tång Linh Khí%sÐi¬m	Trân Thú Dung H°n Th¶i, C¤p ngß¶i ch½i gia tång Linh Khí%sÐi¬m, gia tång Ðích Linh Khí tr¸ s¯ Cân ThØ Ði«u m· rµng thuµc tính tr¸ s¯, Trân Thú Ðích Linh Khí tß ch¤t, l¾n d¥n Su¤t tß½ng quan	Gia tång Linh Khí%sÐi¬m
3	20	35	90	91	140	141	190	191	240	241	300	301	360	Trân Thú Xu¤t Chiªn Th¶i, gia tång th¬ lñc%sÐi¬m	Trân Thú Dung H°n Th¶i, C¤p ngß¶i ch½i gia tång th¬ lñc%sÐi¬m, gia tång Ðích th¬ lñc tr¸ s¯ Cân ThØ Ði«u m· rµng thuµc tính tr¸ s¯, Trân Thú Ðích th¬ lñc tß ch¤t, l¾n d¥n Su¤t tß½ng quan	Gia tång th¬ lñc%sÐi¬m
4	30	35	90	91	140	141	190	191	240	241	300	301	360	Trân Thú Xu¤t Chiªn Th¶i, gia tång ð¸nh lñc%sÐi¬m	Trân Thú Dung H°n Th¶i, C¤p ngß¶i ch½i gia tång ð¸nh lñc%sÐi¬m, gia tång Ðích ð¸nh lñc tr¸ s¯ Cân ThØ Ði«u m· rµng thuµc tính tr¸ s¯, Trân Thú Ðích ð¸nh lñc tß ch¤t, l¾n d¥n Su¤t tß½ng quan	Gia tång ð¸nh lñc%sÐi¬m
5	30	35	90	91	140	141	190	191	240	241	300	301	360	Trân Thú Xu¤t Chiªn Th¶i, gia tång thân pháp%sÐi¬m	Trân Thú Dung H°n Th¶i, C¤p ngß¶i ch½i gia tång thân pháp%sÐi¬m, gia tång Ðích thân pháp tr¸ s¯ Cân ThØ Ði«u m· rµng thuµc tính tr¸ s¯, Trân Thú Ðích thân pháp tß ch¤t, l¾n d¥n Su¤t tß½ng quan	Gia tång thân pháp%sÐi¬m
6	30	350	1200	1201	1850	1851	2500	2501	3200	3201	4000	4001	4800	Trân Thú Xu¤t Chiªn Th¶i, gia tång Nµi, ngoÕi công công kích%sÐi¬m	Trân Thú Dung H°n Th¶i, C¤p ngß¶i ch½i gia tång Nµi, ngoÕi công công kích%sÐi¬m, gia tång Ðích công kích tr¸ s¯ Cân ThØ Ði«u m· rµng thuµc tính tr¸ s¯, Trân Thú Ðích lñc lßþng tß ch¤t, Linh Khí tß ch¤t, l¾n d¥n Su¤t tß½ng quan	Gia tång Nµi, ngoÕi công công kích%sÐi¬m
7	30	400	1350	1351	2100	2101	2850	2851	3600	3601	4500	4501	5400	Trân Thú Xu¤t Chiªn Th¶i, gia tång M®nh Trung%sÐi¬m	Trân Thú Dung H°n Th¶i, C¤p ngß¶i ch½i gia tång M®nh Trung%sÐi¬m, gia tång Ðích M®nh Trung tr¸ s¯ Cân ThØ Ði«u m· rµng thuµc tính tr¸ s¯, Trân Thú Ðích cao nh¤t tß ch¤t, l¾n d¥n Su¤t tß½ng quan	Gia tång M®nh Trung%sÐi¬m
8	30	135	450	451	700	701	950	951	1200	1201	1500	1501	1800	Trân Thú Xu¤t Chiªn Th¶i, gia tång Thi¬m T¸%sÐi¬m	Trân Thú Dung H°n Th¶i, C¤p ngß¶i ch½i gia tång Thi¬m T¸%sÐi¬m, gia tång Ðích Thi¬m T¸ tr¸ s¯ Cân ThØ Ði«u m· rµng thuµc tính tr¸ s¯, Trân Thú Ðích thân pháp tß ch¤t, l¾n d¥n Su¤t tß½ng quan	Gia tång Thi¬m T¸%sÐi¬m
9	30	12	24	25	38	39	52	53	66	67	82	83	95	Trân Thú Xu¤t Chiªn Th¶i, gia tång hi¬u ý%sÐi¬m	Trân Thú Dung H°n Th¶i, C¤p ngß¶i ch½i gia tång hi¬u ý%sÐi¬m, gia tång Ðích hi¬u ý tr¸ s¯ Cân ThØ Ði«u m· rµng thuµc tính tr¸ s¯, Trân Thú Ðích cao nh¤t tß ch¤t, l¾n d¥n Su¤t tß½ng quan	Gia tång hi¬u ý%sÐi¬m
10	30	12	24	25	38	39	52	53	66	67	82	83	95	Trân Thú Xu¤t Chiªn Th¶i, gia tång hi¬u ý phòng ngñ%sÐi¬m	Trân Thú Dung H°n Th¶i, C¤p ngß¶i ch½i gia tång hi¬u ý phòng ngñ%sÐi¬m, gia tång Ðích hi¬u ý phòng ngñ tr¸ s¯ Cân ThØ Ði«u m· rµng thuµc tính tr¸ s¯, Trân Thú Ðích thân pháp tß ch¤t, l¾n d¥n Su¤t tß½ng quan	Gia tång hi¬u ý phòng ngñ%sÐi¬m
11	5	15	32	33	49	50	66	67	84	85	105	106	120	Trân Thú Xu¤t Chiªn Th¶i, gia tång Bång Kháng%sÐi¬m	Trân Thú Dung H°n Th¶i, C¤p ngß¶i ch½i gia tång Bång Kháng%sÐi¬m, gia tång Ðích Bång Kháng tr¸ s¯ Cân ThØ Ði«u m· rµng thuµc tính tr¸ s¯, Trân Thú Ðích lñc lßþng tß ch¤t, Linh Khí tß ch¤t, l¾n d¥n Su¤t tß½ng quan	Gia tång Bång Kháng%sÐi¬m
12	5	15	32	33	49	50	66	67	84	85	105	106	120	Trân Thú Xu¤t Chiªn Th¶i, gia tång Hoä Kháng%sÐi¬m	Trân Thú Dung H°n Th¶i, C¤p ngß¶i ch½i gia tång Hoä Kháng%sÐi¬m, gia tång Ðích Hoä Kháng tr¸ s¯ Cân ThØ Ði«u m· rµng thuµc tính tr¸ s¯, Trân Thú Ðích lñc lßþng tß ch¤t, Linh Khí tß ch¤t, l¾n d¥n Su¤t tß½ng quan	Gia tång Hoä Kháng%sÐi¬m
13	5	15	32	33	49	50	66	67	84	85	105	106	120	Trân Thú Xu¤t Chiªn Th¶i, gia tång Huy«n Kháng%sÐi¬m	Trân Thú Dung H°n Th¶i, C¤p ngß¶i ch½i gia tång Huy«n Kháng%sÐi¬m, gia tång Ðích Huy«n Kháng tr¸ s¯ Cân ThØ Ði«u m· rµng thuµc tính tr¸ s¯, Trân Thú Ðích lñc lßþng tß ch¤t, Linh Khí tß ch¤t, l¾n d¥n Su¤t tß½ng quan	Gia tång Huy«n Kháng%sÐi¬m
14	5	15	32	33	49	50	66	67	84	85	105	106	120	Trân Thú Xu¤t Chiªn Th¶i, gia tång Ðµc Kháng%sÐi¬m	Trân Thú Dung H°n Th¶i, C¤p ngß¶i ch½i gia tång Ðµc Kháng%sÐi¬m, gia tång Ðích Ðµc Kháng tr¸ s¯ Cân ThØ Ði«u m· rµng thuµc tính tr¸ s¯, Trân Thú Ðích lñc lßþng tß ch¤t, Linh Khí tß ch¤t, l¾n d¥n Su¤t tß½ng quan	Gia tång Ðµc Kháng%sÐi¬m
15	10	200	450	460	700	710	950	960	1200	1210	1500	1510	1700	Trân Thú Xu¤t Chiªn Th¶i, Hæu%s%%Ðích xác su¤t mi­n d¸ch giäm t¯c ðµ	Trân Thú Dung H°n Th¶i, ngß¶i ch½i Hæu%s%%Ðích xác su¤t mi­n d¸ch giäm t¯c ðµ, xác su¤t tr¸ s¯ Cân ThØ Ði«u m· rµng thuµc tính tr¸ s¯, Trân Thú Ðích lñc lßþng tß ch¤t, Linh Khí tß ch¤t, l¾n d¥n Su¤t tß½ng quan	Hæu%s%%Ðích xác su¤t mi­n d¸ch giäm t¯c ðµ
16	5	200	450	460	700	710	950	960	1200	1210	1500	1510	1700	Trân Thú Xu¤t Chiªn Th¶i, Hæu%s%%Ðích xác su¤t mi­n d¸ch Phong Huy®t	Trân Thú Dung H°n Th¶i, ngß¶i ch½i Hæu%s%%Ðích xác su¤t mi­n d¸ch Phong Huy®t, xác su¤t tr¸ s¯ Cân ThØ Ði«u m· rµng thuµc tính tr¸ s¯, Trân Thú Ðích lñc lßþng tß ch¤t, Linh Khí tß ch¤t, l¾n d¥n Su¤t tß½ng quan	Hæu%s%%Ðích xác su¤t mi­n d¸ch Phong Huy®t
17	5	200	450	460	700	710	950	960	1200	1210	1500	1510	1700	Trân Thú Xu¤t Chiªn Th¶i, Hæu%s%%Ðích xác su¤t mi­n d¸ch Tê Li®t	Trân Thú Dung H°n Th¶i, ngß¶i ch½i Hæu%s%%Ðích xác su¤t mi­n d¸ch Tê Li®t, xác su¤t tr¸ s¯ Cân ThØ Ði«u m· rµng thuµc tính tr¸ s¯, Trân Thú Ðích lñc lßþng tß ch¤t, Linh Khí tß ch¤t, l¾n d¥n Su¤t tß½ng quan	Hæu%s%%Ðích xác su¤t mi­n d¸ch Tê Li®t
18	5	200	450	460	700	710	950	960	1200	1210	1500	1510	1700	Trân Thú Xu¤t Chiªn Th¶i, Hæu%s%%Ðích xác su¤t mi­n d¸ch Tän Công	Trân Thú Dung H°n Th¶i, ngß¶i ch½i Hæu%s%%Ðích xác su¤t mi­n d¸ch Tän Công, xác su¤t tr¸ s¯ Cân ThØ Ði«u m· rµng thuµc tính tr¸ s¯, Trân Thú Ðích lñc lßþng tß ch¤t, Linh Khí tß ch¤t, l¾n d¥n Su¤t tß½ng quan	Hæu%s%%Ðích xác su¤t mi­n d¸ch Tän Công
19	5	200	450	460	700	710	950	960	1200	1210	1500	1510	1700	Trân Thú Xu¤t Chiªn Th¶i, Hæu%s%%Ðích xác su¤t mi­n d¸ch phong ¤n	Trân Thú Dung H°n Th¶i, ngß¶i ch½i Hæu%s%%Ðích xác su¤t mi­n d¸ch phong ¤n, xác su¤t tr¸ s¯ Cân ThØ Ði«u m· rµng thuµc tính tr¸ s¯, Trân Thú Ðích lñc lßþng tß ch¤t, Linh Khí tß ch¤t, l¾n d¥n Su¤t tß½ng quan	Hæu%s%%Ðích xác su¤t mi­n d¸ch phong ¤n
20	5	200	450	460	700	710	950	960	1200	1210	1500	1510	1700	Trân Thú Xu¤t Chiªn Th¶i, Hæu%s%%Ðích xác su¤t mi­n d¸ch Th¤t Minh	Trân Thú Dung H°n Th¶i, ngß¶i ch½i Hæu%s%%Ðích xác su¤t mi­n d¸ch Th¤t Minh, xác su¤t tr¸ s¯ Cân ThØ Ði«u m· rµng thuµc tính tr¸ s¯, Trân Thú Ðích lñc lßþng tß ch¤t, Linh Khí tß ch¤t, l¾n d¥n Su¤t tß½ng quan	Hæu%s%%Ðích xác su¤t mi­n d¸ch Th¤t Minh
21	3	300	600	610	900	910	1250	1260	1600	1610	2000	2010	2500	Trân Thú Xu¤t Chiªn Th¶i, ðã b¸ Ðích thß½ng t±n r½i ch§m lÕi%s%%	Trân Thú Dung H°n Th¶i, ngß¶i ch½i ðã b¸ Ðích thß½ng t±n r½i ch§m lÕi%sÐi¬m, r½i ch§m lÕi Ðích thß½ng t±n tr¸ s¯ Cân ThØ Ði«u m· rµng thuµc tính tr¸ s¯, Trân Thú Ðích th¬ lñc tß ch¤t, l¾n d¥n Su¤t tß½ng quan	Ðã b¸ Ðích thß½ng t±n r½i ch§m lÕi%s%%
22	5	300	600	610	900	910	1250	1260	1600	1610	2000	2010	2500	Trân Thú Xu¤t Chiªn Th¶i, tÕo thành Ðích thß½ng t±n ð« cao%s%%	Trân Thú Dung H°n Th¶i, ngß¶i ch½i tÕo thành Ðích thß½ng t±n ð« cao%sÐi¬m, gia tång Ðích thß½ng t±n tr¸ s¯ Cân ThØ Ði«u m· rµng thuµc tính tr¸ s¯, Trân Thú Ðích lñc lßþng tß ch¤t, Linh Khí tß ch¤t, l¾n d¥n Su¤t tß½ng quan	TÕo thành Ðích thß½ng t±n ð« cao%s%%
