INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING
0	3463	3464	3465	3466	3467	3468	165	0	21	50	90	140	200	270	350	50	90	140	200	270	350	Ð« cao chü nhân Ðích Bång Công Kích%dÐi¬m	0	23	20	35	50	70	95	125	20	35	50	70	95	125	Ð« cao chü nhân Ðích xem nh© møc tiêu Bång Kháng%dÐi¬m	Thanh Long H°n Phø·Thiên Cß½ng	set:PetSoulSkill2 image:PetSoulSkill2_4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	3469	3470	3471	3472	3473	3474	165	0	30	50	90	140	200	270	350	50	90	140	200	270	350	Ð« cao chü nhân Ðích Ðµc Công Kích%dÐi¬m	0	32	20	35	50	70	95	125	20	35	50	70	95	125	Ð« cao chü nhân Ðích xem nh© møc tiêu Ðµc Kháng%dÐi¬m	Huy«n Vû H°n Phø·CØu U	set:PetSoulSkill2 image:PetSoulSkill2_10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	3475	3476	3477	3478	3479	3480	165	0	27	50	90	140	200	270	350	50	90	140	200	270	350	Ð« cao chü nhân Ðích Huy«n Công Kích%dÐi¬m	0	29	20	35	50	70	95	125	20	35	50	70	95	125	Ð« cao chü nhân Ðích xem nh© møc tiêu Huy«n Kháng%dÐi¬m	BÕch H± H°n Phø·Vînh DÕ	set:PetSoulSkill1 image:PetSoulSkill1_1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	3481	3482	3483	3484	3485	3486	165	0	24	50	90	140	200	270	350	50	90	140	200	270	350	Ð« cao chü nhân Ðích Hoä Công Kích%dÐi¬m	0	26	20	35	50	70	95	125	20	35	50	70	95	125	Ð« cao chü nhân Ðích xem nh© møc tiêu Hoä Kháng%dÐi¬m	Chu Tß¾c H°n Phø·Trùng Minh	set:PetSoulSkill2 image:PetSoulSkill2_13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	3487	3488	3489	3490	3491	3492	165	0	5	2300	4500	7500	11000	15200	21000	2300	4500	7500	11000	15200	21000	Ð« cao chü nhân Ðích Huyªt Thßþng HÕn%dÐi¬m	0	-1	5	10	16	24	33	45	5	10	16	24	33	45	Ð« cao chü nhân Ð¯i Trân Thú tÕo thành Ðích thß½ng t±n%d%%	CØu vî H°n Phø·thiên thu	set:PetSoulSkill1 image:PetSoulSkill1_12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	3493	3494	3495	3496	3497	3498	165	0	21	35	63	98	140	189	245	35	63	98	140	189	245	Ð« cao chü nhân Ðích Bång Công Kích%dÐi¬m	0	34	391	705	1096	1566	2114	2740	391	705	1096	1566	2114	2740	Ð« cao chü nhân Ðích M®nh Trung%dÐi¬m	C¦m Lân H°n Phø·lu°ng không khí lÕnh	set:PetSoulSkill1 image:PetSoulSkill1_11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	3499	3500	3501	3502	3503	3504	165	0	27	35	63	98	140	189	245	35	63	98	140	189	245	Ð« cao chü nhân Ðích Huy«n Công Kích%dÐi¬m	0	34	391	705	1096	1566	2114	2740	391	705	1096	1566	2114	2740	Ð« cao chü nhân Ðích M®nh Trung%dÐi¬m	Huy­n Ði®p H°n Phø·Hi¬u Mµng	set:PetSoulSkill1 image:PetSoulSkill1_8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	3505	3506	3507	3508	3509	3510	165	0	30	35	63	98	140	189	245	35	63	98	140	189	245	Ð« cao chü nhân Ðích Ðµc Công Kích%dÐi¬m	0	34	391	705	1096	1566	2114	2740	391	705	1096	1566	2114	2740	Ð« cao chü nhân Ðích M®nh Trung%dÐi¬m	Sß½ng HÕc H°n Phø·Tr¤m Vû	set:PetSoulSkill2 image:PetSoulSkill2_7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	3511	3512	3513	3514	3515	3516	165	0	24	35	63	98	140	189	245	35	63	98	140	189	245	Ð« cao chü nhân Ðích Hoä Công Kích%dÐi¬m	0	34	391	705	1096	1566	2114	2740	391	705	1096	1566	2114	2740	Ð« cao chü nhân Ðích M®nh Trung%dÐi¬m	Kim ô H°n Phø·Li®u Nh§t	set:PetSoulSkill1 image:PetSoulSkill1_10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
