INT	INT	INT	INT	STRING	INT	STRING	STRING
INT	INT	INT	INT	STRING	INT	STRING	STRING
0	0	1	-1	Thiên linh thú	-1	#e195e1a#c72d27c	[Dî Phª Khí]Trân Thú S½ C¤p ngµ tính danh hi®u#rThiên Ngñ Chi TÑc, sáng trong Thánh Linh.
1	0	2	-1	Thiên linh thú	-1	#e195e1a#c72d27c	[Dî Phª Khí]Trân Thú S½ C¤p ngµ tính danh hi®u#rThiên Ngñ Chi TÑc, sáng trong Thánh Linh.
2	0	3	-1	Thiên linh thú	-1	#e195e1a#c72d27c	[Dî Phª Khí]Trân Thú S½ C¤p ngµ tính danh hi®u#rThiên Ngñ Chi TÑc, sáng trong Thánh Linh.
3	0	4	-1	Thiên linh thú	-1	#e195e1a#c72d27c	[Dî Phª Khí]Trân Thú S½ C¤p ngµ tính danh hi®u#rThiên Ngñ Chi TÑc, sáng trong Thánh Linh.
4	0	5	-1	Thiên linh thú	-1	#e195e1a#c72d27c	[Dî Phª Khí]Trân Thú S½ C¤p ngµ tính danh hi®u#rThiên Ngñ Chi TÑc, sáng trong Thánh Linh.
5	0	6	-1	Thiên linh thú	-1	#e195e1a#c72d27c	[Dî Phª Khí]Trân Thú S½ C¤p ngµ tính danh hi®u#rThiên Ngñ Chi TÑc, sáng trong Thánh Linh.
6	0	7	-1	Th¥n Ph® Tiên Thú	-1	#ebb3e9f#cfd94b0	[Dî Phª Khí]Trân Thú cao c¤p ngµ tính danh hi®u#rThánh Tiêu Kinh H°ng, Tiên H°n che ch·.
7	0	8	-1	Th¥n Ph® Tiên Thú	-1	#ebb3e9f#cfd94b0	[Dî Phª Khí]Trân Thú cao c¤p ngµ tính danh hi®u#rThánh Tiêu Kinh H°ng, Tiên H°n che ch·.
8	0	9	-1	Th¥n Ph® Tiên Thú	-1	#ebb3e9f#cfd94b0	[Dî Phª Khí]Trân Thú cao c¤p ngµ tính danh hi®u#rThánh Tiêu Kinh H°ng, Tiên H°n che ch·.
9	0	10	-1	Th¥n Ph® Tiên Thú	-1	#ebb3e9f#cfd94b0	[Dî Phª Khí]Trân Thú cao c¤p ngµ tính danh hi®u#rThánh Tiêu Kinh H°ng, Tiên H°n che ch·.
10	1	0	-1	Phong Linh Thú	-1	#e195e1a#c72d27c	[Dî Phª Khí]Trân Thú S½ C¤p tß ch¤t danh hi®u#rvån phong mà ði, lòng có thông minh s¡c xäo.
11	1	1	-1	Phong Linh Thú	-1	#e195e1a#c72d27c	[Dî Phª Khí]Trân Thú S½ C¤p tß ch¤t danh hi®u#rvån phong mà ði, lòng có thông minh s¡c xäo.
12	1	2	-1	Phong Linh Thú	-1	#e195e1a#c72d27c	[Dî Phª Khí]Trân Thú S½ C¤p tß ch¤t danh hi®u#rvån phong mà ði, lòng có thông minh s¡c xäo.
13	1	3	-1	Phong Linh Thú	-1	#e195e1a#c72d27c	[Dî Phª Khí]Trân Thú S½ C¤p tß ch¤t danh hi®u#rvån phong mà ði, lòng có thông minh s¡c xäo.
14	1	4	-1	Phong Linh Thú	-1	#e195e1a#c72d27c	[Dî Phª Khí]Trân Thú S½ C¤p tß ch¤t danh hi®u#rvån phong mà ði, lòng có thông minh s¡c xäo.
15	1	5	-1	Phong Linh Thú	-1	#e195e1a#c72d27c	[Dî Phª Khí]Trân Thú S½ C¤p tß ch¤t danh hi®u#rvån phong mà ði, lòng có thông minh s¡c xäo.
16	1	6	-1	Vân Hoang th¥n thú	-1	#ebb3e9f#cfd94b0	[Dî Phª Khí]Trân Thú cao c¤p tß ch¤t danh hi®u#rÐ¢ng Vân m¶ äo, Bát Hoang chi th¥n.
17	1	7	-1	Vân Hoang th¥n thú	-1	#ebb3e9f#cfd94b0	[Dî Phª Khí]Trân Thú cao c¤p tß ch¤t danh hi®u#rÐ¢ng Vân m¶ äo, Bát Hoang chi th¥n.
18	1	8	-1	Vân Hoang th¥n thú	-1	#ebb3e9f#cfd94b0	[Dî Phª Khí]Trân Thú cao c¤p tß ch¤t danh hi®u#rÐ¢ng Vân m¶ äo, Bát Hoang chi th¥n.
19	1	9	-1	Vân Hoang th¥n thú	-1	#ebb3e9f#cfd94b0	[Dî Phª Khí]Trân Thú cao c¤p tß ch¤t danh hi®u#rÐ¢ng Vân m¶ äo, Bát Hoang chi th¥n.
20	2	1	-1	Ð¸a linh Thú	-1	#e195e1a#c72d27c	[Dî Phª Khí]Trân Thú S½ C¤p l¾n d¥n Su¤t danh hi®u#rÐ¸a Tàng t× bi, Thu¥n Linh Chi Thi®n.
21	2	2	-1	Ð¸a linh Thú	-1	#e195e1a#c72d27c	[Dî Phª Khí]Trân Thú S½ C¤p l¾n d¥n Su¤t danh hi®u#rÐ¸a Tàng t× bi, Thu¥n Linh Chi Thi®n.
22	2	3	-1	Ð¸a linh Thú	-1	#e195e1a#c72d27c	[Dî Phª Khí]Trân Thú S½ C¤p l¾n d¥n Su¤t danh hi®u#rÐ¸a Tàng t× bi, Thu¥n Linh Chi Thi®n.
23	2	4	-1	Th¥n Thß½ng Tiên Thú	-1	#ebb3e9f#cfd94b0	[Dî Phª Khí]Trân Thú cao c¤p l¾n d¥n Su¤t danh hi®u#rtr¶i cao CØu Phách, th¥n ban cho Chi Thú.
24	2	5	-1	Th¥n Thß½ng Tiên Thú	-1	#ebb3e9f#cfd94b0	[Dî Phª Khí]Trân Thú cao c¤p l¾n d¥n Su¤t danh hi®u#rtr¶i cao CØu Phách, th¥n ban cho Chi Thú.
100001	3	100	-1	Linh Thú	-1	#e195e1a#c72d27c	#Yt¿ ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100002	3	200	-1	Thánh Thú	-1	#e195e1a#c72d27c	#Yt¿ ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100003	3	300	-1	Tiên Thú	-1	#e195e1a#c72d27c	#Yt¿ ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100004	3	400	-1	Th¥n thú	-1	#ebb3e9f#cfd94b0	#Yt¿ ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100010	3	111	-1	Ð¸a Thú	-1	#e195e1a#c72d27c	#Yl?n d¥n#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100011	3	211	-1	Ð¸a linh Thú	-1	#e195e1a#c72d27c	#Yl?n d¥n, tß ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100012	3	311	-1	Ð¸a Thánh Thú	-1	#e195e1a#c72d27c	#Yl?n d¥n#Gh½n ngß¶i#Y, t¿ ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
