INT	INT	STRING
INT	INT	STRING
298	1	Phiêu Phiêu Áp
299	1	Phiêu Phiêu Th¯
300	5	Th¯ TØ
301	5	Yên TØ
302	5	Ô Quân
303	15	C¦u
304	15	Si V¸
305	15	H¥u TØ
306	25	Tùng ThØ
307	25	Cán Hùng
308	25	Anh Vû
309	35	Tích D¸ch
310	35	Biên BÑc
311	35	ĞÕi Ğß¶ng Lang
312	35	NgÕc Ngß
313	45	Miêu Ğ¥u ¿ng
314	45	Hoan
315	45	Lão H±
316	45	Dã Trß
317	55	Bång Tàm
318	55	¿ng
319	55	Ğà Ği¬u
320	55	Báo TØ
321	65	B¡c Cñc Hùng
322	65	Kh±ng Tß¾c
323	65	Kiªm Xï H±
324	65	ĞÕi Tinh Tinh
325	75	Tê Ngßu
326	75	Tuyªt Ğiêu
327	75	Kiªm Long
328	75	Bác Mã
329	85	Sô Phøng
330	85	Niên Thú
331	85	Long Quân
332	85	Anh Chiêu
333	95	KÏ Lân
334	95	Giao long
335	20	Sài Miêu
336	20	Kê
337	20	V¸ chªt
338	5	KÛ Gia Dß½ng
339	20	Con l×a
340	20	Nga
341	20	Bá Vß½ng Long
342	5	Chim cánh cøt
343	75	ĞÕi ThØ
344	20	Thú mö v¸t
345	5	Trß
346	5	?ch
347	75	Ti¬u Tßşng
348	5	Tuyªt H°
349	25	Lang
600	65	Thìn
601	5	Long Miêu
602	45	Cß¶ng Long Miêu
603	55	Trân Long Miêu
604	65	Siêu Long Miêu
605	75	Th¥n long Miêu
606	5	Kính râm Miêu
607	45	Lßu hành Miêu
608	55	M¾i Miêu
609	65	Th¥n tßşng Miêu
610	75	Quán quân Miêu
611	5	Chim tê giác
612	45	Thông minh s¡c xäo Ği¬u
613	55	Trân chim tê giác
614	65	Siêu chim tê giác
615	75	Th¥n chim tê giác
616	5	G¤u mèo
617	45	Cß¶ng g¤u mèo
618	55	Trân g¤u mèo
619	65	Siêu g¤u mèo
620	75	Th¥n g¤u mèo
621	5	Con cua
622	45	Cua Bi¬n
623	55	ĞÕi HÕp Giäi
624	65	Tri«u Hành Giäi
625	75	Nhung Ngao Giäi
626	5	Bß¾m tr¡ng
627	45	Ban Ği®p
628	55	Quyên Ği®p
629	65	Hoàn Ği®p
630	75	Phøng Vî Ği®p
631	5	c sên
632	45	Tráng ¯c sên
633	55	Trân ¯c sên
634	65	Siêu ¯c sên
635	75	Th¥n ¯c sên
636	5	Ğµc HÕt
637	45	Linh HÕt
638	55	Trân HÕt
639	65	Thiên HÕt
640	75	Ma HÕt
641	5	Ti¬u MÕc
642	45	Tráng MÕc
643	55	Trân MÕc
644	65	Thánh MÕc
645	75	Th¥n MÕc
646	5	Giáp Trùng
647	45	Cß¶ng Giáp Trùng
648	55	Trân Giáp Trùng
649	65	Thánh Giáp Trùng
650	75	Th¥n Giáp Trùng
651	5	Ğang Hµ
652	45	Linh Ğang Hµ
653	55	Trân Ğang Hµ
654	65	Thánh Ğang Hµ
655	75	Th¥n Ğang Hµ
656	65	Th¥n Xí Nga
657	45	Quai chim cánh cøt
658	55	Linh chim cánh cøt
659	65	Thánh chim cánh cøt
660	55	Hoä Tung ThØ
661	75	Viêm Hoä Tung ThØ
662	65	Huy«n Dñc Thú
663	75	Si Huy«n Dñc Thú
664	5	Thö ng÷c
665	45	Ğoàn Bính Ng÷c Th¯
666	55	Thi«m Cung Ng÷c Th¯
667	65	H¢ng Nga Ng÷c Th¯
668	45	Rång nanh BÕo Long
669	55	Lşi Nha BÕo Long
670	65	Cß½ng Nha BÕo Long
671	75	Huyªt Nha BÕo Long
672	45	Doanh Sß½ng Ng÷c Th¯
673	5	Bách Biªn thánh tång
674	45	Bách Biªn thánh tång
675	55	Bách Biªn thánh tång
676	65	Bách Biªn thánh tång
677	75	Bách Biªn thánh tång
678	85	Bách Biªn thánh tång
679	95	Bách Biªn thánh tång
680	5	Thñc C¯t Minh Xà
681	45	Thñc C¯t Minh Xà
682	55	Thñc C¯t Minh Xà
683	65	Thñc C¯t Minh Xà
684	75	Thñc C¯t Minh Xà
685	85	Thñc C¯t Minh Xà
686	95	Thñc C¯t Minh Xà
750	5	Thú mö v¸t
751	45	Thú mö v¸t
752	55	Thú mö v¸t
753	65	Thú mö v¸t
754	75	Thú mö v¸t
755	85	Thú mö v¸t
756	95	Thú mö v¸t
757	5	Tuyªt H°
758	45	Tuyªt H°
759	55	Tuyªt H°
760	65	Tuyªt H°
761	75	Tuyªt H°
762	85	Tuyªt H°
763	95	Tuyªt H°
764	5	Long Miêu
765	45	Long Miêu
766	55	Long Miêu
767	65	Long Miêu
768	75	Long Miêu
769	85	Long Miêu
770	95	Long Miêu
771	5	Chim tê giác
772	45	Chim tê giác
773	55	Chim tê giác
774	65	Chim tê giác
775	75	Chim tê giác
776	85	Chim tê giác
777	95	Chim tê giác
778	5	G¤u mèo
779	45	G¤u mèo
780	55	G¤u mèo
781	65	G¤u mèo
782	75	G¤u mèo
783	85	G¤u mèo
784	95	G¤u mèo
785	5	Con cua
786	45	Con cua
787	55	Con cua
788	65	Con cua
789	75	Con cua
790	85	Con cua
791	95	Con cua
792	5	Con bß¾m
793	45	Con bß¾m
794	55	Con bß¾m
795	65	Con bß¾m
796	75	Con bß¾m
797	85	Con bß¾m
798	95	Con bß¾m
799	5	c sên
800	45	c sên
801	55	c sên
802	65	c sên
803	75	c sên
804	85	c sên
805	95	c sên
806	5	HÕt TØ
807	45	HÕt TØ
808	55	HÕt TØ
809	65	HÕt TØ
810	75	HÕt TØ
811	85	HÕt TØ
812	95	HÕt TØ
813	5	Con tê tê
814	45	Con tê tê
815	55	Con tê tê
816	65	Con tê tê
817	75	Con tê tê
818	85	Lôi Lân
819	95	Con tê tê
820	5	ĞÕi Giáp Trùng
821	45	ĞÕi Giáp Trùng
822	55	ĞÕi Giáp Trùng
823	65	ĞÕi Giáp Trùng
824	75	ĞÕi Giáp Trùng
825	85	ĞÕi Giáp Trùng
826	95	ĞÕi Giáp Trùng
827	5	Ğang Hµ
828	45	Ğang Hµ
829	55	Ğang Hµ
830	65	Ğang Hµ
831	75	Ğang Hµ
832	85	Ğang Hµ
833	95	Ğang Hµ
834	5	Häi t£c ThØ
835	45	Häi t£c ThØ
836	55	Häi t£c ThØ
837	65	Häi t£c ThØ
838	75	Häi t£c ThØ
839	85	Häi t£c ThØ
840	95	Häi t£c ThØ
841	5	Bäo Tß½ng Ğ°ng TØ
842	45	Bäo Tß½ng Ğ°ng TØ
843	55	Bäo Tß½ng Ğ°ng TØ
844	65	Bäo Tß½ng Ğ°ng TØ
845	75	Bäo Tß½ng Ğ°ng TØ
846	85	Bäo Tß½ng Ğ°ng TØ
847	95	Bäo Tß½ng Ğ°ng TØ
848	5	Thø ĞÕi Hùng
849	45	Thø ĞÕi Hùng
850	55	Thø ĞÕi Hùng
851	65	Thø ĞÕi Hùng
852	75	Thø ĞÕi Hùng
853	85	Thø ĞÕi Hùng
854	95	Thø ĞÕi Hùng
856	5	Sung sß¾ng Trß
857	45	Sung sß¾ng Trß
858	55	Sung sß¾ng Trß
859	65	Sung sß¾ng Trß
860	75	Sung sß¾ng Trß
861	85	Sung sß¾ng Trß
862	95	Sung sß¾ng Trß
863	55	Hoä Tung Yêu ThØ
864	75	Viêm Hoä Yêu ThØ
865	65	Huy«n Dñc ma thú
866	75	Si Huy«n ma thú
867	65	Hiªm quı ThØ
868	75	KÏ Lân
869	85	Cát tß¶ng Miêu
870	5	Hiªm quı ThØ
871	45	Hiªm quı ThØ
872	55	Hiªm quı ThØ
873	85	Ma Nha BÕo Long
874	5	Ğß¶ng Trang ThØ
875	45	Ğß¶ng Trang ThØ
876	55	Ğß¶ng Trang ThØ
877	65	Ğß¶ng Trang ThØ
878	75	Ğß¶ng Trang ThØ
879	85	Ğß¶ng Trang ThØ
880	95	Ğß¶ng Trang ThØ
881	5	Niên Thú
882	45	Niên Thú
883	55	Niên Thú
884	65	Niên Thú
885	75	Niên Thú
886	85	Niên Thú
887	95	Niên Thú
888	5	Uyên ß½ng
889	45	Uyên ß½ng
890	55	Uyên ß½ng
891	65	Uyên ß½ng
892	75	Uyên ß½ng
893	85	Uyên ß½ng
894	95	Uyên ß½ng
895	65	C¥u Long
896	45	Con l×a
897	55	Con l×a
898	65	Con l×a
2200	5	Cùng C½
2201	45	Cùng C½
2202	55	Cùng C½
2203	65	Cùng C½
2204	75	Cùng C½
2205	85	Cùng C½
2206	95	Cùng C½
2207	5	Ti¬u H° Tiên
2208	45	Ti¬u H° Tiên
2209	55	Ti¬u H° Tiên
2210	65	Ti¬u H° Tiên
2211	75	Ti¬u H° Tiên
2212	85	Ti¬u H° Tiên
2213	95	Ti¬u H° Tiên
2214	5	Thßşng C± Th¥n Viên
2215	45	Thßşng C± Th¥n Viên
2216	55	Thßşng C± Th¥n Viên
2217	65	Thßşng C± Th¥n Viên
2218	75	Thßşng C± Th¥n Viên
2219	85	Thßşng C± Th¥n Viên
2220	75	C¥u Long
2221	5	Chim li«n cánh
2222	45	Chim li«n cánh
2223	55	Chim li«n cánh
2224	65	Chim li«n cánh
2225	75	Chim li«n cánh
2226	85	Chim li«n cánh
2227	95	Chim li«n cánh
2228	5	Ng½ ngác Ngßu
2229	45	Ng½ ngác Ngßu
2230	55	Ng½ ngác Ngßu
2231	65	Ng½ ngác Ngßu
2232	75	Ng½ ngác Ngßu
2233	85	Ng½ ngác Ngßu
2234	95	Ng½ ngác Ngßu
2235	5	Hiªm quı Ngßu
2236	45	Hiªm quı Ngßu
2237	55	Hiªm quı Ngßu
2238	65	Hiªm quı Ngßu
2239	75	Hiªm quı Ngßu
2240	85	Hiªm quı Ngßu
2241	95	Hiªm quı Ngßu
2242	5	KÏ Lân
2243	45	KÏ Lân
2244	55	KÏ Lân
2245	65	KÏ Lân
2246	75	KÏ Lân
2247	85	KÏ Lân
2248	95	KÏ Lân
2249	5	GoTØ
2250	45	GoTØ
2251	55	GoTØ
2252	65	GoTØ
2253	75	GoTØ
2254	85	GoTØ
2255	95	GoTØ
2256	85	Th¥n Viên
2257	95	Th¥n Viên
2258	5	Nham H°n
2259	45	Nham H°n
2260	55	Nham H°n
2261	65	Nham H°n
2262	75	Nham H°n
2263	85	Nham H°n
2264	95	Nham H°n
2265	5	Ğêm th¤t t¸ch uyên ß½ng
2266	45	Ğêm th¤t t¸ch uyên ß½ng
