INT	INT	STRING	STRING	INT	INT	STRING	INT	INT
INT	INT	STRING	STRING	INT	INT	STRING	INT	INT
1	1	Chòm BÕch Dß½ng	GRYM_221213_51	0	1		1	1
2	1	Chòm Kim Ngßu	GRYM_221213_52	0	1		1	1
3	1	Chòm song nam	GRYM_221213_53	0	1		1	1
4	1	Chòm cñ giäi	GRYM_221213_54	0	1		1	1
5	1	XØ næ ToÕ	GRYM_221213_55	0	1		1	1
6	1	Chòm Sß TØ	GRYM_221213_56	0	1		1	1
7	1	Chòm Thiên Bình	GRYM_221213_57	0	1		1	1
8	1	Chòm sao bò cÕp	GRYM_221213_58	0	1		1	1
9	1	XÕ thü ToÕ	GRYM_221213_59	0	1		1	1
10	1	Chòm Ma Kªt	GRYM_221213_60	0	1		1	1
11	1	Chòm Thüy Bình	GRYM_221213_61	0	1		1	1
12	1	Chòm Song Ngß	GRYM_221213_62	0	1		1	1
13	2	B¡t cá Ðäng	GRYM_221213_63	0	1		1	1
14	2	Thái Khoáng Ðäng	GRYM_221213_65	0	1		1	1
15	2	Hái thu¯c Ðäng	GRYM_221213_67	0	1		1	1
16	2	N¤u nß¾ng Ðäng	GRYM_221213_69	0	1		1	1
17	2	Gieo tr°ng Ðäng	GRYM_221213_71	0	1		1	1
18	2	Bän sao Ðäng	GRYM_221213_121	0	1		1	1
19	2	Vë ngoài Ðäng	GRYM_221213_122	0	1		1	1
20	2	Täo Nhai Ðäng	GRYM_221213_123	0	1		1	1
21	2	Chøp änh Ðäng	GRYM_221213_124	0	1		1	1
22	2	Ðánh nhau Ðäng	GRYM_221213_125	0	1		1	1
23	3	Di®u Bút Sinh Hoa	GRYM_221213_73	0	1		1	1
24	3	C± phong lay ðµng	GRYM_221213_74	0	1		1	1
25	3	Hï l¥n thÑ hai Nguyên	GRYM_221213_75	0	1		1	1
26	3	Miêu Miêu C¦u C¦u	GRYM_221213_76	0	1		1	1
27	3	Ðµc Hß·ng cuµc s¯ng	GRYM_221213_77	0	1		1	1
28	3	Nång Ng§t Nång ThuÜ	GRYM_221213_78	0	1		1	1
29	3	Tá Cøc trò ch½i	GRYM_221213_79	0	1		1	1
30	3	Thành thøc ±n tr÷ng	GRYM_221213_80	0	1		1	1
31	3	Tính cách sáng süa	GRYM_221213_81	0	1		1	1
32	3	Cây ca-cao Ái Ái	GRYM_221213_82	0	1		1	1
33	3	Ban ðêm hành ðµng	GRYM_221213_83	0	1		1	1
34	3	Ôn nhu§n Nhß Ng÷c	GRYM_221213_84	0	1		1	1
35	3	Th§p ph¥n Trung Nh¸	GRYM_221213_85	0	1		1	1
36	3	ÐÕi nam tØ hán	GRYM_221213_86	0	1		1	1
37	3	Có th¬ nói Hµi Ð§u	GRYM_221213_87	0	1		1	1
38	3	Cao Lãnh ThoÕi Thi¬u	GRYM_221213_88	0	1		1	1
39	3	Tñ Ðái t× trß¶ng	GRYM_221213_89	0	1		1	1
40	3	Thiên nhiên Ngai Manh	GRYM_221213_90	0	1		1	1
41	3	Ngñ Thß khí ch¤t	GRYM_221213_91	0	1		1	1
42	3	Hung mãnh ðµng v§t	GRYM_221213_92	0	1		1	1
43	3	Thanh Manh Nhân Ði«m	GRYM_221213_93	0	1		1	1
