INT	STRING	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	STRING	INT
INT	STRING	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	STRING	INT
1	副本扫荡	1	1	0	非活动时间	0	#{FBSD_150126_08}	0		0	15	0	0	0	0	31
2	周活跃	1	1	0	非活动时间	0	#{ZHY_210301_01}	0		0	35	0	0	0	0	32
3	英雄归来	1	0	0	非活动时间	0	#{HJHL_201224_74}	0		0	50	0	0	0	0	33
4	天赋引导任务	1	0	0	非活动时间	0	#{TFYD_210729_560}	0		0	60	0	0	0	0	34
5	兽魂引导任务	1	0	0	非活动时间	0	#{SHYD_20211227_02}	0		0	85	0	0	0	0	35
6	稀有兽魂限时放出	1	0	0	非活动时间	0	#{XYSHFC_20211229_100}	0		0	85	0	0	0	0	36
7	天赐曼陀	1	0	0	非活动时间	0	#{MPFC_220622_03}	0		0	10	0	0	0	0	37
8	曼陀仙乐祈恒昌	1	1	20221020-20221027	非活动时间	20221020-20221027	#{MTYR_220617_02}	0		0	30	0	0	0	0	38
9	畅秀阁	0	1	20231014-20231014	非活动时间	20231014-20231014	#{JNHZB_20210929_2}	0		0	15	0	0	0	0	39
10	主线剧情	1	0	0	非活动时间	0	#{ZXJQ_221225_02}	0		0	85	0	0	0	0	41
11	助援逍遥觅隐踪	1	1	20230309-20230316	非活动时间	20230309-20230316	#{CCYR_221220_129}	0		0	30	0	0	0	0	40
12	加阵营	1	1	0	非活动时间	0	#{ZYXZ_230104_12}	0		0	85	0	0	0	0	42
13	长春谷通行证	0	1	0	非活动时间	0	#{SWXT_221213_193}	0		0	85	0	0	0	0	39
14	此间相思	1	1	20230608-20230615	非活动时间	20230608-20230615	#{CJXS_230330_36}	0		0	30	0	0	0	0	43
15	神兵预热活动	1	1	20231005-20231012	非活动时间	20231005-20231012	#{SBYR_230707_34}	0		0	30	0	0	0	0	44
16	神兵剧情任务	0	1	0	非活动时间	0	#{SBJQ_230627_02}	0		0	65	0	0	0	0	45
17	七夕狂欢	1	1	20230824-20230910	非活动时间	20230824-20230910	#{QXFL_20230721_17}	0		0	30	0	0	0	0	46
18	神兵引导任务	1	1	0	非活动时间	0	#{SQYD_230802_02}	0		0	65	0	0	0	0	47
19	特色服	1	0	0	非活动时间	0	#{JZF_230821_9}	0		0	10	0	0	0	0	48
20	嘉年华直播	1	1	20241019-20241020	非活动时间	20241019-20241020	#{JNHZB_20210929_2}	0		0	15	0	0	0	0	49
21	时装宝箱	1	1	20231221-20240110	非活动时间	20231221-20240110	#{SZSJ_231114_13}	0		0	15	0	0	0	0	15
22	英雄金约	1	1	0	非活动时间	0	#{ZLSJ_231106_03}	0		0	15	0	0	0	0	51
23	江湖盟会	1	1	0	非活动时间	0	#{SFYD_231227_02}	0		0	50	0	0	0	0	52
24	蜃气萦海幻无边	1	1	20240321-20240328	非活动时间	20240321-20240328	#{SFYR_240104_41}	0		0	30	0	0	0	0	53
25	飞凰礼	1	0	0	非活动时间	0	#{WYCJ_20240320_43}	0		0	50	0	0	0	0	57
26	剑决浮云千里去	1	1	20240613-20240620	非活动时间	20240613-20240620	#{JJFY_240407_25}	0		0	30	0	0	0	0	55
