INT	STRING	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	STRING
INT	STRING	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	STRING
0	Quét ngang Mçu Ğan Uy¬n	0	1	0	0107-1900	0107-2300	T¤t cä#c00850Ec¤p b§c =C¤p 30#c333333, #c00850Etâm pháp c¤p b§c Ğô =C¤p 30#c333333Ğích ngß¶i ch½i chï c¥n tÕo thành#c00850E3Nhân ğã ngoài#c333333Ğích ğµi ngû Tñu Khä ği trß¾c#c00850ELÕc Dß½ng#cAD3ED5Ğ°ng Quán(204, 57)#c333333, #c00850EĞÕi Lı#cAD3ED5HÕ Thanh Thanh(282, 95)#c333333, #c00850ETô Châu#cAD3ED5Vu Sänh Sänh(187, 148)#c333333XØ tham dñ#cFF9A00Xúc Cúc ğÕi tái#c333333hoÕt ğµng, cu¯i cùng khiêu chiªn Xúc Cúc mß¶i ba Muµi#cFF9A00Tôn Mî Mî#c333333. Ğánh bÕi#cFF9A00Tôn Mî Mî#c333333H§u Khä nh§n ğßşc#cFF9A00sinh ğµng Tr¸#c333333.	LÕc Dß½ng Ğ°ng Quán, ĞÕi Lı HÕ Thanh Thanh, Tô Châu Vu Sänh Sänh		Huodong_6		30	
1	Quét ngang Mçu Ğan Uy¬n	0	1	0	0204-1900	0204-2300	T¤t cä#c00850Ec¤p b§c =C¤p 30#c333333, #c00850Etâm pháp c¤p b§c Ğô =C¤p 30#c333333Ğích ngß¶i ch½i chï c¥n tÕo thành#c00850E3Nhân ğã ngoài#c333333Ğích ğµi ngû Tñu Khä ği trß¾c#c00850ELÕc Dß½ng#cAD3ED5Ğ°ng Quán(204, 57)#c333333, #c00850EĞÕi Lı#cAD3ED5HÕ Thanh Thanh(282, 95)#c333333, #c00850ETô Châu#cAD3ED5Vu Sänh Sänh(187, 148)#c333333XØ tham dñ#cFF9A00Xúc Cúc ğÕi tái#c333333hoÕt ğµng, cu¯i cùng khiêu chiªn Xúc Cúc mß¶i ba Muµi#cFF9A00Tôn Mî Mî#c333333. Ğánh bÕi#cFF9A00Tôn Mî Mî#c333333H§u Khä nh§n ğßşc#cFF9A00sinh ğµng Tr¸#c333333.	LÕc Dß½ng Ğ°ng Quán, ĞÕi Lı HÕ Thanh Thanh, Tô Châu Vu Sänh Sänh		Huodong_6		30	
2	Quét ngang Mçu Ğan Uy¬n	0	1	0	0303-1900	0303-2300	T¤t cä#c00850Ec¤p b§c =C¤p 30#c333333, #c00850Etâm pháp c¤p b§c Ğô =C¤p 30#c333333Ğích ngß¶i ch½i chï c¥n tÕo thành#c00850E3Nhân ğã ngoài#c333333Ğích ğµi ngû Tñu Khä ği trß¾c#c00850ELÕc Dß½ng#cAD3ED5Ğ°ng Quán(204, 57)#c333333, #c00850EĞÕi Lı#cAD3ED5HÕ Thanh Thanh(282, 95)#c333333, #c00850ETô Châu#cAD3ED5Vu Sänh Sänh(187, 148)#c333333XØ tham dñ#cFF9A00Xúc Cúc ğÕi tái#c333333hoÕt ğµng, cu¯i cùng khiêu chiªn Xúc Cúc mß¶i ba Muµi#cFF9A00Tôn Mî Mî#c333333. Ğánh bÕi#cFF9A00Tôn Mî Mî#c333333H§u Khä nh§n ğßşc#cFF9A00sinh ğµng Tr¸#c333333.	LÕc Dß½ng Ğ°ng Quán, ĞÕi Lı HÕ Thanh Thanh, Tô Châu Vu Sänh Sänh		Huodong_6		30	
3	Quét ngang Mçu Ğan Uy¬n	0	1	0	0407-1900	0407-2300	T¤t cä#c00850Ec¤p b§c =C¤p 30#c333333, #c00850Etâm pháp c¤p b§c Ğô =C¤p 30#c333333Ğích ngß¶i ch½i chï c¥n tÕo thành#c00850E3Nhân ğã ngoài#c333333Ğích ğµi ngû Tñu Khä ği trß¾c#c00850ELÕc Dß½ng#cAD3ED5Ğ°ng Quán(204, 57)#c333333, #c00850EĞÕi Lı#cAD3ED5HÕ Thanh Thanh(282, 95)#c333333, #c00850ETô Châu#cAD3ED5Vu Sänh Sänh(187, 148)#c333333XØ tham dñ#cFF9A00Xúc Cúc ğÕi tái#c333333hoÕt ğµng, cu¯i cùng khiêu chiªn Xúc Cúc mß¶i ba Muµi#cFF9A00Tôn Mî Mî#c333333. Ğánh bÕi#cFF9A00Tôn Mî Mî#c333333H§u Khä nh§n ğßşc#cFF9A00sinh ğµng Tr¸#c333333.	LÕc Dß½ng Ğ°ng Quán, ĞÕi Lı HÕ Thanh Thanh, Tô Châu Vu Sänh Sänh		Huodong_6		30	
4	Quét ngang Mçu Ğan Uy¬n	0	1	0	0505-1900	0505-2300	T¤t cä#c00850Ec¤p b§c =C¤p 30#c333333, #c00850Etâm pháp c¤p b§c Ğô =C¤p 30#c333333Ğích ngß¶i ch½i chï c¥n tÕo thành#c00850E3Nhân ğã ngoài#c333333Ğích ğµi ngû Tñu Khä ği trß¾c#c00850ELÕc Dß½ng#cAD3ED5Ğ°ng Quán(204, 57)#c333333, #c00850EĞÕi Lı#cAD3ED5HÕ Thanh Thanh(282, 95)#c333333, #c00850ETô Châu#cAD3ED5Vu Sänh Sänh(187, 148)#c333333XØ tham dñ#cFF9A00Xúc Cúc ğÕi tái#c333333hoÕt ğµng, cu¯i cùng khiêu chiªn Xúc Cúc mß¶i ba Muµi#cFF9A00Tôn Mî Mî#c333333. Ğánh bÕi#cFF9A00Tôn Mî Mî#c333333H§u Khä nh§n ğßşc#cFF9A00sinh ğµng Tr¸#c333333.	LÕc Dß½ng Ğ°ng Quán, ĞÕi Lı HÕ Thanh Thanh, Tô Châu Vu Sänh Sänh		Huodong_6		30	
5	Quét ngang Mçu Ğan Uy¬n	0	1	0	0602-1900	0602-2300	T¤t cä#c00850Ec¤p b§c =C¤p 30#c333333, #c00850Etâm pháp c¤p b§c Ğô =C¤p 30#c333333Ğích ngß¶i ch½i chï c¥n tÕo thành#c00850E3Nhân ğã ngoài#c333333Ğích ğµi ngû Tñu Khä ği trß¾c#c00850ELÕc Dß½ng#cAD3ED5Ğ°ng Quán(204, 57)#c333333, #c00850EĞÕi Lı#cAD3ED5HÕ Thanh Thanh(282, 95)#c333333, #c00850ETô Châu#cAD3ED5Vu Sänh Sänh(187, 148)#c333333XØ tham dñ#cFF9A00Xúc Cúc ğÕi tái#c333333hoÕt ğµng, cu¯i cùng khiêu chiªn Xúc Cúc mß¶i ba Muµi#cFF9A00Tôn Mî Mî#c333333. Ğánh bÕi#cFF9A00Tôn Mî Mî#c333333H§u Khä nh§n ğßşc#cFF9A00sinh ğµng Tr¸#c333333.	LÕc Dß½ng Ğ°ng Quán, ĞÕi Lı HÕ Thanh Thanh, Tô Châu Vu Sänh Sänh		Huodong_6		30	
6	Quét ngang Mçu Ğan Uy¬n	0	1	0	0707-1900	0707-2300	T¤t cä#c00850Ec¤p b§c =C¤p 30#c333333, #c00850Etâm pháp c¤p b§c Ğô =C¤p 30#c333333Ğích ngß¶i ch½i chï c¥n tÕo thành#c00850E3Nhân ğã ngoài#c333333Ğích ğµi ngû Tñu Khä ği trß¾c#c00850ELÕc Dß½ng#cAD3ED5Ğ°ng Quán(204, 57)#c333333, #c00850EĞÕi Lı#cAD3ED5HÕ Thanh Thanh(282, 95)#c333333, #c00850ETô Châu#cAD3ED5Vu Sänh Sänh(187, 148)#c333333XØ tham dñ#cFF9A00Xúc Cúc ğÕi tái#c333333hoÕt ğµng, cu¯i cùng khiêu chiªn Xúc Cúc mß¶i ba Muµi#cFF9A00Tôn Mî Mî#c333333. Ğánh bÕi#cFF9A00Tôn Mî Mî#c333333H§u Khä nh§n ğßşc#cFF9A00sinh ğµng Tr¸#c333333.	LÕc Dß½ng Ğ°ng Quán, ĞÕi Lı HÕ Thanh Thanh, Tô Châu Vu Sänh Sänh		Huodong_6		30	
7	Quét ngang Mçu Ğan Uy¬n	0	1	0	0804-1900	0804-2300	T¤t cä#c00850Ec¤p b§c =C¤p 30#c333333, #c00850Etâm pháp c¤p b§c Ğô =C¤p 30#c333333Ğích ngß¶i ch½i chï c¥n tÕo thành#c00850E3Nhân ğã ngoài#c333333Ğích ğµi ngû Tñu Khä ği trß¾c#c00850ELÕc Dß½ng#cAD3ED5Ğ°ng Quán(204, 57)#c333333, #c00850EĞÕi Lı#cAD3ED5HÕ Thanh Thanh(282, 95)#c333333, #c00850ETô Châu#cAD3ED5Vu Sänh Sänh(187, 148)#c333333XØ tham dñ#cFF9A00Xúc Cúc ğÕi tái#c333333hoÕt ğµng, cu¯i cùng khiêu chiªn Xúc Cúc mß¶i ba Muµi#cFF9A00Tôn Mî Mî#c333333. Ğánh bÕi#cFF9A00Tôn Mî Mî#c333333H§u Khä nh§n ğßşc#cFF9A00sinh ğµng Tr¸#c333333.	LÕc Dß½ng Ğ°ng Quán, ĞÕi Lı HÕ Thanh Thanh, Tô Châu Vu Sänh Sänh		Huodong_6		30	
8	Quét ngang Mçu Ğan Uy¬n	0	1	0	0901-1900	0901-2300	T¤t cä#c00850Ec¤p b§c =C¤p 30#c333333, #c00850Etâm pháp c¤p b§c Ğô =C¤p 30#c333333Ğích ngß¶i ch½i chï c¥n tÕo thành#c00850E3Nhân ğã ngoài#c333333Ğích ğµi ngû Tñu Khä ği trß¾c#c00850ELÕc Dß½ng#cAD3ED5Ğ°ng Quán(204, 57)#c333333, #c00850EĞÕi Lı#cAD3ED5HÕ Thanh Thanh(282, 95)#c333333, #c00850ETô Châu#cAD3ED5Vu Sänh Sänh(187, 148)#c333333XØ tham dñ#cFF9A00Xúc Cúc ğÕi tái#c333333hoÕt ğµng, cu¯i cùng khiêu chiªn Xúc Cúc mß¶i ba Muµi#cFF9A00Tôn Mî Mî#c333333. Ğánh bÕi#cFF9A00Tôn Mî Mî#c333333H§u Khä nh§n ğßşc#cFF9A00sinh ğµng Tr¸#c333333.	LÕc Dß½ng Ğ°ng Quán, ĞÕi Lı HÕ Thanh Thanh, Tô Châu Vu Sänh Sänh		Huodong_6		30	
