INT	INT	STRING	STRING	STRING	INT	INT
INT	INT	STRING	STRING	STRING	INT	INT
1	38002376	Bí Huyªt Chú Ng÷c	#{XLRW_210725_510}	Mai	1	20000
2	38002377	Trøc Lãng ÐoÕn Nhçn	#{XLRW_210725_511}	Phiªn	1	20000
3	38002378	Bách Công H°	#{XLRW_210725_512}	Bä	1	20000
4	38002379	ÐoÕn Vân Ngoã	#{XLRW_210725_511}	Phiªn	1	20000
5	38002380	Trß¶ng Vû	#{XLRW_210725_513}	Cån	1	20000
6	38002381	BÕch Linh	#{XLRW_210725_513}	Cån	1	20000
7	38002382	CØu Túc Ðïnh	#{XLRW_210725_514}	Ðïnh	1	20000
8	38002383	Bát Hoang Lßu Höa	#{XLRW_210725_515}	Kh¯i	1	20000
9	38002384	B¯n mß½i tám Li®t Thiên Huy«n bän d§p·thÑ nh¤t	#{XLRW_210725_516}	Quy¬n	1	20000
10	38002385	B¯n mß½i tám Li®t Thiên Huy«n bän d§p·thÑ hai	#{XLRW_210725_516}	Quy¬n	1	20000
11	38002386	Giám Hß½ng Bäo Lô	#{XLRW_210725_514}	Ðïnh	1	20000
12	38002387	Kình Minh Kính	#{XLRW_210725_517}	Di®n	1	20000
13	38002388	Song Giao linh bài	#{XLRW_210725_515}	Kh¯i	1	20000
14	38002389	Ðuôi c÷p Tàn Trßþng	#{XLRW_210725_518}	Ti®t	1	20000
15	38002390	Hàn Nguy®t Trän	#{XLRW_210725_519}	Trän	1	20000
16	38002391	Tác ph¦m kém cöi	#{XLRW_210725_520}	Can	1	20000
17	38002392	Bách thú Quan Nghi­n	#{XLRW_210725_521}	Phß½ng	1	20000
18	38002393	Lß½ng C¯t	#{XLRW_210725_515}	Kh¯i	1	20000
19	38002394	Liên S½n Ti¬u Hà	#{XLRW_210725_58}	Cái	1	20000
20	38002395	Lûng Nham Ng÷c Phù	#{XLRW_210725_515}	Kh¯i	1	20000
